player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,小铃,姬芽,花帆,梢,吟子,瑠璃乃,慈,さやか,缀理,数量
CAH984HAW,1,1844115099947598,タピエンル,MAJT0THVB,眩耀夜行,3,10,10,10,10,10,10,10,10,10,1
UA5OC8495,2,1798843065325171,zth,MAJT0THVB,眩耀夜行,9,10,10,10,10,10,10,10,10,10,1
FM1GCQSEE,3,1667315948441046,Goona♪グナ,MAJT0THVB,眩耀夜行,9,10,10,10,10,10,10,10,10,10,1
7604CH5KV,4,1661023352397644,hiro,FK5MUK0ET,くる♡すきクラブ,14,10,10,10,10,10,10,10,10,10,1
0CPFA3PTM,5,1656941509792172,かりん,25PMPEMG7,星見プロ,7,10,10,10,10,10,10,10,10,10,1
8EB0GXWX1,6,1635667255239545,みむ。,EYN9H9N16,蓮すきすきクラブ,4,10,10,10,10,10,10,10,10,10,1
KY6X3BV7A,7,1634926598223496,とんとろ,25PMPEMG7,星見プロ,7,10,10,10,10,10,10,10,10,10,1
Z4TLWEM1D,8,1632317853706098,ちびこま,YE7CX8RNP,能京カバディ部,5,10,10,10,10,10,10,10,10,10,1
FWBTX791U,9,1604514722844071,garry,MAJT0THVB,眩耀夜行,0,10,10,10,10,10,10,10,10,10,1
LP0BEDRF6,10,1521632908133993,YPT,EYN9H9N16,蓮すきすきクラブ,5,10,10,10,10,10,10,10,10,10,1
15LURYMC1,11,1508953611673224,ベルトーニ,FVJFA973A,蓮ノ空愛好会,7,10,10,10,10,10,10,10,10,10,1
WL6FFE9FY,12,1491456791761322,もょもと,EYN9H9N16,蓮すきすきクラブ,9,10,10,10,10,10,10,10,10,10,1
A172AA7DD,13,1485370080473712,にしん,FVJFA973A,蓮ノ空愛好会,2,10,10,10,10,10,10,10,10,10,1
BFBDRTETJ,14,1475456923808017,からいろは,EYN9H9N16,蓮すきすきクラブ,11,10,10,10,10,10,10,10,10,10,1
3Q65ASSTC,15,1447038127896352,ほうがく,YE7CX8RNP,能京カバディ部,11,10,10,10,10,10,10,10,10,10,1
U1IQYBNI5,16,1429842325748879,通りすがりの人,BKLW6CR5L,Mix鮭の空!!,6,10,10,10,10,10,10,10,10,10,1
G25EXFDYH,17,1428292540313547,いかずちさんだー,25PMPEMG7,星見プロ,2,10,10,10,10,10,10,10,10,10,1
8XP3JM3HY,18,1421942759610045,リンモリ,YE7CX8RNP,能京カバディ部,2,10,10,10,10,10,10,10,10,10,1
J9C1NN8VB,19,1410872071153432,あーびん,VW65MCVF8,スリスリーズ,10,10,10,10,10,10,10,10,10,10,1
FVG9O3T6M,20,1409197544961106,つづもん,11XTEEEJT,リンクラ料理部,6,10,10,10,10,10,10,10,10,10,1
CO2UVBYHH,21,1390518655798450,Say.Dat.,VW65MCVF8,スリスリーズ,1,10,10,10,10,10,10,10,10,10,1
0USG3I0AK,22,1385227684377427,ピーちゃん,VW65MCVF8,スリスリーズ,12,10,10,10,10,10,10,10,10,10,1
WCN6J32TG,23,1346609642099278,しみちゃん,BKLW6CR5L,Mix鮭の空!!,10,10,10,10,10,10,10,10,10,10,1
EQOU1ZZS7,24,1345564024420921,あおいペン太郎君,VW65MCVF8,スリスリーズ,12,10,10,10,10,10,10,10,10,10,1
L5FWMMCWN,25,1344368216594427,マナト,PBRDPWEY1,村村会,9,10,10,10,10,10,10,10,10,10,1
KMUYDNERU,26,1339674667546194,ゆうし,FC8NBAJBT,ラー麺二郎金沢店,13,10,10,10,10,10,10,10,10,10,1
FSJBKEC6U,27,1339480643112732,ゼクロムレシラム,YE7CX8RNP,能京カバディ部,7,10,10,10,10,10,10,10,10,10,1
