行标签,求和项:point
1,1844115099947598.0
2,1798843065325171.0
3,1667315948441046.0
4,1661023352397644.0
5,1656941509792172.0
6,1635667255239545.0
7,1634926598223496.0
8,1632317853706098.0
9,1604514722844071.0
10,1521632908133993.0
11,1508953611673224.0
12,1491456791761322.0
13,1485370080473712.0
14,1475456923808017.0
15,1447038127896352.0
16,1429842325748879.0
17,1428292540313547.0
18,1421942759610045.0
19,1410872071153432.0
20,1409197544961106.0
21,1390518655798450.0
22,1385227684377427.0
23,1346609642099278.0
24,1345564024420921.0
25,1344368216594427.0
26,1339674667546194.0
27,1339480643112732.0
28,1337739246179304.0
29,1337339127080137.0
30,1325385524646302.0
31,1321059129968169.0
32,1313197931761266.0
33,1309638802342114.0
34,1308426215324715.0
35,1294488969200791.0
36,1292277260806563.0
37,1291180847303432.0
38,1286658590697925.0
39,1275521657521930.0
40,1274522923690048.0
41,1266708162601336.0
42,1262838916594789.0
43,1257826265194276.0
44,1247772977563570.0
45,1244907686330391.0
46,1243028050972730.0
47,1238736449664964.0
48,1238173902658416.0
49,1235665645743336.0
50,1234828342129127.0
51,1234556923097093.0
52,1233845114703509.0
53,1233096815723901.0
54,1231333229639581.0
55,1222739355375901.0
56,1209288936223532.0
57,1208708063839962.0
58,1206746341876801.0
59,1206109475505836.0
60,1199528352385357.0
61,1199195344782856.0
62,1199171628040943.0
63,1185055655109722.0
64,1178656036163885.0
65,1175932602333630.0
66,1173585992321865.0
67,1169816238082048.0
68,1168194692584768.0
69,1166964353306633.0
70,1164990757323755.0
71,1163819184494014.0
72,1162485351876176.0
73,1157673424263530.0
74,1152447182469805.0
75,1147672001942085.0
76,1147189691661135.0
77,1146889575995402.0
78,1146843429238539.0
79,1145869192628663.0
80,1144526986415693.0
81,1143220504889886.0
82,1140550343256728.0
83,1134576770582644.0
84,1131475468153835.0
85,1129544994647008.0
86,1127157495539712.0
87,1126576266643461.0
88,1122054531183331.0
89,1119331372253789.0
90,1116077874183241.0
91,1115712590266782.0
92,1114830833247521.0
93,1114368173784727.0
94,1113296178301534.0
95,1112572625925994.0
96,1111298640589697.0
97,1111264109950981.0
98,1110236323160303.0
99,1109939750588678.0
100,1107451942622056.0
101,1105179991396404.0
102,1103658551157744.0
103,1103094931810049.0
104,1096020685908511.0
105,1092140825214959.0
106,1091541555829050.0
107,1090047555062048.0
108,1089707647674104.0
109,1089220946662911.0
110,1088823949876406.0
111,1086711909004922.0
112,1076919518337876.0
113,1076824198014286.0
114,1075673291342134.0
115,1071595854633802.0
116,1070998869522592.0
