行标签,求和项:数量,求和项:point,人均,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,公会名,前500人数,总分,人均.1
Mix鮭の空!!,30,5096436136635877,169881204554529.22,,,,,,,,,,,,,,,Mix鮭の空!!,30.0,5096436136635877.0,169881204554529.22
蓮すきすきクラブ,26,4303016554690760,165500636718875.38,,,,,,,,,,,,,,,蓮すきすきクラブ,26.0,4303016554690760.0,165500636718875.38
スリスリーズ,23,3555892528643705,154604022984508.9,,,,,,,,,,,,,,,スリスリーズ,23.0,3555892528643705.0,154604022984508.9
蓮ノ空愛好会,20,3041581704732180,152079085236609.0,,,,,,,,,,,,,,,蓮ノ空愛好会,20.0,3041581704732180.0,152079085236609.0
眩耀夜行,18,2991972137946461,166220674330358.94,,,,,,,,,,,,,,,眩耀夜行,18.0,2991972137946461.0,166220674330358.94
能京カバディ部,16,2633932678365058,164620792397816.12,,,,,,,,,,,,,,,能京カバディ部,16.0,2633932678365058.0,164620792397816.12
乙宗動物園,15,1891127667352746,126075177823516.4,,,,,,,,,,,,,,,乙宗動物園,15.0,1891127667352746.0,126075177823516.4
花帆ちゃん親衛隊,15,1955646704550791,130376446970052.73,,,,,,,,,,,,,,,花帆ちゃん親衛隊,15.0,1955646704550791.0,130376446970052.73
ルドベキア,14,1840464420266996,131461744304785.42,,,,,,,,,,,,,,,ルドベキア,14.0,1840464420266996.0,131461744304785.42
星見プロ,13,2090205003322195,160785000255553.47,,,,,,,,,,,,,,,星見プロ,13.0,2090205003322195.0,160785000255553.47
村村会,12,1805437629981507,150453135831792.25,,,,,,,,,,,,,,,村村会,12.0,1805437629981507.0,150453135831792.25
スクステ同好会,12,1607781308385599,133981775698799.92,,,,,,,,,,,,,,,スクステ同好会,12.0,1607781308385599.0,133981775698799.92
さすさやクラブ,9,1094622479793560,121624719977062.22,,,,,,,,,,,,,,,さすさやクラブ,9.0,1094622479793560.0,121624719977062.22
泥,9,1103904728238990,122656080915443.33,,,,,,,,,,,,,,,泥,9.0,1103904728238990.0,122656080915443.33
乙宗梢なりきり部,9,1116920501191896,124102277910210.67,,,,,,,,,,,,,,,乙宗梢なりきり部,9.0,1116920501191896.0,124102277910210.67
リンクラ料理部,9,1455684372641284,161742708071253.78,,,,,,,,,,,,,,,リンクラ料理部,9.0,1455684372641284.0,161742708071253.78
乙宗梢大好き部,8,1118294704417782,139786838052222.75,,,,,,,,,,,,,,,乙宗梢大好き部,8.0,1118294704417782.0,139786838052222.75
