公会名,前500人数,总分,人均,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,排名,分数,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Mix鮭の空!!,30,5096436136635877,169881204554529.22,,,,,,,day1,R3YC2XYYZ,77.0,175198384559472.0,秋,GPKTRBCTT,騎空団蓮ノ空支部,
蓮すきすきクラブ,26,4303016554690760,165500636718875.38,,,,,,,day2,R3YC2XYYZ,47.0,409937570556067.0,秋,GPKTRBCTT,騎空団蓮ノ空支部,
スリスリーズ,23,3555892528643705,154604022984508.9,,,,,,,,,,,,,,
蓮ノ空愛好会,20,3041581704732180,152079085236609.0,,,,,,,,,,,,,,
眩耀夜行,18,2991972137946461,166220674330358.94,,,,,,,,,,234739185996595.0,,,,
能京カバディ部,16,2633932678365058,164620792397816.12,,,,,,,,,,,,,,
星見プロ,13,2090205003322195,160785000255553.47,,,,,,,day1,7604CH5KV,3.0,263281632377278.0,く…る…す…,FK5MUK0ET,くる♡すきクラブ,
花帆ちゃん親衛隊,15,1955646704550791,130376446970052.73,,,,,,,day2,7604CH5KV,121.0,345644453436573.0,く…る…す…,FK5MUK0ET,くる♡すきクラブ,
乙宗動物園,15,1891127667352746,126075177823516.4,,,,,,,,,,82362821059295.0,,,增量/day1,0.3128316256459186
ルドベキア,14,1840464420266996,131461744304785.42,,,,,,,,,,,,,,
村村会,12,1805437629981507,150453135831792.25,,,,,,,,,,,,,,
スクステ同好会,12,1607781308385599,133981775698799.92,,,,,,,,,,,,,,
リンクラ料理部,9,1455684372641284,161742708071253.78,,,,,,,,,,,,,,
乙宗梢大好き部,8,1118294704417782,139786838052222.75,,,,,,,,,,,,,,
乙宗梢なりきり部,9,1116920501191896,124102277910210.67,,,,,,,,,,,,,,
泥,9,1103904728238990,122656080915443.33,,,,,,,,,,,,,,
さすさやクラブ,9,1094622479793560,121624719977062.22,,,,,,,,,,,,,,
LA.LA.LA,8,1083145871755543,135393233969442.88,,,,,,,,,,,,,,
きんぴられんこん,8,1077209464084715,134651183010589.38,,,,,,,,,,,,,,
ラー麺二郎金沢店,8,1063968929370150,132996116171268.75,,,,,,,,,,,,,,
ルリと愉快な一家,8,972619604374358,121577450546794.75,,,,,,,,,,,,,,
かほすこ同好会,7,971049258903818,138721322700545.42,,,,,,,,,,,,,,
WMW,7,963613946462745,137659135208963.58,,,,,,,,,,,,,,
くる♡すきクラブ,6,962205540214416,160367590035736.0,,,,,,,,,,,,,,
わたくしは大丈部,7,811473760503903,115924822929129.0,,,,,,,,,,,,,,
はすっこくらぶ,6,769990448476693,128331741412782.17,,,,,,,,,,,,,,
サークル名募集中,6,676327274056153,112721212342692.17,,,,,,,,,,,,,,
めぐ党藤島派,5,675178313207871,135035662641574.2,,,,,,,,,,,,,,
蓮ノ空推し活部,5,577668579482460,115533715896492.0,,,,,,,,,,,,,,
金沢おでん同好会,5,573187101140598,114637420228119.6,,,,,,,,,,,,,,
お嬢様筋トレ部,5,562007791138725,112401558227745.0,,,,,,,,,,,,,,
(空白),4,543373550206041,135843387551510.25,,,,,,,,,,,,,,
"oNM,",4,536913317226872,134228329306718.0,,,,,,,,,,,,,,
蓮ノ空出張部,4,469806456131075,117451614032768.75,,,,,,,,,,,,,,
梢好き好きクラブ,4,439983941962437,109995985490609.25,,,,,,,,,,,,,,
さやかほ癒し会,3,429546203545322,143182067848440.66,,,,,,,,,,,,,,
梢すきすきクラブ,4,419923220812375,104980805203093.75,,,,,,,,,,,,,,
後方腕組みオタク,3,398858251591100,132952750530366.67,,,,,,,,,,,,,,
花咲く泥も好き²,3,392955682526125,130985227508708.33,,,,,,,,,,,,,,
花帆推し倶楽部,3,382999627725974,127666542575324.67,,,,,,,,,,,,,,
YUKIZURI,3,375940439526676,125313479842225.33,,,,,,,,,,,,,,
まったり,3,365991139989513,121997046663171.0,,,,,,,,,,,,,,
めぐ島,3,352970858167497,117656952722499.0,,,,,,,,,,,,,,
シュリーレン,3,349984081034622,116661360344874.0,,,,,,,,,,,,,,
蓮ノ空FC,3,342289914088892,114096638029630.67,,,,,,,,,,,,,,
天悶部,3,322662882561073,107554294187024.33,,,,,,,,,,,,,,
