公会,前1000人数,总分,人均
騎空団蓮ノ空支部,1,409937570556067,409937570556067.0
巣〜極楽〜,1,372672790835821,372672790835821.0
Mix鮭の空!!,30,11139787011027644,371326233700921.0
スリスリーズ,24,8545136486458058,356047353602419.06
蓮すきすきクラブ,29,10017150897466632,345418996464366.6
星見プロ,14,4656558898845727,332611349917551.94
能京カバディ部,20,6606142516929958,330307125846497.9
眩耀夜行,25,7852381037376414,314095241495056.56
リンクラ料理部,13,4063319073302421,312563005638647.75
蓮ノ空愛好会,24,7479213282115784,311633886754824.3
ドル家の『D』,1,304747974664227,304747974664227.0
レンクウ,1,302862327347165,302862327347165.0
くる♡すきクラブ,9,2660109666589633,295567740732181.44
蓮女マネージャー,1,295042026660002,295042026660002.0
素鴨のピクセル,1,285309799664555,285309799664555.0
LLすこすこ部,1,284637328846492,284637328846492.0
はすのひよこ,1,277862019629016,277862019629016.0
同じ話し何回も…,2,553210980071897,276605490035948.5
ラー麺二郎金沢店,8,2206067625523474,275758453190434.25
"oNM,",6,1634991955398289,272498659233048.16
蓮ノ空老人会,1,269500286659888,269500286659888.0
BBF 金沢支社,1,269102793692903,269102793692903.0
1限目に遅刻ラブ,1,266410177078369,266410177078369.0
ラナンキュラス,3,782376859233650,260792286411216.66
ルドベキア,20,5190034624410320,259501731220516.0
蓮ノ空マタギ部,3,776351267792334,258783755930778.0
こずミックラブ♡,3,774921522711075,258307174237025.0
村村会,21,5397054066709167,257002574605198.44
ルリと愉快な一家,9,2289691070305016,254410118922779.56
まったりハスら～,2,502628259647321,251314129823660.5
WMW,13,3246092568098681,249699428315283.16
スクステ同好会,21,5238891774687990,249471036889904.28
綴理と無言で昼寝,1,248550237266293,248550237266293.0
打ち返した流れ星,4,992993449643042,248248362410760.5
きんぴられんこん,16,3958134135174336,247383383448396.0
泥,12,2952075162381031,246006263531752.6
後方腕組みオタク,6,1475946347023792,245991057837298.66
花帆ちゃん親衛隊,21,5151342100742570,245302004797265.25
(空白),6,1471664821082625,245277470180437.5
アフター観たいぞ,1,244819483591904,244819483591904.0
フラワー泥民館,1,244772904929268,244772904929268.0
楽園計画,2,489366352964128,244683176482064.0
乙宗梢なりきり部,13,3180759524058395,244673809542953.47
カワウソ同好会,4,977140098711703,244285024677925.75
蓮ノ空のんびり部,1,244096061903857,244096061903857.0
乙宗梢大好き部,16,3900082160633804,243755135039612.75
めぐ党藤島派,10,2429404393515941,242940439351594.1
藤島め組,4,969971045456150,242492761364037.5
ぽけもん好き,3,726286312149667,242095437383222.34
泥民館,3,718791191396420,239597063798806.66
YUKIZURI,5,1197088500697281,239417700139456.2
新鮮館,1,239019830321775,239019830321775.0
蓮ちゅきクラブ,1,238229723503869,238229723503869.0
旅人,1,234909989597821,234909989597821.0
蓮ノ空のお弁当屋,3,703245086089819,234415028696606.34
はんぺん同好会,1,233741302423539,233741302423539.0
乙宗動物園,25,5842447970409044,233697918816361.75
近畿の大金沢,1,232780837461934,232780837461934.0
フラワーガーデン,1,232645208232950,232645208232950.0
ふくふく無言OK,1,232545136424537,232545136424537.0
LA.LA.LA,20,4641949460345944,232097473017297.2
蓮ノ空FC,4,923791477445627,230947869361406.75
r/LL,3,691364188657266,230454729552422.0
はすっこくらぶ,11,2525010375589446,229546397780858.72
FPS好きクラブ,3,681134236719644,227044745573214.66
わたくしは大丈部,11,2486054019509411,226004910864491.9
待機室跡地観測所,1,225887736530665,225887736530665.0
ド！ド！泥！,2,450928554139820,225464277069910.0
さやかほ花卉園,3,675745464863228,225248488287742.66
とろぺりです,1,225033750315420,225033750315420.0
お嬢様筋トレ部,6,1349921751164027,224986958527337.84
花咲く泥も好き²,6,1345249019472601,224208169912100.16
さやかほ癒し会,7,1563296555809704,223328079401386.28
まったり,7,1555831209206546,222261601315220.84
