player_id,rank,point,player_name,search_guild_key,guild_name,数量
CAH984HAW,1.0,630418156667704.0,タピエンル,MAJT0THVB,眩耀夜行,1.0
UA5OC8495,2.0,629323814141216.0,zth,MAJT0THVB,眩耀夜行,1.0
8EB0GXWX1,3.0,553519573044737.0,えーるん,EYN9H9N16,蓮すきすきクラブ,1.0
FWBTX791U,4.0,542381373524731.0,うおー,MAJT0THVB,眩耀夜行,1.0
7604CH5KV,5.0,540862242647807.0,く…る…す…,FK5MUK0ET,くる♡すきクラブ,1.0
KY6X3BV7A,6.0,534412826846650.0,とんとろ,25PMPEMG7,星見プロ,1.0
Z4TLWEM1D,7.0,521390554393609.0,カポエラー,YE7CX8RNP,能京カバディ部,1.0
LP0BEDRF6,8.0,516694779195522.0,素顔のピクセル,EYN9H9N16,蓮すきすきクラブ,1.0
BFBDRTETJ,9.0,515944527593287.0,からいろは,EYN9H9N16,蓮すきすきクラブ,1.0
0CPFA3PTM,10.0,512988506149789.0,かりん,25PMPEMG7,星見プロ,1.0
U1IQYBNI5,11.0,503258743482384.0,通りすがりの人,BKLW6CR5L,Mix鮭の空!!,1.0
15LURYMC1,12.0,500456101685745.0,ベルトーニ,FVJFA973A,蓮ノ空愛好会,1.0
JVDRVFFBP,13.0,496508791128756.0,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,1.0
FM1GCQSEE,14.0,494817588426295.0,C72,MAJT0THVB,眩耀夜行,1.0
J9C1NN8VB,15.0,491072323102822.0,あーびん,VW65MCVF8,スリスリーズ,1.0
WL6FFE9FY,16.0,484957726151459.0,もょもと,EYN9H9N16,蓮すきすきクラブ,1.0
HVA8EZJWM,17.0,480104219331535.0,鍋,BKLW6CR5L,Mix鮭の空!!,1.0
FVG9O3T6M,18.0,468827788387049.0,つづもん,11XTEEEJT,リンクラ料理部,1.0
G25EXFDYH,19.0,465483180564494.0,いかずちさんだー,25PMPEMG7,星見プロ,1.0
TW9L2LKS7,20.0,464548060931754.0,日本エア時計学会,YE7CX8RNP,能京カバディ部,1.0
CO2UVBYHH,21.0,462389485332836.0,Say.Dat.,VW65MCVF8,スリスリーズ,1.0
A172AA7DD,22.0,461740866057360.0,にしん,FVJFA973A,蓮ノ空愛好会,1.0
KMUYDNERU,23.0,459726064163167.0,ゆうし,FC8NBAJBT,ラー麺二郎金沢店,1.0
L5FWMMCWN,24.0,457842280621729.0,はむすたー,PBRDPWEY1,村村会,1.0
1FREY7CCF,25.0,457292213915476.0,ぱ.む.ぱ.む.,11XTEEEJT,リンクラ料理部,1.0
EQOU1ZZS7,26.0,455111682743859.0,あおいペン太郎君,VW65MCVF8,スリスリーズ,1.0
WCN6J32TG,27.0,452776951089743.0,しみちゃん,BKLW6CR5L,Mix鮭の空!!,1.0
L6HBG7C3L,28.0,448475903920160.0,あまらく@,BKLW6CR5L,Mix鮭の空!!,1.0
W6KGEJ697,29.0,446598437506723.0,まだまだお,BKLW6CR5L,Mix鮭の空!!,1.0
8XP3JM3HY,30.0,443912973937366.0,リンモリ,YE7CX8RNP,能京カバディ部,1.0
B424J17UB,31.0,443552696597546.0,ginkaho,MAJT0THVB,眩耀夜行,1.0
NJ5M5IZWU,32.0,442561429514116.0,まき,R1RM3X0WV,後方腕組みオタク,1.0
VCYWGAUP5,33.0,442047313564347.0,ふぁる,BKLW6CR5L,Mix鮭の空!!,1.0
DV73OQD94,34.0,439739715678926.0,ちゆ,BKLW6CR5L,Mix鮭の空!!,1.0
3Q65ASSTC,35.0,437273976736026.0,ドガース,YE7CX8RNP,能京カバディ部,1.0
64M70NFSR,36.0,437070909560102.0,178,VW65MCVF8,スリスリーズ,1.0
VH1RC5NNC,37.0,436560855226790.0,コグレの小指にも,25PMPEMG7,星見プロ,1.0
MEGKKH1W5,38.0,434864387610399.0,75,EYN9H9N16,蓮すきすきクラブ,1.0
ON66GC85Z,39.0,431789964999158.0,ミツボシ,JTX1G19BP,さやかほ癒し会,1.0
0USG3I0AK,40.0,430607723313721.0,K’gcm,VW65MCVF8,スリスリーズ,1.0
24M5TJDPS,41.0,429632774863382.0,わるつ,FVJFA973A,蓮ノ空愛好会,1.0
GVNJDLBW8,42.0,424247471836850.0,魔虚羅,11XTEEEJT,リンクラ料理部,1.0
NC6WJYFVX,43.0,424227009096633.0,でら,11XTEEEJT,リンクラ料理部,1.0
72SX1Q0B7,44.0,419135790859318.0,ティーケー,YE7CX8RNP,能京カバディ部,1.0
VGWT7LCX7,45.0,417545920572497.0,ZUC,BKLW6CR5L,Mix鮭の空!!,1.0
KY1DYH45V,46.0,416029854130186.0,ate_san,B5V2LNN43,WMW,1.0
6NJM4GUG6,47.0,415436143505600.0,三面異次元ギギ,VW65MCVF8,スリスリーズ,1.0
TUHKRV0IW,48.0,415388012188718.0,分からん,EYN9H9N16,蓮すきすきクラブ,1.0
IZUFEEX2U,49.0,413335393088717.0,アルメ,EYN9H9N16,蓮すきすきクラブ,1.0
7TAQGMS8W,50.0,412893464916685.0,ゆる,PBRDPWEY1,村村会,1.0
R3YC2XYYZ,51.0,409937570556067.0,秋,GPKTRBCTT,騎空団蓮ノ空支部,1.0
BGZ7SP3WX,52.0,407483384469009.0,マオカイ,VW65MCVF8,スリスリーズ,1.0
7RODEB74T,53.0,406518433792319.0,しよー,RWARTHA1M,乙宗梢大好き部,1.0
D0RVYCT5J,54.0,406321377736504.0,蓮,,,1.0
L8VJOGDKM,55.0,405908198856639.0,ずっと、夏！,VW65MCVF8,スリスリーズ,1.0
FSJBKEC6U,56.0,404288213642934.0,ドードリオ,YE7CX8RNP,能京カバディ部,1.0
