行标签,求和项:数量,求和项:point
Mix鮭の空!!,30,11139787011027644
蓮すきすきクラブ,28,9846558927946050
スリスリーズ,23,8135325383698716
蓮ノ空愛好会,21,6968616694684343
眩耀夜行,19,6843566047287700
能京カバディ部,16,5980716731473928
乙宗動物園,16,4308164608894100
花帆ちゃん親衛隊,15,4195062106361335
スクステ同好会,14,3982343866149036
ルドベキア,14,4157388907920984
星見プロ,13,4452675539442480
村村会,13,3991401245665424
リンクラ料理部,10,3532973858825825
きんぴられんこん,10,2885960983993444
LA.LA.LA,9,2649731918088631
乙宗梢大好き部,9,2686797561527731
泥,9,2449319258041575
さすさやクラブ,9,2425088364229521
ルリと愉快な一家,8,2132461453769930
サークル名募集中,8,1907249936992725
乙宗梢なりきり部,8,2306387845443458
ラー麺二郎金沢店,7,2060469195909154
WMW,7,2147435477988020
くる♡すきクラブ,7,2363729930017351
かほすこ同好会,6,1719162364971178
めぐ党藤島派,6,1741381177952616
"oNM,",6,1634991955398289
蓮ノ空推し活部,6,1485330086996305
わたくしは大丈部,6,1573601214445215
はすっこくらぶ,5,1433869681520749
蓮ノ空出張部,5,1230401737243037
まったり,4,1059311625327528
(空白),4,1186704328560486
金沢おでん同好会,4,1131209768844446
さやかほ癒し会,3,880315935696745
シュリーレン,3,794220279704055
梢好き好きクラブ,3,746846535451571
カワウソ同好会,3,822243047853519
YUKIZURI,3,821374446382694
ぽけもん好き,3,726286312149667
梢すきすきクラブ,3,681793527095875
後方腕組みオタク,3,986604646639103
花帆推し倶楽部,3,810442519712841
お嬢様筋トレ部,3,797089184922333
こずミックラブ♡,2,598017621526553
徒町チャレンジ！,2,474205780108320
FPS好きクラブ,2,518105634683604
花咲く泥も好き²,2,690542571282176
流し素麺同好会,2,600232532020977
LLP,2,470900650074325
泥民館,2,560561162633431
みらくらは人生！,2,505387532049901
藤島め組,2,662974654246268
蓮ノ空FC,2,535247126792441
ぷちぐる同好会,2,511612113072132
蓮ノ空のお弁当屋,2,542125591671203
毎日がエブリデイ,2,438310171486724
蓮ノ空マタギ部,2,609473738201549
まったりハスら～,2,502628259647321
無言でおけ,2,453953870836108
さやかほ花卉園,2,443771321946049
アポロベイ海賊団,2,434460516537294
梢先輩おめでとう,2,527668358686890
蓮ノ空魔術部,2,437109100275277
同じ話し何回も…,2,553210980071897
めぐ島,2,598892070392302
無言でエンジョイ,2,497230264067516
蓮ノ沼に沈んだ泥,2,483676884509603
蓮女お嬢様クラブ,2,515808422598315
r/LL,2,510614837001413
ラナンキュラス,2,602014262683646
ド！ド！泥！,2,450928554139820
いつでも咲けるよ,2,483130593534949
打ち返した流れ星,2,687215485374972
百合ノ空観察部,2,490508005963690
綴理と無言で昼寝,1,248550237266293
乙宗紅茶館,1,220546750582244
無言 ノルマなし,1,250893895710926
蓮ちゅきクラブ,1,238229723503869
アフター見よう！,1,229775228766156
1限目に遅刻ラブ,1,266410177078369
はんぺん同好会,1,233741302423539
蓮ノ空すこやか部,1,271025583826857
花咲かせ隊,1,221280425551839
BBF 金沢支社,1,269102793692903
♬さやか愛好会♬,1,222039287224090
蓮ノ空のんびり部,1,244096061903857
騎空団蓮ノ空支部,1,409937570556067
かほ子のイオン,1,223286562119738
ぱちぱち徒町,1,247825611601403
LLすこすこ部,1,284637328846492
待機室跡地観測所,1,225887736530665
アニマル分室,1,254076457173498
フラワーガーデン,1,232645208232950
蓮ノ空老人会,1,269500286659888
花咲くラブライ部,1,214533084497925
ラ！の会,1,227408296496974
近畿の大金沢,1,232780837461934
アフター観たいぞ,1,244819483591904
泥のみんなS,1,328767705892284
ドル家の『D』,1,304747974664227
僕らのリンクラ！,1,286556373178791
蓮好き好きクラブ,1,216830296167337
沙知先輩大好き部,1,220516128941563
とろぺりです,1,225033750315420
はすのひよこ,1,277862019629016
蓮女お嬢様部,1,213595201374824
素鴨のピクセル,1,285309799664555
蓮女マネージャー,1,295042026660002
天悶部,1,293541057066452
良いチケで観よう,1,222194564471617
ふくふく無言OK,1,232545136424537
料亭「さち処」,1,215327026913036
FF43企鵝冰屋,1,213168331008716
なす料理研究会,1,209606286786499
新鮮館,1,239019830321775
瑠璃乃推し隊,1,220787729970428
休暇建設協会,1,217228024761176
旅人,1,234909989597821
フラワー泥民館,1,244772904929268
ルリと喜ド！愛楽,1,209207626009054
ぽかぽかモガの村,1,286465439430715
毎日がホリデイ♪,1,231606585210935
楽園計画,1,325871561368246
なのだけれど,1,294007188984119
レンクウ,1,302862327347165
「」ノ空だけれど,1,253167056332809
巣〜極楽〜,1,372672790835821
总计,520,155659164565922688
