行标签,求和项:数量,求和项:point,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Mix鮭の空!!,30,18150196623900248,,,,,,,,,,,,
蓮すきすきクラブ,29,16497912050752320,,,,,,,,,,,,
スリスリーズ,22,12662256598311716,,,,,,,,,,,,
蓮ノ空愛好会,20,11048948132595136,,,,,,,,,,,,
眩耀夜行,19,11030623938937340,,,,,,,,,,,,
乙宗動物園,16,7060590659245737,,,,,,,,,,,,
能京カバディ部,15,9404325893529528,,,,,,,,,,,,
スクステ同好会,14,6595851370199309,,,,,,,,,,,,
花帆ちゃん親衛隊,14,6402042988437884,,,,,,,,,,,,
ルドベキア,14,6899202385711571,,,,,,,,,,,,
星見プロ,12,6947117131774051,,,,,,,,,,,,
村村会,12,6118720281444163,,,,,,,,,,,,
きんぴられんこん,11,5162358026947972,,,,,,,,,,,,
LA.LA.LA,11,5244624268300117,,,,,,,,,,,,
リンクラ料理部,10,5752080834178869,,,,,,,,,,,,
サークル名募集中,9,3485090697988740,,,,,,,,,,,,
泥,9,4002125485606067,,,,,,,,,,,,
乙宗梢大好き部,8,4054438180132263,,,,,,,,,,,,
WMW,8,3809844042269028,,,,,,,,,,,,
ルリと愉快な一家,8,3450110519636668,,,,,,,,,Mix鮭の空!!,30.0,1.815019662390025e+16,605006554130008.2
さすさやクラブ,7,3369472919560098,,,,,,,,,蓮すきすきクラブ,29.0,1.649791205075232e+16,568893518991459.2
くる♡すきクラブ,7,3882620864746296,,,,,,,,,スリスリーズ,22.0,1.2662256598311716e+16,575557118105078.0
乙宗梢なりきり部,7,3433619411415169,,,,,,,,,蓮ノ空愛好会,20.0,1.1048948132595136e+16,552447406629756.8
めぐ党藤島派,6,2828588432419322,,,,,,,,,眩耀夜行,19.0,1.103062393893734e+16,580559154680912.6
ラー麺二郎金沢店,6,3005497859935739,,,,,,,,,乙宗動物園,16.0,7060590659245737.0,441286916202858.56
わたくしは大丈部,6,2564506578070788,,,,,,,,,能京カバディ部,15.0,9404325893529528.0,626955059568635.2
蓮ノ空推し活部,5,2111650105175862,,,,,,,,,スクステ同好会,14.0,6595851370199309.0,471132240728522.06
"oNM,",5,2280394857869145,,,,,,,,,花帆ちゃん親衛隊,14.0,6402042988437884.0,457288784888420.3
はすっこくらぶ,5,2348842301167244,,,,,,,,,ルドベキア,14.0,6899202385711571.0,492800170407969.4
かほすこ同好会,5,2384640281120144,,,,,,,,,星見プロ,12.0,6947117131774051.0,578926427647837.6
まったり,4,1726891967226191,,,,,,,,,村村会,12.0,6118720281444163.0,509893356787013.56
金沢おでん同好会,4,1821189277157805,,,,,,,,,きんぴられんこん,11.0,5162358026947972.0,469305275177088.4
(空白),4,1934413493726231,,,,,,,,,LA.LA.LA,11.0,5244624268300117.0,476784024390919.75
花帆推し倶楽部,4,1621244935109826,,,,,,,,,リンクラ料理部,10.0,5752080834178869.0,575208083417886.9
蓮ノ空出張部,4,1618663597716479,,,,,,,,,サークル名募集中,9.0,3485090697988740.0,387232299776526.7
ぽけもん好き,3,1181144421787289,,,,,,,,,泥,9.0,4002125485606067.0,444680609511785.25
シュリーレン,3,1306098703323687,,,,,,,,,乙宗梢大好き部,8.0,4054438180132263.0,506804772516532.9
後方腕組みオタク,3,1661820543439858,,,,,,,,,WMW,8.0,3809844042269028.0,476230505283628.5
さやかほ癒し会,3,1497530930663257,,,,,,,,,ルリと愉快な一家,8.0,3450110519636668.0,431263814954583.5
梢すきすきクラブ,3,1085068822516657,,,,,,,,,さすさやクラブ,7.0,3369472919560098.0,481353274222871.1
YUKIZURI,3,1319915413434820,,,,,,,,,くる♡すきクラブ,7.0,3882620864746296.0,554660123535185.1
カワウソ同好会,3,1305703880681797,,,,,,,,,乙宗梢なりきり部,7.0,3433619411415169.0,490517058773595.56
打ち返した流れ星,2,1102084679154762,,,,,,,,,めぐ党藤島派,6.0,2828588432419322.0,471431405403220.3
LLP,2,766238943852712,,,,,,,,,ラー麺二郎金沢店,6.0,3005497859935739.0,500916309989289.8
同じ話し何回も…,2,896130440259963,,,,,,,,,わたくしは大丈部,6.0,2564506578070788.0,427417763011798.0
いつでも咲けるよ,2,753885278862405,,,,,,,,,蓮ノ空推し活部,5.0,2111650105175862.0,422330021035172.4
こずミックラブ♡,2,1004318537442920,,,,,,,,,"oNM,",5.0,2280394857869145.0,456078971573829.0
r/LL,2,804402371658162,,,,,,,,,はすっこくらぶ,5.0,2348842301167244.0,469768460233448.8
梢先輩おめでとう,2,816007225057881,,,,,,,,,かほすこ同好会,5.0,2384640281120144.0,476928056224028.8
蓮ノ空のお弁当屋,2,858694980617539,,,,,,,,,まったり,4.0,1726891967226191.0,431722991806547.75
無言でおけ,2,764443977713683,,,,,,,,,金沢おでん同好会,4.0,1821189277157805.0,455297319289451.25
蓮ノ空マタギ部,2,1000430958589577,,,,,,,,,(空白),4.0,1934413493726231.0,483603373431557.75
花咲く泥も好き²,2,1156965261554267,,,,,,,,,花帆推し倶楽部,4.0,1621244935109826.0,405311233777456.5
FPS好きクラブ,2,844903423320625,,,,,,,,,蓮ノ空出張部,4.0,1618663597716479.0,404665899429119.75
泥民館,2,904498754090799,,,,,,,,,,,,
みらくらは人生！,2,854417304013742,,,,,,,,,,,,
梢好き好きクラブ,2,826355743267459,,,,,,,,,,,,
ぽかぽかモガの村,2,802107509656400,,,,,,,,,,,,
藤島め組,2,1081592908113910,,,,,,,,,,,,
蓮ノ沼に沈んだ泥,2,808299595051628,,,,,,,,,,,,
