Unnamed: 0,Unnamed: 1,day2分数,Unnamed: 3,day3增量,Unnamed: 5,Unnamed: 6,day3增量.1,Unnamed: 8
U1IQYBNI5,12.0,503258743482384.0,通りすがりの人,290555157442002.0,通りすがりの人,,388973949069072.0,タピエンル
HVA8EZJWM,18.0,480104219331535.0,鍋,253575432329855.0,鍋,,344366839807753.0,zth
WCN6J32TG,27.0,452776951089743.0,しみちゃん,283410189155497.0,まだまだお,,319356233130599.0,うおー
L6HBG7C3L,28.0,448475903920160.0,あまらく@,274708993656247.0,しみちゃん,,363273506834316.0,C72
W6KGEJ697,29.0,446598437506723.0,まだまだお,272297799172130.0,ちゆ,,269141728341413.0,ginkaho
VCYWGAUP5,33.0,442047313564347.0,ふぁる,261835166185550.0,あまらく@,,251696945148083.0,マオ
DV73OQD94,34.0,439739715678926.0,ちゆ,243239646065365.0,ふぁる,,227685093486200.0,ミミル
VGWT7LCX7,45.0,417545920572497.0,ZUC,261357619313946.0,ZUC,,211577636147913.0,XLD
69B4P3TW1,61.0,399966008728011.0,ルアルディ,258606313754945.0,こーど,,229804338405060.0,在床上睡覺
U7NEBV4KH,64.0,397599979303038.0,こーど,248689786172014.0,ルアルディ,,203765856764133.0,DasserAN
5LL48ARPU,66.0,394565877989905.0,シュウ,245642923720308.0,シュウ,,0.0,归于虚幻
S1JO65QZU,73.0,389737449304521.0,すと。,246947973719333.0,ふじー,,171034352172425.0,凰沐
TKLRD66RN,76.0,381147552087112.0,ふじー,243732356801233.0,そらをとぶ,,228615938795325.0,あばば
W4E0R6NA9,82.0,375264731721762.0,そらをとぶ,250275506747002.0,アドマイヤズーム,,145439234557082.0,Ayumu
NY9X4SWNC,88.0,371535354275221.0,くりマロン,217764871310656.0,すと。,,155668902826320.0,ティーカップ
RV0TDDA7D,95.0,367341540282278.0,ブリてっか,233298700599015.0,ブリてっか,,176991001084292.0,蓮き
6VAVCA9BY,98.0,363121761926713.0,アドマイヤズーム,238954970129170.0,真っ赤。,,133755648594671.0,敲可愛的酒瓶子
ZYAP6N76H,110.0,354558296897744.0,ぬわぁんでよぉ,224692113482296.0,ぬわぁんでよぉ,,160468089649718.0,寒梢
838S79KWG,111.0,354366805942939.0,紅蓮の破壊神,223952366712878.0,紅蓮の破壊神,,137615441041632.0,もぐなむ
HY934N56T,112.0,354102106240222.0,キラメキふたつ星,194256887908840.0,くりマロン,,175910736810788.0,たまき
TXTPD6OZ9,113.0,353793135595689.0,stella,209631356091915.0,キラメキふたつ星,,155145454952992.0,司馬運営
M8KSSVGQS,120.0,350913439650915.0,真っ赤。,205852461490935.0,stella,,119128040217968.0,唯
ME00V6X4B,160.0,325302143948283.0,オラトニス,216403141182701.0,オラトニス,,105137910629544.0,リセット
KXMPLAX04,184.0,308521957310971.0,ろーぱす,231556577888866.0,ろーぱす,,97667116997701.0,一ノ瀬リリ
70NE2637U,195.0,302266879631780.0,りふいっと,202660904939208.0,りふいっと,,,
ROKS5RRX4,202.0,298637577504916.0,れんこん,215161888996532.0,ももこ。,,,
91HY4FXBS,247.0,285281577271818.0,ももこ。,201740994979473.0,れんこん,,,
MY9GFUXVC,277.0,275201817085098.0,きっくー,174773636828548.0,きっくー,,,
4L6ELEBZY,321.0,257808512337203.0,ぷっか,199586583736567.0,ゲッコー絵森ア,,,
V7YLMH2IY,352.0,248205300845187.0,ゲッコー絵森ア,185247292359583.0,ぷっか,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
CAH984HAW,1.0,1019392105736776.0,タピエンル,388973949069072.0,タピエンル,,,
UA5OC8495,2.0,973690653948969.0,zth,344366839807753.0,zth,,,
FWBTX791U,7.0,861737606655330.0,うおー,319356233130599.0,うおー,,,
FM1GCQSEE,8.0,858091095260611.0,C72,363273506834316.0,C72,,,
B424J17UB,32.0,712694424938959.0,ginkaho,269141728341413.0,ginkaho,,,
9ENVXR95K,64.0,642925636203563.0,マオ,251696945148083.0,マオ,,,
VX6FL3EOS,86.0,600149058448570.0,ミミル,227685093486200.0,ミミル,,,
SKN67I1NN,112.0,578023600989859.0,在床上睡覺,211577636147913.0,XLD,,,
L13896J13,116.0,571770626435197.0,XLD,229804338405060.0,在床上睡覺,,,
PLE67URFB,154.0,538083778323425.0,DasserAN,203765856764133.0,DasserAN,,,
10NAV71GP,194.0,500387496228498.0,あばば,0.0,归于虚幻,,,
K9XRZKF6W,262.0,454221764458245.0,凰沐,171034352172425.0,凰沐,,,
02DY8MLAP,334.0,417537720467735.0,蓮き,228615938795325.0,あばば,,,
C8J195ETT,350.0,406613040212946.0,Ayumu,145439234557082.0,Ayumu,,,
WYT65FE8G,366.0,401030341406291.0,ティーカップ,155668902826320.0,ティーカップ,,,
RVY1A8DYV,398.0,386261653755566.0,寒梢,176991001084292.0,蓮き,,,
HLMXHTKGB,433.0,375557746818736.0,たまき,133755648594671.0,敲可愛的酒瓶子,,,
QKGZEPZSH,439.0,372109783204814.0,敲可愛的酒瓶子,160468089649718.0,寒梢,,,
KSVQ1ADIM,468.0,360345805443247.0,もぐなむ,137615441041632.0,もぐなむ,,,
2I4NAUEKO,572.0,327771013297885.0,司馬運営,175910736810788.0,たまき,,,
ME5HX7LK3,641.0,307730591025106.0,归于虚幻,155145454952992.0,司馬運営,,,
JNM0HFUXA,750.0,285315841407748.0,唯,119128040217968.0,唯,,,
2KPFCFVJ0,823.0,269223156644763.0,リセット,105137910629544.0,リセット,,,
MVT7K6KDL,903.0,251422650822636.0,一ノ瀬リリ,97667116997701.0,一ノ瀬リリ,,,
,,,,,,,,
