player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,瑠璃乃,吟子,花帆,缀理,さやか,梢,小铃,姬芽,慈
CAH984HAW,1,644786706886231,タピエンル,MAJT0THVB,眩耀夜行,3,10,10,10,10,10,10,10,10,10
UA5OC8495,2,631316601588426,zth,MAJT0THVB,眩耀夜行,9,10,10,10,10,10,10,10,10,10
Z4UQWX99L,3,625984260377928,うすげ,MAJT0THVB,眩耀夜行,9,10,10,10,10,10,10,10,10,10
FM1GCQSEE,4,618948552909579,TANEVIL,MAJT0THVB,眩耀夜行,9,10,10,10,10,10,10,10,10,10
9R9QSN1GL,5,611690605853336,fakelove,MAJT0THVB,眩耀夜行,13,10,10,10,10,10,10,10,10,10
SKN67I1NN,6,598931682966704,在床上睡覺,MAJT0THVB,眩耀夜行,3,10,10,10,10,10,10,10,10,10
FWBTX791U,7,594705415751483,garry,MAJT0THVB,眩耀夜行,0,10,10,10,10,10,10,10,10,10
WYT65FE8G,8,594556472229579,ティーカップ,MAJT0THVB,眩耀夜行,2,10,10,10,10,10,10,10,10,10
8EB0GXWX1,9,584263330334120,みむ。,EYN9H9N16,蓮星学園,4,10,10,10,10,10,10,10,10,10
2I4NAUEKO,10,583748763041354,司馬雲英,MAJT0THVB,眩耀夜行,2,10,10,10,10,10,10,10,10,10
02DY8MLAP,11,582904377595118,蓮き,MAJT0THVB,眩耀夜行,0,10,10,10,10,10,10,10,10,10
7604CH5KV,12,580556844266434,hiro,FK5MUK0ET,くる♡すきクラブ,14,10,10,10,10,10,10,10,10,10
KY6X3BV7A,13,575159908115414,とんとろ,25PMPEMG7,星見製作,7,10,10,10,10,10,10,10,10,10
SM59T811D,14,569262529744777,Case,MAJT0THVB,眩耀夜行,5,10,10,10,10,10,10,10,10,10
B424J17UB,15,561194597964508,ginkaho,MAJT0THVB,眩耀夜行,2,10,10,10,10,10,10,10,10,10
ZYAP6N76H,16,559730653193205,ぬわぁんでよぉ,BKLW6CR5L,Mix鮭の空!!,10,10,10,10,10,10,10,10,10,10
KLUX6726R,17,555676368566142,Ted,MAJT0THVB,眩耀夜行,10,10,10,10,10,10,10,10,10,10
9ENVXR95K,18,551846757877097,マオ,MAJT0THVB,眩耀夜行,2,10,10,10,10,10,10,10,10,10
PLE67URFB,19,550204218879544,DasserAN,MAJT0THVB,眩耀夜行,1,10,10,10,10,10,10,10,10,10
0CPFA3PTM,20,547402094450050,華凛,25PMPEMG7,星見製作,7,10,10,10,10,10,10,10,10,10
DES39P1DL,21,544673685623009,つらい。,YE7CX8RNP,能京カバディ部,8,10,10,10,10,10,10,10,10,10
Z4TLWEM1D,22,537641420709728,ちびこま,YE7CX8RNP,能京カバディ部,5,10,10,10,10,10,10,10,10,10
WCN6J32TG,23,537171492756796,しみちゃん,BKLW6CR5L,Mix鮭の空!!,10,10,10,10,10,10,10,10,10,10
10NAV71GP,24,537039027264943,あばば,MAJT0THVB,眩耀夜行,4,10,10,10,10,10,10,10,10,10
BFBDRTETJ,25,533668233176948,からいろは,EYN9H9N16,蓮星学園,11,10,10,10,10,10,10,10,10,10
L5FWMMCWN,26,532537704931641,位のマスカレイド,PBRDPWEY1,村村会,9,10,10,10,10,10,10,10,10,10
3Q65ASSTC,27,531540373876026,ほうがく,YE7CX8RNP,能京カバディ部,11,10,10,10,10,10,10,10,10,10
0USG3I0AK,28,531022892554469,ピーちゃん,VW65MCVF8,擦擦者達,12,10,10,10,10,10,10,10,10,10
4387Y57EA,29,528545559848785,あなたこなた,11XTEEEJT,リンクラ料理部,3,10,10,10,10,10,10,10,10,10
RCB4C3Q5H,30,527211519884026,まいごう,MAJT0THVB,眩耀夜行,10,10,10,10,10,10,10,10,10,10
A172AA7DD,31,524520146283439,にしん,FVJFA973A,蓮ノ空愛好会,2,10,10,10,10,10,10,10,10,10
