player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,瑠璃乃,吟子,姬芽,慈,缀理,梢,さやか,花帆,小铃
CAH984HAW,1,644786706886231,タピエンル,MAJT0THVB,μ's,3,10,10,10,10,10,10,10,10,10
UA5OC8495,2,631316601588426,zth,MAJT0THVB,μ's,9,10,10,10,10,10,10,10,10,10
Z4UQWX99L,3,625984260377928,うすげ,MAJT0THVB,μ's,9,10,10,10,10,10,10,10,10,10
FM1GCQSEE,4,618948552909579,TANEVIL,MAJT0THVB,μ's,9,10,10,10,10,10,10,10,10,10
9R9QSN1GL,5,611690605853336,fakelove,MAJT0THVB,μ's,13,10,10,10,10,10,10,10,10,10
SKN67I1NN,6,598931682966704,誰都別阻止我睡覺,MAJT0THVB,μ's,3,10,10,10,10,10,10,10,10,10
FWBTX791U,7,594705415751483,garry,MAJT0THVB,μ's,0,10,10,10,10,10,10,10,10,10
8EB0GXWX1,8,584263330334120,みむ。,EYN9H9N16,蓮好好俱樂部,4,10,10,10,10,10,10,10,10,10
2I4NAUEKO,9,583748763041354,司馬雲英,MAJT0THVB,μ's,2,10,10,10,10,10,10,10,10,10
02DY8MLAP,10,582904377595118,蓮き,MAJT0THVB,μ's,0,10,10,10,10,10,10,10,10,10
7604CH5KV,11,580556844266434,hiro,FK5MUK0ET,くる♡すきクラブ,14,10,10,10,10,10,10,10,10,10
KY6X3BV7A,12,575159908115414,托羅猪肉・㌧ﾄﾛ,25PMPEMG7,星見製作,7,10,10,10,10,10,10,10,10,10
SM59T811D,13,569262529744777,大小文字区別,MAJT0THVB,μ's,5,10,10,10,10,10,10,10,10,10
B424J17UB,14,561194597964508,ginkaho,MAJT0THVB,μ's,2,10,10,10,10,10,10,10,10,10
ZYAP6N76H,15,559730653193205,ぬわぁんでよぉ,BKLW6CR5L,混合三文魚天空!,10,10,10,10,10,10,10,10,10,10
WYT65FE8G,16,559283601727368,水彩世界,MAJT0THVB,μ's,2,10,10,10,10,10,10,10,10,10
KLUX6726R,17,555676368566142,Ted,MAJT0THVB,μ's,10,10,10,10,10,10,10,10,10,10
9ENVXR95K,18,551846757877097,マオ,MAJT0THVB,μ's,2,10,10,10,10,10,10,10,10,10
PLE67URFB,19,550204218879544,彼方ちゃん起きて,MAJT0THVB,μ's,1,10,10,10,10,10,10,10,10,10
0CPFA3PTM,20,547402094450050,華凛,25PMPEMG7,星見製作,7,10,10,10,10,10,10,10,10,10
DES39P1DL,21,544673685623009,つらい。,YE7CX8RNP,能京カバディ部,8,10,10,10,10,10,10,10,10,10
Z4TLWEM1D,22,537641420709728,ちびこま,YE7CX8RNP,能京カバディ部,5,10,10,10,10,10,10,10,10,10
WCN6J32TG,23,537171492756796,しみしみちゃん,BKLW6CR5L,混合三文魚天空!,10,10,10,10,10,10,10,10,10,10
10NAV71GP,24,537039027264943,あばば,MAJT0THVB,μ's,4,10,10,10,10,10,10,10,10,10
BFBDRTETJ,25,533668233176948,からいろは,EYN9H9N16,蓮好好俱樂部,11,10,10,10,10,10,10,10,10,10
L5FWMMCWN,26,532537704931641,位のマスカレイド,PBRDPWEY1,村村会,9,10,10,10,10,10,10,10,10,10
3Q65ASSTC,27,531540373876026,ほうがく,YE7CX8RNP,能京カバディ部,11,10,10,10,10,10,10,10,10,10
0USG3I0AK,28,531022892554469,ピーちゃん,VW65MCVF8,擦擦者達,12,10,10,10,10,10,10,10,10,10
4387Y57EA,29,528545559848785,あなたこなた,11XTEEEJT,リンクラ料理部,3,10,10,10,10,10,10,10,10,10
RCB4C3Q5H,30,527211519884026,まいごう,MAJT0THVB,μ's,10,10,10,10,10,10,10,10,10,10
A172AA7DD,31,524520146283439,にしん,FVJFA973A,蓮ノ空愛好会,2,10,10,10,10,10,10,10,10,10
MEGKKH1W5,32,523703330172890,75,EYN9H9N16,蓮好好俱樂部,13,10,10,10,10,10,10,10,10,10
HLMXHTKGB,33,523502238827621,たまき,MAJT0THVB,μ's,0,10,10,10,10,10,10,10,10,10
FVG9O3T6M,34,522858874414211,narrow,11XTEEEJT,リンクラ料理部,6,10,10,10,10,10,10,10,10,10
VX6FL3EOS,35,520251863169909,三三儿,MAJT0THVB,μ's,7,10,10,10,10,10,10,10,10,10
6NJM4GUG6,36,516253440371235,蓮ノ休日党,VW65MCVF8,擦擦者達,6,10,10,10,10,10,10,10,10,10
G25EXFDYH,37,516078676885556,星見製作　雷,25PMPEMG7,星見製作,2,10,10,10,10,10,10,10,10,10
U7NEBV4KH,38,515805911653402,こーど,BKLW6CR5L,混合三文魚天空!,7,10,10,10,10,10,10,10,10,10
WL6FFE9FY,39,514106543109851,もょもと,EYN9H9N16,蓮好好俱樂部,9,10,10,10,10,10,10,10,10,10
5K59F4UVE,40,512439741848773,ガチャ至上主義,MAJT0THVB,μ's,2,10,10,10,10,10,10,10,10,10
VH1RC5NNC,41,512110799155000,星見製作　小暮,25PMPEMG7,星見製作,2,10,10,10,10,10,10,10,10,10
L8VJOGDKM,42,511617978331869,立派な常識人,VW65MCVF8,擦擦者達,11,10,10,10,10,10,10,10,10,10
KXMPLAX04,43,510170558187101,ろーぱす,BKLW6CR5L,混合三文魚天空!,3,10,10,10,10,10,10,10,10,10
24M5TJDPS,44,509693487871107,鳴瀬しろは,FVJFA973A,蓮ノ空愛好会,10,10,10,10,10,10,10,10,10,10
CO2UVBYHH,45,508519318367419,ｼﾏｴﾅｶﾞ,VW65MCVF8,擦擦者達,1,10,10,10,10,10,10,10,10,10
1FREY7CCF,46,506999732314698,ぱむっち,11XTEEEJT,リンクラ料理部,3,10,10,10,10,10,10,10,10,10
GVNJDLBW8,47,506428469464382,バニラ,11XTEEEJT,リンクラ料理部,11,10,10,10,10,10,10,10,10,10
TUHKRV0IW,48,505945015643617,ポン,EYN9H9N16,蓮好好俱樂部,10,10,10,10,10,10,10,10,10,10
NOB5KDBV6,49,504462353974104,しる220,0UT59MJ8U,かほすこ同好会,4,10,10,10,10,10,10,10,10,10
GRN5C49P3,50,504159640404474,擦擦者達 永瑠雲,VW65MCVF8,擦擦者達,3,10,10,10,10,10,10,10,10,10
DRSNNTTME,51,503516947480244,もや,YE7CX8RNP,能京カバディ部,2,10,10,10,10,10,10,10,10,10
EQOU1ZZS7,52,500746202317426,葵,VW65MCVF8,擦擦者達,12,10,10,10,10,10,10,10,10,10
X0N1L475X,53,500737076964103,ぼた餅,J7N4W6Y1K,こずミックラブ♡,4,10,10,10,10,10,10,10,10,10
TKLRD66RN,54,499317882406959,ふじー,BKLW6CR5L,混合三文魚天空!,8,10,10,10,10,10,10,10,10,10
HVA8EZJWM,55,497292530689483,鍋,BKLW6CR5L,混合三文魚天空!,11,10,10,10,10,10,10,10,10,10
W6KGEJ697,56,496386982678659,まだまだお,BKLW6CR5L,混合三文魚天空!,3,10,10,10,10,10,10,10,10,10
KMUYDNERU,57,496101351681413,ゆうし,FC8NBAJBT,ラー麺二郎金沢店,13,10,10,10,10,10,10,10,10,10
LP0BEDRF6,58,492718085608582,YPT,EYN9H9N16,蓮好好俱樂部,5,10,10,10,10,10,10,10,10,10
5LL48ARPU,59,489747550601564,シュウ,BKLW6CR5L,混合三文魚天空!,13,10,10,10,10,10,10,10,10,10
PG3THEV4C,60,489660091586731,あお,EYN9H9N16,蓮好好俱樂部,1,10,10,10,10,10,10,10,10,10
J9C1NN8VB,61,489209761807766,擦擦者達 阿毘,VW65MCVF8,擦擦者達,10,10,10,10,10,10,10,10,10,10
KSVQ1ADIM,62,487639694349461,もぐなむ,MAJT0THVB,μ's,3,10,10,10,10,10,10,10,10,10
SDS1BUPY2,63,487358318301192,にる,11XTEEEJT,リンクラ料理部,5,10,10,10,10,10,10,10,10,10
JRXUOPXXN,64,487353502974012,ぐんま,49AMYCXCD,ルドベキア,8,10,10,10,10,10,10,10,10,10
FSJBKEC6U,65,485917987285229,ゼクロムレシラム,YE7CX8RNP,能京カバディ部,7,10,10,10,10,10,10,10,10,10
U1IQYBNI5,66,484901215853833,通りすがりの人,BKLW6CR5L,混合三文魚天空!,6,10,10,10,10,10,10,10,10,10
DV73OQD94,67,483942001892738,ちゆ,BKLW6CR5L,混合三文魚天空!,15,10,10,10,10,10,10,10,10,10
XTY4GG18V,68,482277280780543,こーりん,1BME38BCD,さすさやクラブ,6,10,10,10,10,10,10,10,10,10
KBI8MUTYD,69,481963467329002,まけれれ,EYN9H9N16,蓮好好俱樂部,8,10,10,10,10,10,10,10,10,10
7RODEB74T,70,481945877700941,しよー,RWARTHA1M,乙宗梢大好き部,13,10,10,10,10,10,10,10,10,10
69B4P3TW1,71,481751134508639,ルアルディ,BKLW6CR5L,混合三文魚天空!,9,10,10,10,10,10,10,10,10,10
NY9X4SWNC,72,480686226793706,くりマロン,BKLW6CR5L,混合三文魚天空!,10,10,10,10,10,10,10,10,10,10
RVY1A8DYV,73,480257944414274,暮时残阳寒梢,MAJT0THVB,μ's,7,10,10,10,10,10,10,10,10,10
NC6WJYFVX,74,479968664198883,最低だ、僕は。,11XTEEEJT,リンクラ料理部,14,10,10,10,10,10,10,10,10,10
7VE9T0CUP,75,479795052915706,村・フン民,PBRDPWEY1,村村会,4,10,10,10,10,10,10,10,10,10
XVMHQZ5Z7,76,479630482224247,タママ,PBRDPWEY1,村村会,8,10,10,10,10,10,10,10,10,10
VGWT7LCX7,77,479383292201752,ZUC,BKLW6CR5L,混合三文魚天空!,7,10,10,10,10,10,10,10,10,10
L6HBG7C3L,78,479219555936347,あまらく@,BKLW6CR5L,混合三文魚天空!,5,10,10,10,10,10,10,10,10,10
QUQRGUWJL,79,478612566314136,にしおり,F2CFWVMY9,藤島め組,9,10,10,10,10,10,10,10,10,10
8GYTX89XA,80,478209598234127,藤島慈優勝,FVJFA973A,蓮ノ空愛好会,8,10,10,10,10,10,10,10,10,10
B6XUHLVUZ,81,478158655380822,ればにら,RFYKY8DCD,LA.LA.LA,11,10,10,10,10,10,10,10,10,10
VCYWGAUP5,82,477231755023578,風が吹いたんだ,BKLW6CR5L,混合三文魚天空!,11,10,10,10,10,10,10,10,10,10
P4BD94K88,83,476011268694125,タルヒ,11XTEEEJT,リンクラ料理部,14,10,10,10,10,10,10,10,10,10
IZUFEEX2U,84,475856313818556,♡至上主義神♡,EYN9H9N16,蓮好好俱樂部,6,10,10,10,10,10,10,10,10,10
6VAVCA9BY,85,473026484918837,寒ブリ,BKLW6CR5L,混合三文魚天空!,10,10,10,10,10,10,10,10,10,10
L13896J13,86,472869490624792,XLD,MAJT0THVB,μ's,9,10,10,10,10,10,10,10,10,10
7TAQGMS8W,87,471760116604237,ゆる,PBRDPWEY1,村村会,15,10,10,10,10,10,10,10,10,10
FSHR5FP4W,88,471724630940860,Kian,0B4LPDY69,巣〜極楽〜,9,10,10,10,10,10,10,10,10,10
HY934N56T,89,470952115481840,瑠璃慈慈隆重推出,BKLW6CR5L,混合三文魚天空!,4,10,10,10,10,10,10,10,10,10
BGZ7SP3WX,90,469177481968853,はろいと,VW65MCVF8,擦擦者達,5,10,10,10,10,10,10,10,10,10
MGGGX0GH1,91,469028840988976,石もふ,VW65MCVF8,擦擦者達,12,10,10,10,10,10,10,10,10,10
68S69TGO8,92,468217042749925,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,5,10,10,10,10,10,10,10,10,10
AL804BYBX,93,467633747254169,はなぶさ,YE7CX8RNP,能京カバディ部,10,10,10,10,10,10,10,10,10,10
MY9GFUXVC,94,466144613168654,きっくー,BKLW6CR5L,混合三文魚天空!,6,10,10,10,10,10,10,10,10,10
72SX1Q0B7,95,465978849832181,ティーケー,YE7CX8RNP,能京カバディ部,5,10,10,10,10,10,10,10,10,10
C8J195ETT,96,465543533980030,大家，我回地球啦,MAJT0THVB,μ's,9,10,10,10,10,10,10,10,10,10
J5GI3NA6M,97,464077396516029,林檎林檎アップル,GXR6C85BT,花帆ちゃん親衛隊,15,10,10,10,10,10,10,10,10,10
LVRF4GDVF,98,463539753277124,たぬ,VW65MCVF8,擦擦者達,7,10,10,10,10,10,10,10,10,10
42J4J5OSG,99,463430962496329,ハラシヨ,W26TRPM1R,めぐ党藤島派,14,10,10,10,10,10,10,10,10,10
S1JO65QZU,100,463128469282556,すと。,BKLW6CR5L,混合三文魚天空!,5,10,10,10,10,10,10,10,10,10
K137HR419,101,463017944930557,しょうご,VW65MCVF8,擦擦者達,10,10,10,10,10,10,10,10,10,10
FRTXRTHK1,102,461671961488340,コルド,49AMYCXCD,ルドベキア,3,10,10,10,10,10,10,10,10,10
V7YLMH2IY,103,461530651877569,始まりは君の空,BKLW6CR5L,混合三文魚天空!,10,10,10,10,10,10,10,10,10,10
8JKPKHDHC,104,458891545357508,弐弐伍弐,EYN9H9N16,蓮好好俱樂部,13,10,10,10,10,10,10,10,10,10
3T48QL4MY,105,458604549256037,るるる,11XTEEEJT,リンクラ料理部,11,10,10,10,10,10,10,10,10,10
Q2MYOIEZV,106,458326123493789,Ey,MAJT0THVB,μ's,7,10,10,10,10,10,10,10,10,10
JVDRVFFBP,107,457747555145632,たなばた野郎,EYN9H9N16,蓮好好俱樂部,6,10,10,10,10,10,10,10,10,10
W4E0R6NA9,108,455925390624231,そらをとぶ,BKLW6CR5L,混合三文魚天空!,12,10,10,10,10,10,10,10,10,10
935BA0WHY,109,455265026670224,にむ,11FB0EDDT,スクステ同好会,3,10,10,10,10,10,10,10,10,10
ODE064I6J,110,455110530803905,ちあき,M5LHG6R4T,乙宗動物園,2,10,10,10,10,10,10,10,10,10
4KFUM6ADN,111,454828076478765,ねくすと,M5LHG6R4T,乙宗動物園,6,10,10,10,10,10,10,10,10,10
P4ZNDWHDA,112,454677258071679,どんき,GXR6C85BT,花帆ちゃん親衛隊,10,10,10,10,10,10,10,10,10,10
XB2VHAJYV,113,454633127938551,まさお,GMEF2K8DL,花咲く泥も好き²,3,10,10,10,10,10,10,10,10,10
80YJPN7V1,114,453432446059306,志賀第七,25PMPEMG7,星見製作,1,10,10,10,10,10,10,10,10,10
L71LEGR49,115,453226176415134,かんなぎ,3BDTCERX6,打ち返した流れ星,5,10,10,10,10,10,10,10,10,10
IEBYCC1D7,116,452713532491785,わらび餅,RFYKY8DCD,LA.LA.LA,6,10,10,10,10,10,10,10,10,10
XCRX2GAFB,117,452646547014574,なる,WN5B7VKPU,きんぴられんこん,6,10,10,10,10,10,10,10,10,10
XREWTWWBK,118,452597303780548,六眼のガキ,11XTEEEJT,リンクラ料理部,10,10,10,10,10,10,10,10,10,10
NLNKEMVRB,119,451225746719822,高町なのはな,FVJFA973A,蓮ノ空愛好会,3,10,10,10,10,10,10,10,10,10
AT03UHE11,120,450395555516405,有效微生物群,25PMPEMG7,星見製作,5,10,10,10,10,10,10,10,10,10
M3ANWTEQ1,121,450350105973290,"甘野老oNM,",73CBYJYB0,"oNM,",7,10,10,10,10,10,10,10,10,10
ON66GC85Z,122,448817481638934,ミツボシ,JTX1G19BP,さやかほ癒し会,14,10,10,10,10,10,10,10,10,10
152BPF239,123,448126566798403,たると,YE7CX8RNP,能京カバディ部,3,10,10,10,10,10,10,10,10,10
8KGF3M6WJ,124,447349169068617,ことりの,EYN9H9N16,蓮好好俱樂部,10,10,10,10,10,10,10,10,10,10
8DSWY1SNL,125,446713994419014,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,10,10,10,10,10,10,10,10,10,10
RKVK0YI1L,126,445072584344354,完凸おぢ,1BME38BCD,さすさやクラブ,13,10,10,10,10,10,10,10,10,10
ME00V6X4B,127,444450849934144,オラトニス,BKLW6CR5L,混合三文魚天空!,10,10,10,10,10,10,10,10,10,10
4W6BIX284,128,442099356273227,リリィ♡,FK5MUK0ET,くる♡すきクラブ,13,10,10,10,10,10,10,10,10,10
QKGZEPZSH,129,441245203256013,蒼藍凜冽酒瓶,MAJT0THVB,μ's,10,10,10,10,10,10,10,10,10,10
TW9L2LKS7,130,440999457672941,日本エア時計学会,YE7CX8RNP,能京カバディ部,11,10,10,10,10,10,10,10,10,10
TRLEB6AD0,131,440887352910582,ねんねこ,FC8NBAJBT,ラー麺二郎金沢店,5,10,10,10,10,10,10,10,10,10
JFND2KZVS,132,440004019706038,ルビジウム,FVJFA973A,蓮ノ空愛好会,10,10,10,10,10,10,10,10,10,10
8OJ4K93MD,133,439011291813997,コロ,HBUK6F7CC,乙宗梢なりきり部,9,10,10,10,10,10,10,10,10,10
7YZUF27YY,134,438785157320370,ユウキ,11FB0EDDT,スクステ同好会,3,10,10,10,10,10,10,10,10,10
EEODMO0PN,135,438282110099217,kazami,VW65MCVF8,擦擦者達,6,10,10,10,10,10,10,10,10,10
22F9H0NK0,136,437545334207282,かじみん,JTX1G19BP,さやかほ癒し会,10,10,10,10,10,10,10,10,10,10
BJI9H7CC6,137,436971249260088,エイジ,KW0RM1LEP,はすっこくらぶ,6,10,10,10,10,10,10,10,10,10
9L52YPRA1,138,434997259729239,ハミングバード,FVJFA973A,蓮ノ空愛好会,3,10,10,10,10,10,10,10,10,10
M8KSSVGQS,139,434325370885815,始まりは鮭の空,BKLW6CR5L,混合三文魚天空!,13,10,10,10,10,10,10,10,10,10
76L1SWWX0,140,434307240155096,カプ・デカホ,GXR6C85BT,花帆ちゃん親衛隊,8,10,10,10,10,10,10,10,10,10
QH44G80K9,141,431871548972572,ぱとんく,11XTEEEJT,リンクラ料理部,7,10,10,10,10,10,10,10,10,10
4L6ELEBZY,142,431522841677861,私を叶える物語,BKLW6CR5L,混合三文魚天空!,14,10,10,10,10,10,10,10,10,10
RFP277XPM,143,431227212146762,スガ,11FB0EDDT,スクステ同好会,4,10,10,10,10,10,10,10,10,10
HU55NKXPK,144,431032837669525,極光雷神具,EYN9H9N16,蓮好好俱樂部,5,10,10,10,10,10,10,10,10,10
V3J51SJ8F,145,429367316034652,ゆっきー,1BME38BCD,さすさやクラブ,5,10,10,10,10,10,10,10,10,10
W51RD80OU,146,428603790280940,赤飯のごま塩,49AMYCXCD,ルドベキア,7,10,10,10,10,10,10,10,10,10
C9325WMEN,147,428584552526573,ごめんなさい,PBRDPWEY1,村村会,0,10,10,10,10,10,10,10,10,10
4YTEQDE04,148,428095901053991,とまかの！！,EYN9H9N16,蓮好好俱樂部,6,10,10,10,10,10,10,10,10,10
JC33CNHML,149,427331581974438,♡来栖りん♡,PBRDPWEY1,村村会,3,10,10,10,10,10,10,10,10,10
KWSACZISO,150,426689758011534,すずき,CTW8DKV5P,まったり,15,10,10,10,10,10,10,10,10,10
8W61A02JJ,151,426639704953444,ごんべん京,W3YKKRWHG,ルリと愉快な一家,2,10,10,10,10,10,10,10,10,10
ZAHTN08A4,152,426066718838719,まいにち,WTJV514G9,蓮ノ空のお弁当屋,5,10,10,10,10,10,10,10,10,10
DT57UE7NP,153,425832866808351,たま,3BE2RELRC,見晴台,3,10,10,10,10,10,10,10,10,10
P73RHEK4C,154,425254316178651,ゆあちゃ,KW0RM1LEP,はすっこくらぶ,6,10,10,10,10,10,10,10,10,10
KWNXKNY6X,155,425175793862985,ぷいにゅー,49AMYCXCD,ルドベキア,14,10,10,10,10,10,10,10,10,10
1Y0XFNNDJ,156,424593633483613,かなたなか,EYN9H9N16,蓮好好俱樂部,9,10,10,10,10,10,10,10,10,10
OWS2KA4SW,157,424471855636498,ごみょ,FVJFA973A,蓮ノ空愛好会,8,10,10,10,10,10,10,10,10,10
P4LVRKG9L,158,424305591798266,月見海月,RFYKY8DCD,LA.LA.LA,8,10,10,10,10,10,10,10,10,10
DPQ6HPBXJ,159,424225153567269,黒い秋,49AMYCXCD,ルドベキア,3,10,10,10,10,10,10,10,10,10
838S79KWG,160,424091300229400,紅蓮の破壊神,BKLW6CR5L,混合三文魚天空!,5,10,10,10,10,10,10,10,10,10
ED3WCG3KU,161,424088997842651,空門蒼,FVJFA973A,蓮ノ空愛好会,0,10,10,10,10,10,10,10,10,10
K9XRZKF6W,162,423257602736560,天使天才天王寺,MAJT0THVB,μ's,8,10,10,10,10,10,10,10,10,10
74NVPKIGI,163,423002936761023,"なめろうoNM,",73CBYJYB0,"oNM,",7,10,10,10,10,10,10,10,10,10
R3YC2XYYZ,164,422320954917833,秋,GPKTRBCTT,騎空団蓮ノ空支部,2,10,10,10,10,10,10,10,10,10
T0AGDWEPM,165,422031872191072,姫芽党の長ゆゆ,M5LHG6R4T,乙宗動物園,4,10,10,10,10,10,10,10,10,10
9RV301LEB,166,421475735540397,いもむし,GXR6C85BT,花帆ちゃん親衛隊,7,10,10,10,10,10,10,10,10,10
MHUB8095B,167,420956732044997,どらろー,25PMPEMG7,星見製作,10,10,10,10,10,10,10,10,10,10
WPLF5HB13,168,420082025363910,ふっと,11XTEEEJT,リンクラ料理部,4,10,10,10,10,10,10,10,10,10
70NE2637U,169,419930188312180,りふいっと,BKLW6CR5L,混合三文魚天空!,2,10,10,10,10,10,10,10,10,10
W0WYHMBR4,170,419610186411030,リョータ,3BDTCERX6,打ち返した流れ星,3,10,10,10,10,10,10,10,10,10
CZKJL4VOV,171,419472498391347,親戚プランタン,FVJFA973A,蓮ノ空愛好会,12,10,10,10,10,10,10,10,10,10
TF3P7YXVG,172,418016124557548,擦擦者達　吉吉,VW65MCVF8,擦擦者達,5,10,10,10,10,10,10,10,10,10
YIGSDJFDL,173,417483888553474,結,YCTM6RYDP,金沢おでん同好会,6,10,10,10,10,10,10,10,10,10
RV0TDDA7D,174,416724386196579,ブリてっか,BKLW6CR5L,混合三文魚天空!,5,10,10,10,10,10,10,10,10,10
JAG81QH05,175,415525347532417,たらみ,GXR6C85BT,花帆ちゃん親衛隊,3,10,10,10,10,10,10,10,10,10
2KPFCFVJ0,176,415393304728019,リセット,MAJT0THVB,μ's,0,10,10,10,10,10,10,10,10,10
HF5CLQ1F8,177,415365151256984,すがぽん,M5LHG6R4T,乙宗動物園,5,10,10,10,10,10,10,10,10,10
CH6EH94XB,178,415061892494171,ばやしこーと,VW65MCVF8,擦擦者達,5,10,10,10,10,10,10,10,10,10
CCQ5QCTL1,179,414900602685259,琥珀,GMEF2K8DL,花咲く泥も好き²,6,10,10,10,10,10,10,10,10,10
8XP3JM3HY,180,414639902599314,リンモリ,YE7CX8RNP,能京カバディ部,2,10,10,10,10,10,10,10,10,10
DLSZMF1HF,181,414613840320331,小牧,11XTEEEJT,リンクラ料理部,9,10,10,10,10,10,10,10,10,10
MTS3N3QJK,182,414022067177230,rifotaku,D5A2EEG7F,わたくしは大丈部,11,10,10,10,10,10,10,10,10,10
KY1DYH45V,183,413817404462126,ate_san,B5V2LNN43,WMW,7,10,10,10,10,10,10,10,10,10
FYK24K9Y1,184,413651314148841,卓球,HBUK6F7CC,乙宗梢なりきり部,5,10,10,10,10,10,10,10,10,10
8E70ID58F,185,413114378189047,あるとす,WN5B7VKPU,きんぴられんこん,7,10,10,10,10,10,10,10,10,10
K7QAEXJLJ,186,412937396083660,のりすけ,49AMYCXCD,ルドベキア,10,10,10,10,10,10,10,10,10,10
LQEN0GFVZ,187,412674303042177,ごろーざ,FVJFA973A,蓮ノ空愛好会,5,10,10,10,10,10,10,10,10,10
CRBY4XCB9,188,412529799214805,全許夫,VW65MCVF8,擦擦者達,7,10,10,10,10,10,10,10,10,10
V578L0R6J,189,411507641609969,mion,AXG81GPMP,蓮ノ空マタギ部,2,10,10,10,10,10,10,10,10,10
LWHJCVJ19,190,411054564109555,小泉コン,FC8NBAJBT,ラー麺二郎金沢店,4,10,10,10,10,10,10,10,10,10
JNM0HFUXA,191,410499090759961,唯,MAJT0THVB,μ's,2,10,10,10,10,10,10,10,10,10
5W83UKK4H,192,410240516529970,望月,1BME38BCD,さすさやクラブ,13,10,10,10,10,10,10,10,10,10
VVRBWNSVQ,193,409642473986472,かんべえ,WN5B7VKPU,きんぴられんこん,8,10,10,10,10,10,10,10,10,10
5GUR9X53N,194,409367052790001,すてぽ,2B97MH4YA,同じ話し何回も…,3,10,10,10,10,10,10,10,10,10
EFW2PMAHB,195,408848705593180,くら,VW65MCVF8,擦擦者達,13,10,10,10,10,10,10,10,10,10
45NY6HUBX,196,408804420938743,かいこ,25PMPEMG7,星見製作,2,10,10,10,10,10,10,10,10,10
7Q17H65NQ,197,408780230091708,mitsu,YE7CX8RNP,能京カバディ部,6,10,10,10,10,10,10,10,10,10
7XT268BWG,198,407530656881144,冬はこずめぐ,FVJFA973A,蓮ノ空愛好会,7,10,10,10,10,10,10,10,10,10
VLVZCU5K1,199,407456811984411,ひなつき,B5V2LNN43,WMW,13,10,10,10,10,10,10,10,10,10
