player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,姬芽,吟子,小铃,慈,瑠璃乃,さやか,花帆,缀理,梢
UA5OC8495,1,1228074158599488,zth,MAJT0THVB,眩耀夜行,15,10,10,10,10,10,10,10,10,10
CAH984HAW,2,1218728868680736,タピエンル,VW65MCVF8,スリスリーズ,9,10,10,10,10,10,10,10,10,10
FWBTX791U,3,1163549348125942,garry,M5LHG6R4T,乙宗動物園,0,10,10,10,10,10,10,10,10,10
B424J17UB,4,1155659362670073,ginkaho,MAJT0THVB,眩耀夜行,14,10,10,10,10,10,10,10,10,10
KY6X3BV7A,5,1152790376684244,とんとろ,25PMPEMG7,星見プロ,15,10,10,10,10,10,10,10,10,10
D0RVYCT5J,6,1141916085114497,橡皮,,,4,10,10,10,10,10,10,10,10,10
0CPFA3PTM,7,1129148550599622,かりんたや,25PMPEMG7,星見プロ,12,10,10,10,10,10,10,10,10,10
SM59T811D,8,1128193285847719,Case,RWARTHA1M,乙宗梢大好き部,7,10,10,10,10,10,10,10,10,10
FM1GCQSEE,9,1119826756366841,Goona,MAJT0THVB,眩耀夜行,13,10,10,10,10,10,10,10,10,10
BFBDRTETJ,10,1111042530980889,からいろは,EYN9H9N16,蓮すきすきクラブ,13,10,10,10,10,10,10,10,10,10
PLE67URFB,11,1099125260588589,DasserAN,MAJT0THVB,眩耀夜行,6,10,10,10,10,10,10,10,10,10
VH1RC5NNC,12,1093042009927612,コグレ,25PMPEMG7,星見プロ,8,10,10,10,10,10,10,10,10,10
ZYAP6N76H,13,1079743011825819,ぬわぁんでよぉ,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
DRSNNTTME,14,1079686106558057,もや,YE7CX8RNP,能京カバディ部,2,10,10,10,10,10,10,10,10,10
L5FWMMCWN,15,1077633359303185,桂城泉,PBRDPWEY1,村村会,9,10,10,10,10,10,10,10,10,10
Z4TLWEM1D,16,1071952703848526,カポエラー,YE7CX8RNP,能京カバディ部,5,10,10,10,10,10,10,10,10,10
