player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,姬芽,花帆,慈,瑠璃乃,小铃,梢,缀理,さやか,吟子
KY6X3BV7A,1,557753901512849,とんとろ,25PMPEMG7,星見プロ,15,10,10,10,10,10,10,10,10,10
CAH984HAW,2,557511400728236,タピエンル,VW65MCVF8,スリスリーズ,9,10,10,10,10,10,10,10,10,10
ZYAP6N76H,3,549566443015443,ガーサイ,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
0CPFA3PTM,4,539740226211255,かりんたや,25PMPEMG7,星見プロ,12,10,10,10,10,10,10,10,10,10
A172AA7DD,5,524925900498805,にしん,FVJFA973A,蓮ノ空愛好会,3,10,10,10,10,10,10,10,10,10
D0RVYCT5J,6,521003220547087,MONO,DH6C5B7WF,蓮ノ空FC,4,10,10,10,10,10,10,10,10,10
DRSNNTTME,7,514340706409657,もや,YE7CX8RNP,蓮ノ大三十角,2,10,10,10,10,10,10,10,10,10
VH1RC5NNC,8,512799626700636,コグレ,25PMPEMG7,星見プロ,8,10,10,10,10,10,10,10,10,10
QTHXHSE6U,9,505887484276316,総たい,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10
MEGKKH1W5,10,504142566540661,75,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10
7604CH5KV,11,498324091992831,hiro,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,8
8XP3JM3HY,12,495188069407673,リンモリ,YE7CX8RNP,蓮ノ大三十角,2,10,10,10,10,10,10,10,10,10
BFBDRTETJ,13,494605011527860,からいろは,EYN9H9N16,蓮すきすきクラブ,13,10,10,10,10,10,10,10,10,10
WL6FFE9FY,14,489695652978148,もょもと,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10
3Q65ASSTC,15,489261941213592,ほうがく,YE7CX8RNP,蓮ノ大三十角,13,10,10,10,10,10,10,10,10,10
72SX1Q0B7,16,485556768920409,ティーケー,YE7CX8RNP,蓮ノ大三十角,10,10,10,10,10,10,10,10,10,10
0USG3I0AK,17,480726341724097,ピーちゃん,VW65MCVF8,スリスリーズ,15,10,10,10,10,10,10,10,10,10
HVA8EZJWM,18,480071764736226,鍋,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
W6KGEJ697,19,477124942133234,まだまだお,BKLW6CR5L,Mix鮭の空!!,6,10,10,10,10,10,10,10,10,10
U1IQYBNI5,20,475734952979539,通りすがりの人,BKLW6CR5L,Mix鮭の空!!,9,10,10,10,10,10,10,10,10,10
WCN6J32TG,21,474862228143493,さゆりす,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
FM1GCQSEE,22,473635672159870,Goona,NC2YT2V28,蓮之愛同予者何人,13,10,10,10,10,10,10,10,10,10
KXMPLAX04,23,473372394501924,ろーぱす,BKLW6CR5L,Mix鮭の空!!,12,10,10,10,10,10,10,10,10,10
KBI8MUTYD,24,471979004502671,まけれれ,EYN9H9N16,蓮すきすきクラブ,12,10,10,10,10,10,10,10,10,10
GRN5C49P3,25,468043368089628,特に優しい人,VW65MCVF8,スリスリーズ,15,10,10,10,10,10,10,10,10,10
JVDRVFFBP,26,467958591892766,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,13,10,10,10,10,10,10,10,10,10
Z4TLWEM1D,27,465031693308625,ちびこま,YE7CX8RNP,蓮ノ大三十角,5,10,10,10,10,10,10,10,10,10
U7NEBV4KH,28,464679083113564,こーど,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
PLE67URFB,29,464258438138966,DasserAN,NC2YT2V28,蓮之愛同予者何人,6,10,10,10,10,10,10,10,10,10
FVG9O3T6M,30,464082796574942,つづもん,11XTEEEJT,リンクラ料理部,10,10,10,10,10,10,10,10,10,10
LP0BEDRF6,31,463789175091481,ユプト,EYN9H9N16,蓮すきすきクラブ,12,10,10,10,10,10,10,10,10,10
TUHKRV0IW,32,461782542186830,ポン,EYN9H9N16,蓮すきすきクラブ,14,10,10,10,10,10,10,10,10,10
FWBTX791U,33,461084417416153,garry,M5LHG6R4T,乙宗動物園,0,10,10,10,10,10,10,10,10,10
ZWGHFBK3S,34,457854817744833,DSsuzu,YCTM6RYDP,金沢おでん同好会,14,10,10,10,10,10,10,10,10,10
ME00V6X4B,35,454201615357932,オラトニス,BKLW6CR5L,Mix鮭の空!!,14,10,10,10,10,10,10,10,10,10
L5FWMMCWN,36,453353508107945,マナト,PBRDPWEY1,村村会,9,10,10,10,10,10,10,10,10,10
DES39P1DL,37,452090064647122,全力応援,YE7CX8RNP,蓮ノ大三十角,8,10,10,10,10,10,10,10,10,10
P73RHEK4C,38,451816406813115,ゆあちゃ,KW0RM1LEP,はすっこくらぶ,8,10,10,10,10,10,10,10,10,10
8EB0GXWX1,39,450400439907767,みむ。,EYN9H9N16,蓮すきすきクラブ,4,9,3,10,8,9,9,9,9,9
RV0TDDA7D,40,449298826492316,ブリてっか,BKLW6CR5L,Mix鮭の空!!,14,10,10,10,10,10,10,10,10,10
WP2XGUKDR,41,447653395886987,はむはむ,EYN9H9N16,蓮すきすきクラブ,6,10,10,10,10,10,10,10,10,10
NOB5KDBV6,42,446511047377950,しる220,0UT59MJ8U,かほすこ同好会,15,10,10,10,10,10,10,10,10,10
4387Y57EA,43,446465019478412,あなたこなた,11XTEEEJT,リンクラ料理部,12,10,10,10,10,10,10,10,10,10
B424J17UB,44,445370651178547,ギンッカ,NC2YT2V28,蓮之愛同予者何人,14,10,10,10,10,10,10,10,10,10
TKLRD66RN,45,445106170118629,ふじー,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
BGZ7SP3WX,46,444200776902977,はろいと,VW65MCVF8,スリスリーズ,5,10,10,10,10,10,10,10,10,10
NY9X4SWNC,47,444066782567152,くりマロン,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
6NJM4GUG6,48,441455193734155,Sea,VW65MCVF8,スリスリーズ,6,10,10,10,10,10,10,10,10,10
HY934N56T,49,440591001855533,キセキラリンク,BKLW6CR5L,Mix鮭の空!!,9,10,10,10,10,10,10,10,10,10
X0N1L475X,50,440557950222937,ぼた餅,PBRDPWEY1,村村会,12,10,10,10,10,10,10,10,10,10
NC6WJYFVX,51,439375792192850,でら,11XTEEEJT,リンクラ料理部,15,10,10,10,10,10,10,10,10,10
7VGVR7YBY,52,438489908200164,キモオ・タ,FVJFA973A,蓮ノ空愛好会,14,9,8,10,10,10,9,10,10,8
L6HBG7C3L,53,437777119299976,あまらく@,BKLW6CR5L,Mix鮭の空!!,10,10,10,10,10,10,10,10,10,10
J9C1NN8VB,54,437628481750696,あーびん,VW65MCVF8,スリスリーズ,14,10,10,10,10,10,10,10,10,10
NJTVVJ3AR,55,437600124157653,もつに(覚醒),EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10
5LL48ARPU,56,436088130756231,シュウ,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
VGWT7LCX7,57,436078050275519,ZUC,BKLW6CR5L,Mix鮭の空!!,12,10,10,10,10,10,10,10,10,10
KMUYDNERU,58,436066258188446,ゆうし,FC8NBAJBT,ラー麺二郎金沢店,15,10,10,10,10,10,10,10,10,10
EQOU1ZZS7,59,435213659488519,バグ,VW65MCVF8,スリスリーズ,12,10,10,10,10,10,10,10,10,10
L8VJOGDKM,60,435081752532078,まる,VW65MCVF8,スリスリーズ,11,10,10,10,10,10,10,10,10,10
U0L572GGD,61,431139403226275,ガリィ,F2CFWVMY9,藤島め組,9,10,10,10,10,10,10,10,10,10
S1JO65QZU,62,430514171467659,すと。,BKLW6CR5L,Mix鮭の空!!,9,10,10,10,10,10,10,10,10,10
8KGF3M6WJ,63,429511843276767,ことりの,EYN9H9N16,蓮すきすきクラブ,14,10,10,10,10,10,10,10,10,10
67GP30NUW,64,427873201260014,yuba,11FB0EDDT,スクステ同好会,8,10,10,10,10,10,10,10,10,10
6VAVCA9BY,65,426525024946218,oyasai3,BKLW6CR5L,Mix鮭の空!!,13,10,10,10,10,10,10,10,10,10
VFEKJ4R8Q,66,426490864204569,櫻井陽菜ex,VW65MCVF8,スリスリーズ,14,10,10,10,10,10,10,10,10,10
W4E0R6NA9,67,426211588293976,素晴らしい声の人,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
CO2UVBYHH,68,425917544378352,謝罪の墓場,VW65MCVF8,スリスリーズ,1,8,6,10,9,10,8,10,10,7
70NE2637U,69,425848551726347,ぼんじり,BKLW6CR5L,Mix鮭の空!!,3,10,10,10,10,10,10,10,10,10
HU55NKXPK,70,425790612083055,たっち,EYN9H9N16,蓮すきすきクラブ,14,10,10,10,10,10,10,10,10,10
P4BD94K88,71,425717285351836,ﾛｰﾗ･ﾘﾙﾚ,11XTEEEJT,リンクラ料理部,15,10,10,10,10,10,10,10,10,10
15LURYMC1,72,425611176941772,ベルトーニ,FVJFA973A,蓮ノ空愛好会,13,10,10,10,10,10,10,10,10,10
RFP277XPM,73,425010335844849,スガ,11FB0EDDT,スクステ同好会,12,10,10,10,10,10,10,10,10,10
64M70NFSR,74,424420227206575,たむ,VW65MCVF8,スリスリーズ,13,10,10,10,10,10,10,10,10,10
TW9L2LKS7,75,424278484673362,パワッチョ,YE7CX8RNP,蓮ノ大三十角,15,10,10,10,10,10,10,10,10,10
V7YLMH2IY,76,424247992738658,ゲッコー絵森ア,BKLW6CR5L,Mix鮭の空!!,13,10,10,10,10,10,10,10,10,10
