player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,花帆,吟子,瑠璃乃,姬芽,梢,缀理,小铃,さやか,慈
CAH984HAW,1,1193974863406751,タピエンル,VW65MCVF8,スリスリーズ,9,10,10,10,10,10,10,10,10,10
KY6X3BV7A,2,1155660218162165,とんとろ,25PMPEMG7,星見プロ,15,10,10,10,10,10,10,10,10,10
0CPFA3PTM,3,1146403394516234,かりんたや,25PMPEMG7,星見プロ,12,10,10,10,10,10,10,10,10,10
ZYAP6N76H,4,1132228958784505,ガーサイ,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
VH1RC5NNC,5,1109467015594715,コグレ,25PMPEMG7,星見プロ,8,10,10,10,10,10,10,10,10,10
A172AA7DD,6,1108883919122024,にしん,FVJFA973A,蓮ノ空愛好会,3,10,10,10,10,10,10,10,10,10
DRSNNTTME,7,1099851854129081,もや,YE7CX8RNP,蓮ノ大三十角,2,10,10,10,10,10,10,10,10,10
BFBDRTETJ,8,1089869782144231,からいろは,EYN9H9N16,蓮すきすきクラブ,13,10,10,10,10,10,10,10,10,10
D0RVYCT5J,9,1081628483714996,MONO,DH6C5B7WF,蓮ノ空FC,4,10,10,10,10,10,10,10,10,10
7604CH5KV,10,1073341724802534,hiro,EYN9H9N16,蓮すきすきクラブ,15,10,8,10,10,10,10,10,10,10
QTHXHSE6U,11,1071530107734294,総たい,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10
72SX1Q0B7,12,1061255549647007,ティーケー,YE7CX8RNP,蓮ノ大三十角,10,10,10,10,10,10,10,10,10,10
0USG3I0AK,13,1053933588981499,ピーちゃん,VW65MCVF8,スリスリーズ,15,10,10,10,10,10,10,10,10,10
WL6FFE9FY,14,1050794170515908,もょもと,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10
8XP3JM3HY,15,1047763316254117,リンモリ,YE7CX8RNP,蓮ノ大三十角,3,10,10,10,10,10,10,10,10,10
MEGKKH1W5,16,1047623137718025,75,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10
GRN5C49P3,17,1028439618593133,特に優しい人,VW65MCVF8,スリスリーズ,15,10,10,10,10,10,10,10,10,10
JVDRVFFBP,18,1022143079577991,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,13,10,10,10,10,10,10,10,10,10
FVG9O3T6M,19,1016642070121464,つづもん,11XTEEEJT,リンクラ料理部,10,10,10,10,10,10,10,10,10,10
HVA8EZJWM,20,1013204163743966,鍋,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
