player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,梢,さやか,缀理,花帆,吟子,姬芽,小铃,慈,瑠璃乃
CAH984HAW,1,1893346028435245,タピエンル,VW65MCVF8,スリスリーズ,9,10,10,10,10,10,10,10,10,10
ZYAP6N76H,2,1796721950171665,ガーサイ,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
0CPFA3PTM,3,1782345359396997,かりんたや,25PMPEMG7,星見プロ,12,10,10,10,10,10,10,10,10,10
KY6X3BV7A,4,1779595831374002,とんとろ,25PMPEMG7,星見プロ,15,10,10,10,10,10,10,10,10,10
VH1RC5NNC,5,1748976408549239,A減速注意要服！,25PMPEMG7,星見プロ,8,10,10,10,10,10,10,10,10,10
DRSNNTTME,6,1743683448928509,もや,YE7CX8RNP,蓮ノ大三十角,2,10,10,10,10,10,10,10,10,10
D0RVYCT5J,7,1734884880859496,MONO,DH6C5B7WF,蓮ノ空FC,4,10,10,10,10,10,10,10,10,10
BFBDRTETJ,8,1725600851667256,からいろは,EYN9H9N16,蓮すきすきクラブ,13,10,10,10,10,10,10,10,10,10
A172AA7DD,9,1720787856016364,にしん,FVJFA973A,蓮ノ空愛好会,3,10,10,10,10,10,10,10,10,10
7604CH5KV,10,1706959706234088,hiro,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,8,10,10,10,10
UA5OC8495,11,1692646389314269,zth,NC2YT2V28,蓮之愛同予者何人,15,10,10,10,10,10,10,10,10,10
72SX1Q0B7,12,1690995232660181,ティーケー,YE7CX8RNP,蓮ノ大三十角,10,10,10,10,10,10,10,10,10,10
QTHXHSE6U,13,1681595518093616,総たい,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10
JVDRVFFBP,14,1662802165271811,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,13,10,10,10,10,10,10,10,10,10
WL6FFE9FY,15,1660728520017098,もょもと,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10
8XP3JM3HY,16,1652539430273963,リンモリ,YE7CX8RNP,蓮ノ大三十角,3,10,10,10,10,10,10,10,10,10
MEGKKH1W5,17,1651295995080719,75,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10
GRN5C49P3,18,1646169210256116,特に優しい人,VW65MCVF8,スリスリーズ,15,10,10,10,10,10,10,10,10,10
L5FWMMCWN,19,1632695645950951,マナト,PBRDPWEY1,村村会,9,10,10,10,10,10,10,10,10,10
FVG9O3T6M,20,1623998809385138,つづもん,11XTEEEJT,リンクラ料理部,10,10,10,10,10,10,10,10,10,10
0USG3I0AK,21,1598694253424142,ピーちゃん,VW65MCVF8,スリスリーズ,15,10,10,10,10,10,10,10,10,10
LP0BEDRF6,22,1595566060849111,ユプト,EYN9H9N16,蓮すきすきクラブ,12,10,10,10,10,10,10,10,10,10
HVA8EZJWM,23,1592735090741654,鍋,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
3Q65ASSTC,24,1584683699243841,ほうがく,YE7CX8RNP,蓮ノ大三十角,13,10,10,10,10,10,10,10,10,10
WCN6J32TG,25,1578850007627634,さゆりす,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
PLE67URFB,26,1577961035260032,DasserAN,NC2YT2V28,蓮之愛同予者何人,6,10,10,10,10,10,10,10,10,10
KBI8MUTYD,27,1574734539003316,まけれれ,EYN9H9N16,蓮すきすきクラブ,12,10,10,10,10,10,10,10,10,10
KXMPLAX04,28,1570093593858477,ろーぱす,BKLW6CR5L,Mix鮭の空!!,12,10,10,10,10,10,10,10,10,10
WP2XGUKDR,29,1561882925295011,はむはむ,EYN9H9N16,蓮すきすきクラブ,6,10,10,10,10,10,10,10,10,10
W6KGEJ697,30,1557311748260649,まだまだお,BKLW6CR5L,Mix鮭の空!!,6,10,10,10,10,10,10,10,10,10
U1IQYBNI5,31,1553656083943759,通りすがりの人,BKLW6CR5L,Mix鮭の空!!,9,10,10,10,10,10,10,10,10,10
Z4TLWEM1D,32,1548882676753641,ちびこま,YE7CX8RNP,蓮ノ大三十角,5,10,10,10,10,10,10,10,10,10
TUHKRV0IW,33,1547830013445807,ポン,EYN9H9N16,蓮すきすきクラブ,14,10,10,10,10,10,10,10,10,10
FWBTX791U,34,1533484592999344,garry,M5LHG6R4T,乙宗動物園,0,10,10,10,10,10,10,10,10,10
DES39P1DL,35,1530980680005159,特殊効果陰謀論者,YE7CX8RNP,蓮ノ大三十角,8,10,10,10,10,10,10,10,10,10
NOB5KDBV6,36,1524944547179517,しる220,0UT59MJ8U,かほすこ同好会,15,10,10,10,10,10,10,10,10,10
TKLRD66RN,37,1506704089409487,チャリこず7凸,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
RV0TDDA7D,38,1501422501376342,ユメノトビラ,BKLW6CR5L,Mix鮭の空!!,14,10,10,10,10,10,10,10,10,10
NC6WJYFVX,39,1496744417184206,でら,11XTEEEJT,リンクラ料理部,15,10,10,10,10,10,10,10,10,10
U7NEBV4KH,40,1493321596102775,こーど,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
P73RHEK4C,41,1488228266210182,ゆあちゃ,KW0RM1LEP,はすっこくらぶ,8,10,10,10,10,10,10,10,10,10
8EB0GXWX1,42,1486934058749348,みむ。,EYN9H9N16,蓮すきすきクラブ,4,9,9,9,3,9,9,9,10,8
ME00V6X4B,43,1486481460159065,真っ赤。,BKLW6CR5L,Mix鮭の空!!,14,10,10,10,10,10,10,10,10,10
L6HBG7C3L,44,1485779619941911,あまらく@,BKLW6CR5L,Mix鮭の空!!,10,10,10,10,10,10,10,10,10,10
8KGF3M6WJ,45,1483790697460685,ことりの,EYN9H9N16,蓮すきすきクラブ,14,10,10,10,10,10,10,10,10,10
GVNJDLBW8,46,1476686805986187,木の実マスター,11XTEEEJT,リンクラ料理部,11,10,10,10,10,10,10,10,10,9
V7YLMH2IY,47,1474885657729617,水しぶきのサイン,BKLW6CR5L,Mix鮭の空!!,13,10,10,10,10,10,10,10,10,10
4387Y57EA,48,1473243461160800,あなたこなた,11XTEEEJT,リンクラ料理部,12,10,10,10,10,10,10,10,10,10
P4BD94K88,49,1469219567419299,ﾛｰﾗ･ﾘﾙﾚ,11XTEEEJT,リンクラ料理部,15,10,10,10,10,10,10,10,10,10
BGZ7SP3WX,50,1463815407757566,はろいと,VW65MCVF8,スリスリーズ,5,10,10,10,10,10,10,10,10,10
X0N1L475X,51,1459406083733153,ぼた餅,PBRDPWEY1,村村会,12,10,10,10,10,10,10,10,10,10
VX6FL3EOS,52,1457050392797795,ミミル,EYEPHE14G,花上梢頭,12,10,10,10,10,9,10,10,10,10
NY9X4SWNC,53,1453955943170213,くりマロン,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
VGWT7LCX7,54,1453475317655952,ZUC,BKLW6CR5L,Mix鮭の空!!,12,10,10,10,10,10,10,10,10,10
KMUYDNERU,55,1452963160143204,ゆうし,FC8NBAJBT,ラー麺二郎金沢店,15,10,10,10,10,10,10,10,10,10
6NJM4GUG6,56,1450700089953410,配牌神ツモ王,VW65MCVF8,スリスリーズ,6,10,10,10,10,10,10,10,10,10
J9C1NN8VB,57,1450549083346846,あーびん,VW65MCVF8,スリスリーズ,14,10,10,10,10,10,10,10,10,10
5LL48ARPU,58,1450007516843189,シュウ,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
RFP277XPM,59,1449207037019435,スガ,11FB0EDDT,スクステ同好会,12,10,10,10,10,10,10,10,10,10
VCYWGAUP5,60,1440154410190851,君・街・空・星,BKLW6CR5L,Mix鮭の空!!,13,10,10,10,10,10,10,10,10,10
S1JO65QZU,61,1435123352627526,すと。,BKLW6CR5L,Mix鮭の空!!,9,10,10,10,10,10,10,10,10,10
8GYTX89XA,62,1432732802777589,しづノﾁｬﾝ,FVJFA973A,蓮ノ空愛好会,8,10,10,10,10,10,10,10,10,10
69B4P3TW1,63,1431174110053104,ルアルディ,BKLW6CR5L,Mix鮭の空!!,14,10,10,10,10,10,10,10,10,10
HY934N56T,64,1430631619869815,めぐりあえた奇跡,BKLW6CR5L,Mix鮭の空!!,9,10,10,10,10,10,10,10,10,10
SM59T811D,65,1429889570418444,Case,RWARTHA1M,乙宗梢大好き部,7,10,10,10,10,10,10,10,10,10
VFEKJ4R8Q,66,1429845950088243,はやみん,VW65MCVF8,スリスリーズ,14,10,10,10,10,10,10,10,10,10
1FREY7CCF,67,1429233482284089,ぱむぱむ,11XTEEEJT,リンクラ料理部,7,10,10,10,10,10,10,10,10,10
6VAVCA9BY,68,1428471235858183,運命の一撃,BKLW6CR5L,Mix鮭の空!!,13,10,10,10,10,10,10,10,10,10
3T48QL4MY,69,1427108630334448,るるる,11XTEEEJT,リンクラ料理部,12,10,10,10,10,10,10,10,10,10
NJ5M5IZWU,70,1426468249767272,まき,R1RM3X0WV,後方腕組みオタク,5,10,10,10,10,10,10,10,10,10
G25EXFDYH,71,1423781898398991,いかずちさんだー,25PMPEMG7,星見プロ,6,10,10,10,10,10,10,10,10,10
JC33CNHML,72,1423081523776513,かすかす,PBRDPWEY1,村村会,12,10,10,10,10,10,10,10,10,10
B424J17UB,73,1412256495411127,ギンッカ,NC2YT2V28,蓮之愛同予者何人,14,10,10,10,10,10,10,10,10,10
EQOU1ZZS7,74,1411852846491898,バグ,VW65MCVF8,スリスリーズ,12,10,10,10,10,10,10,10,10,10
PG3THEV4C,75,1410226647798458,あお,EYN9H9N16,蓮すきすきクラブ,7,10,10,10,10,10,10,10,10,10
XCRX2GAFB,76,1404675595664473,なる,WN5B7VKPU,きんぴられんこん,11,10,10,10,10,10,10,10,10,10
L8VJOGDKM,77,1403895335794447,まる,VW65MCVF8,スリスリーズ,11,10,10,10,10,10,10,10,10,10
9L52YPRA1,78,1403853485181986,ハミングバード,FVJFA973A,蓮ノ空愛好会,3,10,10,10,10,10,10,10,10,10
P4ZNDWHDA,79,1402938903717873,どんき,GXR6C85BT,花帆ちゃん親衛隊,12,10,10,10,10,10,10,10,10,10
8DSWY1SNL,80,1402205450589403,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,15,10,10,10,10,10,10,10,10,10
JFND2KZVS,81,1401285214559082,ルビジウム,FVJFA973A,蓮ノ空愛好会,15,10,10,10,10,10,10,10,10,10
FSJBKEC6U,82,1400286745279488,かじもとん,YE7CX8RNP,蓮ノ大三十角,7,10,10,10,10,10,10,10,10,10
CO2UVBYHH,83,1398347023115279,ずんぼ,VW65MCVF8,スリスリーズ,1,8,10,10,6,7,8,10,10,9
FM1GCQSEE,84,1398143002536324,Goona,NC2YT2V28,蓮之愛同予者何人,13,10,10,10,10,10,10,10,10,10
70NE2637U,85,1396921859195359,ぼんじり,BKLW6CR5L,Mix鮭の空!!,3,10,10,10,10,10,10,10,10,10
ODE064I6J,86,1394064439642564,ちあき,M5LHG6R4T,乙宗動物園,10,10,10,10,10,10,10,10,10,10
W4E0R6NA9,87,1392516991460314,素晴らしい声の人,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10
8JKPKHDHC,88,1392012428434101,あるふぁん,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10
67GP30NUW,89,1391719546344351,yuba,11FB0EDDT,スクステ同好会,8,10,10,10,10,10,10,10,10,10
LVRF4GDVF,90,1390899013258670,るびたぬ,VW65MCVF8,スリスリーズ,12,10,10,10,10,10,10,10,10,10
EFW2PMAHB,91,1388826648445542,くら,YCTM6RYDP,金沢おでん同好会,15,10,10,10,10,10,10,10,10,10
15LURYMC1,92,1386886978558932,ベルトーニ,FVJFA973A,蓮ノ空愛好会,13,10,10,10,10,10,10,10,10,10
AT03UHE11,93,1386448993542598,えむ,25PMPEMG7,星見プロ,14,10,10,10,10,10,10,10,10,10
ON66GC85Z,94,1386035744651950,ミツボシ,JTX1G19BP,さやかほ癒し会,15,10,10,10,10,10,10,10,10,10
