player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,姬芽,吟子,缀理,瑠璃乃,慈,小铃,花帆,さやか,梢,季度等级
CAH984HAW,1,1227517092896919,タピエンル,VW65MCVF8,スリスリーズ,14,10,10,10,10,10,10,10,10,10,90
8EB0GXWX1,2,1049432206881819,みむ。,EYN9H9N16,蓮すきすきクラブ,4,10,10,10,10,10,10,10,10,10,90
8XP3JM3HY,3,1011660983178792,リンモリ,YE7CX8RNP,蓮ノ大三十角,13,10,10,10,10,10,10,10,10,10,90
A172AA7DD,4,968239552341320,にしん,FVJFA973A,蓮ノ空愛好会,6,10,10,10,10,10,10,10,10,10,90
FVG9O3T6M,5,926414220900884,パルキア,11XTEEEJT,リンクラ料理部,11,9,10,10,10,10,10,10,10,9,88
P4BD94K88,6,906108129725117,参加賞,11XTEEEJT,リンクラ料理部,15,10,10,10,10,10,10,10,10,10,90
ON66GC85Z,7,878521377279053,ミツボシ,JTX1G19BP,さやかほ癒し会,15,10,10,10,10,10,10,10,10,10,90
LP0BEDRF6,8,873219656415683,COOOON！！,,,13,10,10,10,10,10,10,10,10,10,90
15LURYMC1,9,872747351209033,ベルトーニ,FVJFA973A,蓮ノ空愛好会,15,10,10,10,10,10,10,10,10,10,90
GRN5C49P3,10,867841713856438,セラスのセ,VW65MCVF8,スリスリーズ,15,10,10,10,10,10,10,10,10,10,90
JVDRVFFBP,11,860007568888734,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,14,8,9,10,9,10,8,9,10,10,83
B424J17UB,12,858403620517088,ギンッカ,EYN9H9N16,蓮すきすきクラブ,14,7,7,7,7,7,7,8,7,7,64
FM1GCQSEE,13,851926213828901,Goona,NC2YT2V28,蓮之愛同予者何人,13,8,8,8,8,8,8,9,9,8,74
D0RVYCT5J,14,848990850001081,MONO,BKLW6CR5L,Mix鮭の空!!,4,9,9,10,10,9,9,9,10,10,85
MEGKKH1W5,15,831817466802840,75,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10,90
BGZ7SP3WX,16,823992165001042,はろいと,VW65MCVF8,スリスリーズ,14,10,10,10,10,10,10,10,10,10,90
HVA8EZJWM,17,823186909878376,鍋,YCTM6RYDP,金沢おでん同好会,15,9,10,10,10,9,9,10,10,10,87
