player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,小铃,姬芽,缀理,さやか,梢,吟子,花帆,慈,瑠璃乃,季度等级
CAH984HAW,1,2601074772351894,タピエンル,VW65MCVF8,スリスリーズ,14,10,10,10,10,10,10,10,10,10,90
8EB0GXWX1,2,2328332971770223,今日のりんりん,EYN9H9N16,蓮すきすきクラブ,4,10,10,10,10,10,10,10,10,10,90
A172AA7DD,3,2178093385197593,にしん,FVJFA973A,蓮ノ空愛好会,6,10,10,10,10,10,10,10,10,10,90
8XP3JM3HY,4,2151294077887226,リンモリ,YE7CX8RNP,蓮ノ大三十角,13,10,10,10,10,10,10,10,10,10,90
FVG9O3T6M,5,2028034357288012,パルキア,11XTEEEJT,リンクラ料理部,11,10,9,10,10,9,10,10,10,10,88
D0RVYCT5J,6,2026497947950501,MONO,BKLW6CR5L,Mix鮭の空!!,4,10,10,10,10,10,10,10,10,10,90
B424J17UB,7,2003644519992026,ギンッカ,EYN9H9N16,蓮すきすきクラブ,15,8,9,9,9,9,7,9,8,8,76
JVDRVFFBP,8,1987456004715607,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,15,9,10,10,10,10,10,10,10,10,89
FM1GCQSEE,9,1986327770440231,Goona,NC2YT2V28,蓮之愛同予者何人,13,8,8,8,9,8,8,9,8,8,74
QTHXHSE6U,10,1983620252544915,総たい,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10,90
GRN5C49P3,11,1967007917934189,シュラスコ,VW65MCVF8,スリスリーズ,15,10,10,10,10,10,10,10,10,10,90
15LURYMC1,12,1960369165053996,ベルトーニ,FVJFA973A,蓮ノ空愛好会,15,10,10,10,10,10,10,10,10,10,90
P4BD94K88,13,1922471488580354,間宮　卓司,11XTEEEJT,リンクラ料理部,15,10,10,10,10,10,10,10,10,10,90
MEGKKH1W5,14,1912024548172234,75,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10,90
FWBTX791U,15,1895766803353894,garry,M5LHG6R4T,乙宗動物園,4,10,10,10,10,10,9,10,10,10,89
ON66GC85Z,16,1870723400389212,ミツボシ,JTX1G19BP,さやかほ癒し会,15,10,10,10,10,10,10,10,10,10,90
LP0BEDRF6,17,1869129391744541,COOOON！！,,,13,10,10,10,10,10,10,10,10,10,90
HVA8EZJWM,18,1826089711666056,鍋,YCTM6RYDP,金沢おでん同好会,15,9,9,10,10,10,10,10,10,10,88
LVRF4GDVF,19,1816682457061727,るびたぬ,VW65MCVF8,スリスリーズ,13,8,8,9,9,10,9,10,9,10,82
7VGVR7YBY,20,1811300231221184,オドオドの実,FVJFA973A,蓮ノ空愛好会,15,8,7,9,8,9,7,9,10,10,77
BGZ7SP3WX,21,1797139933002972,はろいと,VW65MCVF8,スリスリーズ,14,10,10,10,10,10,10,10,10,10,90
J9C1NN8VB,22,1781672341542308,クレセリア,VW65MCVF8,スリスリーズ,15,8,9,9,10,8,9,9,8,10,80
