player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,梢,花帆,さやか,缀理,吟子,姬芽,瑠璃乃,慈,小铃,季度等级
CAH984HAW,1,6061965935289010,タピエンル,VW65MCVF8,スリスリーズ,14,10,10,10,10,10,10,10,10,10,90
8EB0GXWX1,2,5420733558137401,来栖りん最高！,EYN9H9N16,蓮すきすきクラブ,4,10,10,10,10,10,10,10,10,10,90
A172AA7DD,3,4930159567665616,にしん,FVJFA973A,蓮ノ空愛好会,6,10,10,10,10,10,10,10,10,10,90
B424J17UB,4,4927449917189594,ギンッカ,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,8,9,9,9,9,84
8XP3JM3HY,5,4912219973359751,リンモリ,YE7CX8RNP,蓮ノ大三十角,13,10,10,10,10,10,10,10,10,10,90
FM1GCQSEE,6,4828774611530273,Goona,NC2YT2V28,蓮之愛同予者何人,13,9,9,10,10,8,8,9,9,8,80
GRN5C49P3,7,4753361430339518,ﾁｭｹ…,VW65MCVF8,スリスリーズ,15,10,10,10,10,10,10,10,10,10,90
FWBTX791U,8,4744744272915185,garry,M5LHG6R4T,乙宗動物園,4,10,10,10,10,10,10,10,10,10,90
D0RVYCT5J,9,4712240444906022,パチリス,BKLW6CR5L,Mix鮭の空!!,4,10,10,10,10,10,10,10,10,10,90
FVG9O3T6M,10,4663283225799205,アルセウス,11XTEEEJT,リンクラ料理部,11,10,10,10,10,10,10,10,10,10,90
JVDRVFFBP,11,4644217631909046,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10,90
QTHXHSE6U,12,4585917003498693,総たい,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10,90
15LURYMC1,13,4495929616911948,ベルトーニ,FVJFA973A,蓮ノ空愛好会,15,10,10,10,10,10,10,10,10,10,90
MEGKKH1W5,14,4330274788091728,75,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10,90
WL6FFE9FY,15,4288397536752782,もょもと,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,9,8,8,8,8,81
J9C1NN8VB,16,4267572403137475,クレセリア,VW65MCVF8,スリスリーズ,15,9,9,10,10,9,9,10,10,9,85
LP0BEDRF6,17,4256255664596555,へなちょこ,,,13,10,10,10,10,10,10,10,10,10,90
VCYWGAUP5,18,4251236421108818,桜色スマイル,BKLW6CR5L,Mix鮭の空!!,15,10,10,10,10,10,10,10,10,10,90
