player_id,rank,point,player_name,search_guild_key,guild_name,DR数量,姬芽,慈,さやか,花帆,吟子,小铃,瑠璃乃,缀理,梢,季度等级
CAH984HAW,1,9602046480678246,タピエンル,VW65MCVF8,スリスリーズ,14,10,10,10,10,10,10,10,10,10,90
8EB0GXWX1,2,8607211626787816,みむ。,EYN9H9N16,蓮すきすきクラブ,4,10,10,10,10,10,10,10,10,10,90
B424J17UB,3,8099444513134991,ギンッカ,EYN9H9N16,蓮すきすきクラブ,15,10,9,10,10,10,10,10,10,10,89
FWBTX791U,4,8066044202169944,garry,M5LHG6R4T,乙宗動物園,4,10,10,10,10,10,10,10,10,10,90
A172AA7DD,5,8033585274035122,にしん,FVJFA973A,蓮ノ空愛好会,6,10,10,10,10,10,10,10,10,10,90
FM1GCQSEE,6,7984861018890383,Goona,NC2YT2V28,蓮之愛同予者何人,13,9,10,10,9,10,10,9,10,9,86
GRN5C49P3,7,7916785421324536,えーるん,VW65MCVF8,スリスリーズ,15,10,10,10,10,10,10,10,10,10,90
8XP3JM3HY,8,7732971162723768,リンモリ,YE7CX8RNP,蓮ノ大三十角,13,10,10,10,10,10,10,10,10,10,90
D0RVYCT5J,9,7697413001893804,MONO,BKLW6CR5L,Mix鮭の空!!,4,10,10,10,10,10,10,10,10,10,90
FVG9O3T6M,10,7587408803478197,パルキア,11XTEEEJT,リンクラ料理部,11,10,10,10,10,10,10,10,10,10,90
JVDRVFFBP,11,7545611907503521,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10,90
QTHXHSE6U,12,7179771613814717,総たい,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10,90
WL6FFE9FY,13,7116521498930522,もょもと,EYN9H9N16,蓮すきすきクラブ,15,9,8,10,10,10,9,9,10,10,85
15LURYMC1,14,7040875264936950,ベルトーニ,FVJFA973A,蓮ノ空愛好会,15,10,10,10,10,10,10,10,10,10,90
J9C1NN8VB,15,6964172576610765,クレセリア,VW65MCVF8,スリスリーズ,15,10,10,10,10,10,10,10,10,9,89
LVRF4GDVF,16,6933952912711963,るびたぬ,VW65MCVF8,スリスリーズ,13,10,10,10,10,10,10,10,10,10,90
0CPFA3PTM,17,6919737248118435,かりんたや,25PMPEMG7,星見プロ,13,10,10,10,10,10,10,10,10,10,90
72SX1Q0B7,18,6851005829224383,ティーケー,YE7CX8RNP,蓮ノ大三十角,10,10,10,10,10,10,10,10,10,10,90
LP0BEDRF6,19,6818073746145049,ひめかほ〜,,,13,10,10,10,10,10,10,10,10,10,90
MEGKKH1W5,20,6803873363450548,75,EYN9H9N16,蓮すきすきクラブ,15,10,10,10,10,10,10,10,10,10,90
