player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,缀理,吟子,さやか,瑠璃乃,慈,姬芽,花帆,梢,小铃,季度等级
KY6X3BV7A,とんとろ,25PMPEMG7,星見プロ,15,1,1274419122155198,10,10,10,10,10,10,10,10,10,90
7604CH5KV,わいわい,FK5MUK0ET,くる♡すきクラブ,15,2,1257327448134749,10,10,10,10,10,10,10,10,10,90
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十角,15,3,1189288363194908,10,10,10,10,10,10,10,10,10,90
LP0BEDRF6,鷹の爪,YE7CX8RNP,蓮ノ大三十角,13,4,1100367916965300,10,10,10,10,10,10,10,10,10,90
QTHXHSE6U,総たい,EYN9H9N16,蓮すきすきクラブ,15,5,1095708357607826,10,10,10,10,10,10,10,10,10,90
FVG9O3T6M,つづもん,11XTEEEJT,リンクラ料理部,11,6,1078401688988408,10,10,10,10,10,10,10,10,10,90
4387Y57EA,あなたこなた,11XTEEEJT,リンクラ料理部,12,7,1077320023422489,10,10,10,10,10,10,10,10,10,90
WP2XGUKDR,39,EYN9H9N16,蓮すきすきクラブ,6,8,1067877984635363,10,9,10,10,10,10,9,10,9,87
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,9,1062529072433890,10,10,10,10,10,10,10,10,10,90
W6KGEJ697,まだまだお,BKLW6CR5L,Mix鮭の空!!,7,10,1061586596933930,10,10,10,10,10,10,10,10,10,90
HU55NKXPK,かほっめ,EYN9H9N16,蓮すきすきクラブ,15,11,1058828222738836,10,10,10,10,10,10,10,10,10,90
VCYWGAUP5,ふぁる,BKLW6CR5L,Mix鮭の空!!,15,12,1057643748881611,10,10,10,10,10,10,10,10,10,90
VH1RC5NNC,コグレ,25PMPEMG7,星見プロ,13,13,1055403860559301,10,10,10,10,10,10,10,10,10,90
MEGKKH1W5,75,EYN9H9N16,蓮すきすきクラブ,15,14,1054344503008252,10,10,10,10,10,10,10,10,10,90
D0RVYCT5J,MONO,BKLW6CR5L,Mix鮭の空!!,4,15,1052844945495682,10,10,10,10,10,10,10,10,10,90
XREWTWWBK,六眼のガキ,11XTEEEJT,リンクラ料理部,12,16,1046873922455939,10,10,10,10,10,10,10,10,10,90
L6HBG7C3L,あまらく@,BKLW6CR5L,Mix鮭の空!!,10,17,1043327860019165,10,10,10,10,10,10,10,10,10,90
A172AA7DD,にしん,FVJFA973A,蓮ノ空愛好会,6,18,1032801435488590,10,10,10,10,10,10,10,10,10,90
