player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,缀理,さやか,小铃,吟子,姬芽,慈,花帆,瑠璃乃,梢,季度等级
KY6X3BV7A,とんとろ,25PMPEMG7,星見プロ,15,1,4195214063704459,10,10,10,10,10,10,10,10,10,90
7604CH5KV,わいわい,FK5MUK0ET,くる♡すきクラブ,15,2,4074888086697018,10,10,10,10,10,10,10,10,10,90
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十角,15,3,4019230630783474,10,10,10,10,10,10,10,10,10,90
FVG9O3T6M,つづもん,11XTEEEJT,リンクラ料理部,11,4,3940941262801204,10,10,10,10,10,10,10,10,10,90
HU55NKXPK,ワンダーたっち,EYN9H9N16,蓮すきすきクラブ,15,5,3856687683369371,10,10,10,10,10,10,10,10,10,90
QTHXHSE6U,総たい,EYN9H9N16,蓮すきすきクラブ,15,6,3824051657204488,10,10,10,10,10,10,10,10,10,90
W6KGEJ697,まだまだお,BKLW6CR5L,Mix鮭の空!!,7,7,3818821666757294,10,10,10,10,10,10,10,10,10,90
LP0BEDRF6,ローレライ,YE7CX8RNP,蓮ノ大三十角,13,8,3816487022864321,10,10,10,10,10,10,10,10,10,90
0CPFA3PTM,かりんたや,25PMPEMG7,星見プロ,13,9,3813331552462010,10,10,10,10,10,10,10,10,10,90
VH1RC5NNC,コグレ,25PMPEMG7,星見プロ,13,10,3787625858328081,10,10,10,10,10,10,10,10,10,90
4387Y57EA,あなたこなた,11XTEEEJT,リンクラ料理部,12,11,3775214569120568,10,10,10,10,10,10,10,10,10,90
LVRF4GDVF,るびたぬ,VW65MCVF8,スリスリーズ,13,12,3702605211727598,10,10,10,10,10,10,10,10,10,90
XREWTWWBK,br姬芽欠損人,11XTEEEJT,リンクラ料理部,12,13,3693774243021260,10,10,10,10,10,10,10,10,10,90
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,14,3692865677984602,10,10,10,10,10,10,10,10,10,90
1FREY7CCF,ラブカス,11XTEEEJT,リンクラ料理部,7,15,3687178357512688,10,10,10,10,10,10,10,10,10,90
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,8,16,3677966105261640,10,10,10,10,10,10,10,10,10,90
L6HBG7C3L,あまらく@,BKLW6CR5L,Mix鮭の空!!,10,17,3665012057550990,10,10,10,10,10,10,10,10,10,90
D0RVYCT5J,MONO,BKLW6CR5L,Mix鮭の空!!,4,18,3661111030899553,10,10,10,10,10,10,10,10,10,90
