player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,慈,さやか,瑠璃乃,小铃,吟子,梢,花帆,缀理,姬芽
KY6X3BV7A,とんとろ,25PMPEMG7,星見プロ,15,1,5995838573474306,10,10,10,10,10,10,10,10,10
7604CH5KV,わいわい,FK5MUK0ET,くる♡すきクラブ,15,2,5815050667711101,10,10,10,10,10,10,10,10,10
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十角,15,3,5625675762939660,10,10,10,10,10,10,10,10,10
FVG9O3T6M,つづもん,11XTEEEJT,リンクラ料理部,11,4,5600161389217248,10,10,10,10,10,10,10,10,10
HU55NKXPK,ワンダーたっち,EYN9H9N16,蓮すきすきクラブ,15,5,5456874021036826,10,10,10,10,10,10,10,10,10
0CPFA3PTM,かりんたや,25PMPEMG7,星見プロ,13,6,5441670123072092,10,10,10,10,10,10,10,10,10
VH1RC5NNC,コグレ,25PMPEMG7,星見プロ,13,7,5382534031143160,10,10,10,10,10,10,10,10,10
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,8,8,5362309889693114,10,10,10,10,10,10,10,10,10
QTHXHSE6U,総たい,EYN9H9N16,蓮すきすきクラブ,15,9,5356328855385168,10,10,10,10,10,10,10,10,10
4387Y57EA,あなたこなた,11XTEEEJT,リンクラ料理部,12,10,5338398523877640,10,10,10,10,10,10,10,10,10
LP0BEDRF6,ローレライ,YE7CX8RNP,蓮ノ大三十角,13,11,5327669191295667,10,10,10,10,10,10,10,10,10
XREWTWWBK,br姬芽欠損人,11XTEEEJT,リンクラ料理部,12,12,5327375164369109,10,10,10,10,10,10,10,10,10
1FREY7CCF,ラブカス,11XTEEEJT,リンクラ料理部,7,13,5273342072499528,10,10,10,10,10,10,10,10,10
LVRF4GDVF,るびたぬ,VW65MCVF8,スリスリーズ,13,14,5230269738785671,10,10,10,10,10,10,10,10,10
L6HBG7C3L,あまらく@,BKLW6CR5L,Mix鮭の空!!,10,15,5214624758514440,10,10,10,10,10,10,10,10,10
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,16,5199290448186919,10,10,10,10,10,10,10,10,10
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,17,5185285576953602,10,10,10,10,10,10,10,10,10
JRT9COU68,1192,VW65MCVF8,スリスリーズ,15,18,5155092426507344,10,10,10,10,10,10,10,10,10
W6KGEJ697,まだまだお,BKLW6CR5L,Mix鮭の空!!,7,19,5154311879513505,10,10,10,10,10,10,10,10,10
L6A36K16J,田中琴葉,FK5MUK0ET,くる♡すきクラブ,10,20,5149773694841410,10,10,10,10,10,10,10,10,10
6NJM4GUG6,〇もふ,VW65MCVF8,スリスリーズ,6,21,5095951178107297,10,10,10,10,10,10,10,10,10
GVNJDLBW8,ダークライ,11XTEEEJT,リンクラ料理部,11,22,5086412911238421,10,10,10,10,10,10,10,10,10
FYCBDQWGV,コトブキ,AXG81GPMP,蓮ノ空マタギ部,10,23,5057952106006038,10,10,10,10,10,10,10,10,10
KMUYDNERU,サーナイトex,FC8NBAJBT,ラー麺二郎金沢店,15,24,5056263624278667,10,10,10,10,10,10,10,10,10
J9C1NN8VB,クレセリア,VW65MCVF8,スリスリーズ,15,25,5052112122639579,10,10,10,10,10,10,10,10,10
MEGKKH1W5,明月栞那,EYN9H9N16,蓮すきすきクラブ,15,26,5036575128272648,10,10,10,10,10,10,10,10,10
ZYAP6N76H,ぬわぁんでよぉ,BKLW6CR5L,Mix鮭の空!!,15,27,5035642316593094,10,10,10,10,10,10,10,10,10
L8VJOGDKM,♥(˘ ε ˘),VW65MCVF8,スリスリーズ,13,28,5032198431664515,10,10,10,10,10,10,10,10,10
WPLF5HB13,ふっと,11XTEEEJT,リンクラ料理部,15,29,5010425281317548,10,10,10,10,10,10,10,10,10
VCYWGAUP5,ふぁる,BKLW6CR5L,Mix鮭の空!!,15,30,4997849025560481,10,10,10,10,10,10,10,10,10
B424J17UB,garry,EYN9H9N16,蓮すきすきクラブ,15,31,4987226962473660,10,10,10,10,10,10,10,10,10
NJTVVJ3AR,もつに(戦う顔),EYN9H9N16,蓮すきすきクラブ,15,32,4987173344146391,10,10,10,10,10,10,10,10,10
D0RVYCT5J,MONO,BKLW6CR5L,Mix鮭の空!!,4,33,4977780051963796,10,10,10,10,10,10,10,10,10
WP2XGUKDR,36,EYN9H9N16,蓮すきすきクラブ,6,34,4947019735751281,10,10,10,10,10,10,10,10,10
X0N1L475X,ぼた餅ガール,J7N4W6Y1K,こずミックラブ♡,15,35,4946302142538856,10,10,10,10,10,10,10,10,10
A172AA7DD,にしん,FVJFA973A,蓮ノ空愛好会,6,36,4945646058547562,10,10,10,10,10,10,10,10,10
U1IQYBNI5,通りすがりの人,BKLW6CR5L,Mix鮭の空!!,9,37,4938580725086750,10,10,10,10,10,10,10,10,10
U7NEBV4KH,こーど,BKLW6CR5L,Mix鮭の空!!,15,38,4927444963452477,10,10,10,10,10,10,10,10,10
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,15,39,4923185475289915,10,10,10,10,10,10,10,10,10
AJMEJX0KG,こーか,FVJFA973A,蓮ノ空愛好会,13,40,4888590311094906,10,10,10,10,10,10,10,10,10
