player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,さやか,梢,缀理,吟子,慈,姬芽,花帆,瑠璃乃,小铃
KY6X3BV7A,とんとろ,25PMPEMG7,星見プロ,15,1,7816762052170532,10,10,10,10,10,10,10,10,10
7604CH5KV,わいわい,FK5MUK0ET,くる♡すきクラブ,15,2,7447762260511595,10,10,10,10,10,10,10,10,10
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十角,15,3,7212458190544385,10,10,10,10,10,10,10,10,10
FVG9O3T6M,つづもん,11XTEEEJT,リンクラ料理部,11,4,7206691396628225,10,10,10,10,10,10,10,10,10
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,8,5,7090170051938875,10,10,10,10,10,10,10,10,10
HU55NKXPK,たっち,EYN9H9N16,蓮すきすきクラブ,15,6,7084096726265572,10,10,10,10,10,10,10,10,10
0CPFA3PTM,かりんたや,25PMPEMG7,星見プロ,13,7,7048950605998619,10,10,10,10,10,10,10,10,10
1FREY7CCF,ラブカス,11XTEEEJT,リンクラ料理部,7,8,6880953953034259,10,10,10,10,10,10,10,10,10
4387Y57EA,あなたこなた,11XTEEEJT,リンクラ料理部,12,9,6871131223225828,10,10,10,10,10,10,10,10,10
QTHXHSE6U,総たい,EYN9H9N16,蓮すきすきクラブ,15,10,6867458601624552,10,10,10,10,10,10,10,10,10
L6A36K16J,田中琴葉,FK5MUK0ET,くる♡すきクラブ,10,11,6865441462501262,10,10,10,10,10,10,10,10,10
XREWTWWBK,br姬芽欠損人,11XTEEEJT,リンクラ料理部,12,12,6863289611378676,10,10,10,10,10,10,10,10,10
VH1RC5NNC,コグレ,25PMPEMG7,星見プロ,13,13,6861176653467654,10,10,10,10,10,10,10,10,10
LP0BEDRF6,>-<,YE7CX8RNP,蓮ノ大三十角,13,14,6801525533180511,10,10,10,10,10,10,10,10,10
L6HBG7C3L,あまらく@,BKLW6CR5L,Mix鮭の空!!,10,15,6791222760865616,10,10,10,10,10,10,10,10,10
LVRF4GDVF,るびたぬ,VW65MCVF8,スリスリーズ,13,16,6771060472720101,10,10,10,10,10,10,10,10,10
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,17,6756777019073798,10,10,10,10,10,10,10,10,10
W6KGEJ697,まだまだお,BKLW6CR5L,Mix鮭の空!!,7,18,6750477368104562,10,10,10,10,10,10,10,10,10
JRT9COU68,1192,VW65MCVF8,スリスリーズ,15,19,6702974322947426,10,10,10,10,10,10,10,10,10
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,20,6694035338515200,10,10,10,10,10,10,10,10,10
6NJM4GUG6,びーるん,VW65MCVF8,スリスリーズ,6,21,6660925611419203,10,10,10,10,10,10,10,10,10
L8VJOGDKM,♥(˘ ε ˘),VW65MCVF8,スリスリーズ,13,22,6635154235763447,10,10,10,10,10,10,10,10,10
ZYAP6N76H,ぬわぁんでよぉ,BKLW6CR5L,Mix鮭の空!!,15,23,6606224618143597,10,10,10,10,10,10,10,10,10
GVNJDLBW8,ダークライ,11XTEEEJT,リンクラ料理部,11,24,6577211200212770,10,10,10,10,10,10,10,10,10
D0RVYCT5J,MONO,BKLW6CR5L,Mix鮭の空!!,4,25,6575436985349604,10,10,10,10,10,10,10,10,10
FYCBDQWGV,コトブキ,AXG81GPMP,蓮ノ空マタギ部,10,26,6574614881239034,10,10,10,10,10,10,10,10,10
WP2XGUKDR,35,EYN9H9N16,蓮すきすきクラブ,6,27,6539303983869337,10,10,10,10,10,10,10,10,10
WPLF5HB13,ふっと,11XTEEEJT,リンクラ料理部,15,28,6536518619927456,10,10,10,10,10,10,10,10,10
KMUYDNERU,サーナイトex,FC8NBAJBT,ラー麺二郎金沢店,15,29,6502865269505717,10,10,10,10,10,10,10,10,10
NJTVVJ3AR,もつに(戦う顔),EYN9H9N16,蓮すきすきクラブ,15,30,6486747370014628,10,10,10,10,10,10,10,10,10
B424J17UB,garry,EYN9H9N16,蓮すきすきクラブ,15,31,6480790950397059,10,10,10,10,10,10,10,10,10
J9C1NN8VB,クレセリア,VW65MCVF8,スリスリーズ,15,32,6471063735719175,10,10,10,10,10,10,10,10,10
VCYWGAUP5,ふぁる,BKLW6CR5L,Mix鮭の空!!,15,33,6463601898538293,10,10,10,10,10,10,10,10,10
MEGKKH1W5,75,EYN9H9N16,蓮すきすきクラブ,15,34,6455952636914172,10,10,10,10,10,10,10,10,10
X0N1L475X,ぼた餅ガール,J7N4W6Y1K,こずミックラブ♡,15,35,6413095404834311,10,10,10,10,10,10,10,10,10
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,15,36,6399152482207675,10,10,10,10,10,10,10,10,10
U7NEBV4KH,こーど,BKLW6CR5L,Mix鮭の空!!,15,37,6377173959108040,10,10,10,10,10,10,10,10,10
U1IQYBNI5,通りすがりの人,BKLW6CR5L,Mix鮭の空!!,9,38,6374263368058959,10,10,10,10,10,10,10,10,10
AJMEJX0KG,こーか,FVJFA973A,蓮ノ空愛好会,13,39,6357709123185424,10,10,10,10,10,10,10,10,10
A172AA7DD,にしん,FVJFA973A,蓮ノ空愛好会,6,40,6331409357684210,10,10,10,10,10,10,10,10,10
P4ZNDWHDA,どんき,GXR6C85BT,花帆ちゃん親衛隊,12,41,6319674894628053,10,10,10,10,10,10,10,10,10
BFBDRTETJ,からいろは,EYN9H9N16,蓮すきすきクラブ,13,42,6311240824103803,10,10,10,10,10,10,10,10,10
EQOU1ZZS7,能登牛プレミアム,VW65MCVF8,スリスリーズ,12,43,6271078324556805,10,10,10,10,10,10,10,10,10
P73RHEK4C,ゆあちゃ,EYN9H9N16,蓮すきすきクラブ,10,44,6263854607102001,10,10,10,10,10,10,10,10,10
TW9L2LKS7,パワッチョ,YE7CX8RNP,蓮ノ大三十角,15,45,6223334152146874,10,10,10,10,10,10,10,10,10
VGWT7LCX7,ZUC,BKLW6CR5L,Mix鮭の空!!,12,46,6221752200307852,10,10,10,10,10,10,10,10,10
764KKEH5V,K,X7C21B7H7,泥,9,47,6208528428174841,10,10,10,10,10,10,10,10,10
8GYTX89XA,しづ,FVJFA973A,蓮ノ空愛好会,8,48,6180645311607093,10,10,10,10,10,10,10,10,10
AL804BYBX,はなぶさ,YE7CX8RNP,蓮ノ大三十角,15,49,6168087376406398,10,10,10,10,10,10,10,10,10
NLNKEMVRB,なのはな,H6JWBBGCG,蓮天・乙宗一心流,13,50,6164396605969539,10,10,10,10,10,10,10,10,10
