player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,姬芽,花帆,慈,瑠璃乃,小铃,梢,缀理,さやか,吟子,昨天分数,是否出刀,未出刀人数
KY6X3BV7A,とんとろ,25PMPEMG7,星見プロ,15,1,9609704486088876,10,10,10,10,10,10,10,10,10,7816762052170532,True,16
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,8,2,8793588843675574,10,10,10,10,10,10,10,10,10,7090170051938875,True,18
0CPFA3PTM,かりんたや,25PMPEMG7,星見プロ,13,3,8663083891248249,10,10,10,10,10,10,10,10,10,7048950605998619,True,16
JRT9COU68,1192,VW65MCVF8,スリスリーズ,15,4,8241303458150827,10,10,10,10,10,10,10,10,10,6702974322947426,True,22
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,5,8176745762022599,10,10,10,10,10,10,10,10,10,6694035338515200,True,16
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,15,6,7889233384503739,10,10,10,10,10,10,10,10,10,6399152482207675,True,18
BFBDRTETJ,からいろは,EYN9H9N16,蓮すきすきクラブ,13,7,7840407721505547,10,10,10,10,10,10,10,10,10,6311240824103803,True,16
AJMEJX0KG,こーか,FVJFA973A,蓮ノ空愛好会,13,8,7811247842552216,10,10,10,10,10,10,10,10,10,6357709123185424,True,16
EQOU1ZZS7,能登牛プレミアム,VW65MCVF8,スリスリーズ,12,9,7738317298102099,10,10,10,10,10,10,10,10,10,6271078324556805,True,22
W6KGEJ697,まだまだお,BKLW6CR5L,Mix鮭の空!!,7,10,7737180488753123,10,10,10,10,10,10,10,10,10,6750477368104562,True,22
P73RHEK4C,ゆあちゃ,EYN9H9N16,蓮すきすきクラブ,10,11,7717070889762169,10,10,10,10,10,10,10,10,10,6263854607102001,True,16
VCYWGAUP5,ふぁる,BKLW6CR5L,Mix鮭の空!!,15,12,7666992196575359,10,10,10,10,10,10,10,10,10,6463601898538293,True,22
PLE67URFB,ギンッカ,M5LHG6R4T,乙宗動物園,6,13,7511820062092012,10,10,10,10,10,10,10,10,10,6077481502714310,True,18
