player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,瑠璃乃,吟子,缀理,さやか,花帆,小铃,梢,慈,姬芽
KY6X3BV7A,とんとろ,25PMPEMG7,星見プロ,15,1,9609704486088876,10,10,10,10,10,10,10,10,10
7604CH5KV,わいわい,FK5MUK0ET,くる♡すきクラブ,15,2,9165128535285396,10,10,10,10,10,10,10,10,10
FVG9O3T6M,つづもん,11XTEEEJT,リンクラ料理部,11,3,8876100674005240,10,10,10,10,10,10,10,10,10
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十角,15,4,8843392044517966,10,10,10,10,10,10,10,10,10
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,8,5,8793588843675574,10,10,10,10,10,10,10,10,10
HU55NKXPK,たっち,EYN9H9N16,蓮すきすきクラブ,15,6,8747493414626435,10,10,10,10,10,10,10,10,10
0CPFA3PTM,かりんたや,25PMPEMG7,星見プロ,13,7,8663083891248249,10,10,10,10,10,10,10,10,10
L6A36K16J,田中琴葉,FK5MUK0ET,くる♡すきクラブ,10,8,8634683698525633,10,10,10,10,10,10,10,10,10
XREWTWWBK,六眼のガキ,11XTEEEJT,リンクラ料理部,12,9,8533589164392822,10,10,10,10,10,10,10,10,10
VH1RC5NNC,コグレ,25PMPEMG7,星見プロ,13,10,8510365671520377,10,10,10,10,10,10,10,10,10
1FREY7CCF,ぱむぱむ,11XTEEEJT,リンクラ料理部,7,11,8508555461337569,10,10,10,10,10,10,10,10,10
4387Y57EA,あなたこなた,11XTEEEJT,リンクラ料理部,12,12,8491671872392963,10,10,10,10,10,10,10,10,10
L6HBG7C3L,あまらく@,BKLW6CR5L,Mix鮭の空!!,10,13,8435481973064897,10,10,10,10,10,10,10,10,10
W6KGEJ697,まだまだお,BKLW6CR5L,Mix鮭の空!!,7,14,8341306959793329,10,10,10,10,10,10,10,10,10
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,15,8340042079354584,10,10,10,10,10,10,10,10,10
QTHXHSE6U,総たい,EYN9H9N16,蓮すきすきクラブ,15,16,8322069133321277,10,10,10,10,10,10,10,10,10
LVRF4GDVF,るびたぬ,VW65MCVF8,スリスリーズ,13,17,8314612434027273,10,10,10,10,10,10,10,10,10
JRT9COU68,1192,VW65MCVF8,スリスリーズ,15,18,8241303458150827,10,10,10,10,10,10,10,10,10
LP0BEDRF6,良い人たくさん,YE7CX8RNP,蓮ノ大三十角,13,19,8233904907237024,10,10,10,10,10,10,10,10,10
6NJM4GUG6,Sea,VW65MCVF8,スリスリーズ,6,20,8228904230297011,10,10,10,10,10,10,10,10,10
ZYAP6N76H,ぬわぁんでよぉ,BKLW6CR5L,Mix鮭の空!!,15,21,8193464882368374,10,10,10,10,10,10,10,10,10
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,22,8176745762022599,10,10,10,10,10,10,10,10,10
L8VJOGDKM,まる,VW65MCVF8,スリスリーズ,13,23,8160093649023778,10,10,10,10,10,10,10,10,10
WP2XGUKDR,はむはむ,EYN9H9N16,蓮すきすきクラブ,6,24,8139455192701754,10,10,10,10,10,10,10,10,10
D0RVYCT5J,MONO,BKLW6CR5L,Mix鮭の空!!,4,25,8124571319955137,10,10,10,10,10,10,10,10,10
FYCBDQWGV,コトブキ,AXG81GPMP,蓮ノ空マタギ部,10,26,8113969775146916,10,10,10,10,10,10,10,10,10
WPLF5HB13,ふっと,11XTEEEJT,リンクラ料理部,15,27,8098332778621278,10,10,10,10,10,10,10,10,10
GVNJDLBW8,ダークライ,11XTEEEJT,リンクラ料理部,11,28,8033094874972288,10,10,10,10,10,10,10,10,10
B424J17UB,ギンッカ,EYN9H9N16,蓮すきすきクラブ,15,29,8032918432022205,10,10,10,10,10,10,10,10,10
NJTVVJ3AR,もつに(戦う顔),EYN9H9N16,蓮すきすきクラブ,15,30,7969994989261866,10,10,10,10,10,10,10,10,10
X0N1L475X,ぼた餅ガール,J7N4W6Y1K,こずミックラブ♡,15,31,7940817777489835,10,10,10,10,10,10,10,10,10
KMUYDNERU,ゆうし,FC8NBAJBT,ラー麺二郎金沢店,15,32,7936704324800816,10,10,10,10,10,10,10,10,10
J9C1NN8VB,あび,VW65MCVF8,スリスリーズ,15,33,7915174214423361,10,10,10,10,10,10,10,10,10
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,15,34,7889233384503739,10,10,10,10,10,10,10,10,10
U7NEBV4KH,こーど,BKLW6CR5L,Mix鮭の空!!,15,35,7861366217213560,10,10,10,10,10,10,10,10,10
MEGKKH1W5,75,EYN9H9N16,蓮すきすきクラブ,15,36,7844823011812508,10,10,10,10,10,10,10,10,10
BFBDRTETJ,からいろは,EYN9H9N16,蓮すきすきクラブ,13,37,7840407721505547,10,10,10,10,10,10,10,10,10
AJMEJX0KG,こーか,FVJFA973A,蓮ノ空愛好会,13,38,7811247842552216,10,10,10,10,10,10,10,10,10
