player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,吟子,瑠璃乃,慈,梢,花帆,缀理,さやか,姬芽,小铃
D0RVYCT5J,MONO,BKLW6CR5L,Mix鮭の空!!,8,1,3529012041262186,10,10,10,10,10,10,10,10,10
UA5OC8495,zth,NC2YT2V28,蓮之愛同予者何人,15,2,3521172854455731,10,10,10,10,10,10,10,10,10
CAH984HAW,タピエンル,VW65MCVF8,スリスリーズ,14,3,3432867132333469,10,10,10,10,10,10,10,10,10
8EB0GXWX1,わいわい,EYN9H9N16,蓮すきすきクラブ,4,4,3367392061248769,10,10,10,10,10,10,10,10,10
PLE67URFB,祝祝,M5LHG6R4T,乙宗動物園,8,5,3351138853874707,10,10,10,10,10,10,10,10,10
WP2XGUKDR,祝祝,EYN9H9N16,蓮すきすきクラブ,15,6,3311613008785992,10,10,10,10,10,10,10,10,10
7604CH5KV,祝祝,FK5MUK0ET,くる♡すきクラブ,15,7,3311428135024593,10,10,10,10,10,10,10,10,10
9ENVXR95K,マオ･д･)?,M5LHG6R4T,乙宗動物園,10,8,3283964127342574,10,10,10,10,10,10,10,10,10
DES39P1DL,祝祝,EYN9H9N16,蓮すきすきクラブ,13,9,3276248108166794,10,10,10,10,10,10,10,10,10
B424J17UB,祝祝,EYN9H9N16,蓮すきすきクラブ,15,10,3275956439614122,10,10,10,10,10,10,10,10,10
L6A36K16J,なりり(本物),FK5MUK0ET,くる♡すきクラブ,12,11,3249725887058824,10,10,10,10,10,10,10,10,10
LP0BEDRF6,祝祝,,,13,12,3244072914199916,10,10,10,10,10,10,10,10,10
8XP3JM3HY,林杜,CX967RTGY,おんゆあさーくる,13,13,3234949011424712,10,10,10,10,10,10,10,10,10
FWBTX791U,garry,M5LHG6R4T,乙宗動物園,4,14,3219717334794763,10,10,10,10,10,10,10,10,10
A172AA7DD,にしん,FVJFA973A,蓮ノ空愛好会,6,15,3200783618504325,10,10,10,10,10,10,10,10,10
8KGF3M6WJ,Faker,EYN9H9N16,蓮すきすきクラブ,15,16,3162270164948070,10,10,10,10,10,10,10,10,10
0CPFA3PTM,かりんたや,25PMPEMG7,星見プロ,14,17,3133489190736295,10,10,10,10,10,10,10,10,10
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,18,3110771335963183,10,10,10,10,10,10,10,10,10
XREWTWWBK,握撃ルブラン,11XTEEEJT,リンクラ料理部,15,19,3099399078381178,10,10,10,10,10,10,10,10,10
FM1GCQSEE,Goona,M5LHG6R4T,乙宗動物園,13,20,3070346348978052,10,10,10,10,10,10,10,10,10
QTHXHSE6U,祝祝,EYN9H9N16,蓮すきすきクラブ,15,21,3025287132175939,10,10,10,10,10,10,10,10,10
64M70NFSR,たむ,VW65MCVF8,スリスリーズ,15,22,3014131166634685,10,10,10,10,10,10,10,10,10
HU55NKXPK,Fake野郎,EYN9H9N16,蓮すきすきクラブ,15,23,2999146670991427,10,10,10,10,10,10,10,10,10
WPLF5HB13,コライドン,11XTEEEJT,リンクラ料理部,15,24,2997497446271555,10,10,10,10,10,10,10,10,10
WCN6J32TG,しみちゃん,BKLW6CR5L,Mix鮭の空!!,15,25,2994916491776716,10,10,10,10,10,10,10,10,10
GVNJDLBW8,ダークライ,11XTEEEJT,リンクラ料理部,11,26,2950409377465155,10,10,10,10,10,10,10,10,10
K137HR419,しょうご,VW65MCVF8,スリスリーズ,15,27,2942013860066771,10,10,10,10,10,10,10,10,10
ZYAP6N76H,ぬわぁんでよぉ,BKLW6CR5L,Mix鮭の空!!,15,28,2935724831801740,10,10,10,10,10,10,10,10,10
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十兆角,15,29,2904998276312194,10,10,10,10,10,10,10,10,10
HVA8EZJWM,鍋,YCTM6RYDP,金沢おでん同好会,15,30,2895443432846393,10,10,10,10,10,10,10,10,10
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,8,31,2879324044428456,9,9,9,9,10,10,10,9,10
L6HBG7C3L,あまらく@,BKLW6CR5L,Mix鮭の空!!,15,32,2862333308277553,10,10,10,10,10,10,10,10,10
GRN5C49P3,サイバJイレブン,VW65MCVF8,スリスリーズ,15,33,2856531263833612,10,10,10,10,10,10,10,10,10
