player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,缀理,姬芽,瑠璃乃,小铃,吟子,慈,梢,さやか,花帆
D0RVYCT5J,MONO,BKLW6CR5L,Mix鮭の空!!,8,1,5629981737244343,10,10,10,10,10,10,10,10,10
UA5OC8495,zth,NC2YT2V28,蓮之愛同予者何人,15,2,5612531688255756,10,10,10,10,10,10,10,10,10
8EB0GXWX1,祝祝,EYN9H9N16,蓮すきすきクラブ,4,3,5502917429347916,10,10,10,10,10,10,10,10,10
7604CH5KV,祝祝,FK5MUK0ET,くる♡すきクラブ,15,4,5435073808008291,10,10,10,10,10,10,10,10,10
CAH984HAW,タピエンル,VW65MCVF8,スリスリーズ,14,5,5424961548601218,10,10,10,10,10,10,10,10,10
DES39P1DL,祝祝,EYN9H9N16,蓮すきすきクラブ,13,6,5382296597185490,10,10,10,10,10,10,10,10,10
PLE67URFB,DasserAN,M5LHG6R4T,乙宗動物園,8,7,5378538759530869,10,10,10,10,10,10,10,10,10
L6A36K16J,なりり(本物),FK5MUK0ET,くる♡すきクラブ,12,8,5348681509090945,10,10,10,10,10,10,10,10,10
WP2XGUKDR,祝祝,EYN9H9N16,蓮すきすきクラブ,15,9,5328200629938379,10,10,10,10,10,10,10,10,10
9ENVXR95K,マオ･д･)?,M5LHG6R4T,乙宗動物園,10,10,5302494172739280,10,10,10,10,10,10,10,10,10
FWBTX791U,ザコ,M5LHG6R4T,乙宗動物園,4,11,5279942250665795,10,10,10,10,10,10,10,10,10
B424J17UB,hiro,EYN9H9N16,蓮すきすきクラブ,15,12,5270099169597507,10,10,10,10,10,10,10,10,10
LP0BEDRF6,祝祝,,,13,13,5168636099303263,10,10,10,10,10,10,10,10,10
A172AA7DD,にしん,FVJFA973A,蓮ノ空愛好会,6,14,5166130195110454,10,10,10,10,10,10,10,10,10
8XP3JM3HY,林杜,CX967RTGY,おんゆあさーくる,13,15,5150762947490104,10,10,10,10,10,10,10,10,10
HU55NKXPK,カホメグ,EYN9H9N16,蓮すきすきクラブ,15,16,5072927239794939,10,10,10,10,10,10,10,10,10
QTHXHSE6U,野中見せてくれ,EYN9H9N16,蓮すきすきクラブ,15,17,5067793916155295,10,10,10,10,10,10,10,10,10
8KGF3M6WJ,Faker,EYN9H9N16,蓮すきすきクラブ,15,18,5054155599999759,10,10,10,10,10,10,10,10,10
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,19,5026106985441255,10,10,10,10,10,10,10,10,10
0CPFA3PTM,かりんたや,25PMPEMG7,星見プロ,14,20,5019269365518464,10,10,10,10,10,10,10,10,10
WCN6J32TG,しみちゃん,BKLW6CR5L,Mix鮭の空!!,15,21,4869895726914270,10,10,10,10,10,10,10,10,10
FM1GCQSEE,Goona,M5LHG6R4T,乙宗動物園,13,22,4838044207417458,10,10,10,10,10,10,10,10,10
ZYAP6N76H,ぬわぁんでよぉ,BKLW6CR5L,Mix鮭の空!!,15,23,4816786444564964,10,10,10,10,10,10,10,10,10
BFERXX3NE,SE,YFADYJVW4,FPS好きクラブ,12,24,4779043482732284,10,10,10,10,10,10,10,10,10
