player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,慈,缀理,姬芽,花帆,梢,吟子,瑠璃乃,小铃,さやか
UA5OC8495,zth,NC2YT2V28,蓮之愛同予者何人,15,1,7908976338586423,10,10,10,10,10,10,10,10,10
8EB0GXWX1,みむ。,EYN9H9N16,蓮すきすきクラブ,4,2,7891683674909219,10,10,10,10,10,10,10,10,10
D0RVYCT5J,MONO,BKLW6CR5L,Mix鮭の空!!,8,3,7887284041079907,10,10,10,10,10,10,10,10,10
7604CH5KV,わいわい,FK5MUK0ET,くる♡すきクラブ,15,4,7772241424002957,10,10,10,10,10,10,10,10,10
CAH984HAW,タピエンル,VW65MCVF8,スリスリーズ,14,5,7770707113496888,10,10,10,10,10,10,10,10,10
L6A36K16J,なりり(本物),FK5MUK0ET,くる♡すきクラブ,12,6,7710737989121330,10,10,10,10,10,10,10,10,10
DES39P1DL,祝祝,EYN9H9N16,蓮すきすきクラブ,13,7,7690717684598334,10,10,10,10,10,10,10,10,10
PLE67URFB,DasserAN,M5LHG6R4T,乙宗動物園,8,8,7601578921680136,10,10,10,10,10,10,10,10,10
WP2XGUKDR,‘〜’,EYN9H9N16,蓮すきすきクラブ,15,9,7539771724713277,10,10,10,10,10,10,10,10,10
B424J17UB,マナト（本物）,EYN9H9N16,蓮すきすきクラブ,15,10,7524379681871603,10,10,10,10,10,10,10,10,10
FWBTX791U,°⌤°,M5LHG6R4T,乙宗動物園,4,11,7493361155723256,10,10,10,10,10,10,10,10,10
LP0BEDRF6,ﾛｰﾗ•ﾘﾙﾚ,,,13,12,7395557970509514,10,10,10,10,10,10,10,10,10
9ENVXR95K,マオ･_･;),M5LHG6R4T,乙宗動物園,10,13,7383496368049946,10,10,10,10,10,10,10,10,10
A172AA7DD,にしん,FVJFA973A,蓮ノ空愛好会,6,14,7361939599409148,10,10,10,10,10,10,10,10,10
HU55NKXPK,たっち,EYN9H9N16,蓮すきすきクラブ,15,15,7300885418226254,10,10,10,10,10,10,10,10,10
8XP3JM3HY,林杜,CX967RTGY,おんゆあさーくる,13,16,7261459676322407,10,10,10,10,10,10,10,10,10
QTHXHSE6U,総たい,EYN9H9N16,蓮すきすきクラブ,15,17,7255038005190721,10,10,10,10,10,10,10,10,10
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,18,7187652180068517,10,10,10,10,10,10,10,10,10
8KGF3M6WJ,Faker,EYN9H9N16,蓮すきすきクラブ,15,19,7090002376155564,10,10,10,10,10,10,10,10,10
ZYAP6N76H,ぬわぁんでよぉ,BKLW6CR5L,Mix鮭の空!!,15,20,6979107387539026,10,10,10,10,10,10,10,10,10
WCN6J32TG,しみちゃん,BKLW6CR5L,Mix鮭の空!!,15,21,6951958298869102,10,10,10,10,10,10,10,10,10
FM1GCQSEE,Goona,M5LHG6R4T,乙宗動物園,13,22,6928474492325005,10,10,10,10,10,10,10,10,10
WPLF5HB13,コライドン,11XTEEEJT,リンクラ料理部,15,23,6845314093824457,10,10,10,10,10,10,10,10,10
0CPFA3PTM,かりんたや,25PMPEMG7,星見プロ,14,24,6838689444472216,10,10,10,10,10,10,10,10,10
BFERXX3NE,SE,YFADYJVW4,FPS好きクラブ,12,25,6824436886530688,10,10,10,10,10,10,10,10,10
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,8,26,6804629430577279,10,10,10,10,10,10,10,10,10
GRN5C49P3,祝祝,VW65MCVF8,スリスリーズ,15,27,6729634012304925,10,10,10,10,10,10,10,10,10
FVG9O3T6M,つづもん,11XTEEEJT,リンクラ料理部,13,28,6696244595540434,10,10,10,10,10,10,10,10,10
64M70NFSR,たむ,VW65MCVF8,スリスリーズ,15,29,6686885719415852,10,10,10,10,10,10,10,10,10
P4LVRKG9L,月見海月,RFYKY8DCD,LA.LA.LA,15,30,6661482283969885,10,10,10,10,10,10,10,10,10
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十兆角,15,31,6648291349718780,10,10,10,10,10,10,10,10,10
K137HR419,しょうご,VW65MCVF8,スリスリーズ,15,32,6591543980571387,10,10,10,10,10,10,10,10,10
HVA8EZJWM,鍋,YCTM6RYDP,金沢おでん同好会,15,33,6545329472212184,10,10,10,10,10,10,10,10,10
GVNJDLBW8,ダークライ,11XTEEEJT,リンクラ料理部,11,34,6531924690398807,10,10,10,10,10,10,10,10,10
L6HBG7C3L,あまらく@,BKLW6CR5L,Mix鮭の空!!,15,35,6399429780004289,10,10,10,10,10,10,10,10,10
BRJ0XWX77,しいのき,EYN9H9N16,蓮すきすきクラブ,15,36,6388127627700294,10,10,10,10,10,10,10,10,10
L8VJOGDKM,ひつじさん,VW65MCVF8,スリスリーズ,15,37,6356153766162909,10,10,10,10,10,10,10,10,10
CO2UVBYHH,社畜の墓場,VW65MCVF8,スリスリーズ,2,38,6303564600722957,10,10,10,10,10,10,10,10,10
8JKPKHDHC,長瀬琴乃,EYN9H9N16,蓮すきすきクラブ,15,39,6211554409722096,10,10,10,10,10,10,10,10,10
1FREY7CCF,充電竜ル・リノ,11XTEEEJT,リンクラ料理部,15,40,6206351816621254,10,10,10,10,10,10,10,10,10
5UT1FEC2R,きんちゃ,FVJFA973A,蓮ノ空愛好会,4,41,6195238695636324,10,10,10,10,10,10,10,10,10
NOB5KDBV6,しる220,0UT59MJ8U,かほすこ同好会,15,42,6184012830797571,10,10,10,10,10,10,10,10,10
5RR480B4E,らび,D5A2EEG7F,わたくしは大丈部,10,43,6175474272854487,10,10,10,10,10,10,10,10,10
DRSNNTTME,もや,YE7CX8RNP,蓮ノ大三十兆角,4,44,6162275490195596,10,10,10,10,10,10,10,10,10
TKLRD66RN,ふじー@腰痛,BKLW6CR5L,Mix鮭の空!!,15,45,6132566442605344,10,10,10,10,10,10,10,10,10
