player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,梢,慈,姬芽,缀理,吟子,花帆,小铃,瑠璃乃,さやか,grade,character_id,character_name
8EB0GXWX1,みむ。,EYN9H9N16,蓮すきすきクラブ,4,1,70417,10,10,10,10,10,10,10,10,10,0,0,
B424J17UB,ギンッカ,EYN9H9N16,蓮すきすきクラブ,15,2,70141,10,10,10,10,10,10,10,10,10,0,0,
LP0BEDRF6,YPT,,,13,3,70110,10,10,10,10,10,10,10,10,10,0,0,
D0RVYCT5J,MONO,,,8,4,70022,10,10,10,10,10,10,10,10,10,0,0,
A172AA7DD,にしん,FVJFA973A,蓮ノ空愛好会,6,5,70009,10,10,10,10,10,10,10,10,10,0,0,
7604CH5KV,hiro,FK5MUK0ET,くる♡すきクラブ,15,6,70004,10,10,10,10,10,10,10,10,10,0,0,
GRN5C49P3,えーるん,VW65MCVF8,スリスリーズ,15,7,69942,10,10,10,10,10,10,10,10,10,0,0,
EQOU1ZZS7,葵,VW65MCVF8,スリスリーズ,15,8,69941,10,10,10,10,10,10,10,10,10,0,0,
ZYAP6N76H,ぬわぁんでよぉ,,,15,9,69925,10,10,10,10,10,10,10,10,10,0,0,
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,10,69896,10,10,10,10,10,10,10,10,10,0,0,
L6A36K16J,なりり(本物),FK5MUK0ET,くる♡すきクラブ,12,11,69833,10,10,10,10,10,10,10,10,10,0,0,
DES39P1DL,ェダ,,,14,12,69816,10,10,10,10,10,10,10,10,10,0,0,
CAH984HAW,タピエンル,VW65MCVF8,スリスリーズ,14,13,69798,10,10,10,10,10,10,10,10,10,0,0,
L8VJOGDKM,まる,VW65MCVF8,スリスリーズ,15,14,69776,10,10,10,10,10,10,10,10,10,0,0,
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十角ex,15,14,69776,10,10,10,10,10,10,10,10,10,0,0,
QTHXHSE6U,総たい,EYN9H9N16,蓮すきすきクラブ,15,16,69734,10,10,10,10,10,10,10,10,10,0,0,
NOB5KDBV6,しる220,0UT59MJ8U,かほすこ同好会,15,17,69667,10,10,10,10,10,10,10,10,10,0,0,
VH1RC5NNC,コグレ,25PMPEMG7,星見プロ,13,18,69659,10,10,10,10,10,10,10,10,10,0,0,
WCN6J32TG,しみちゃん,,,15,19,69577,10,10,10,10,10,10,10,10,10,0,0,
HU55NKXPK,たっち,EYN9H9N16,蓮すきすきクラブ,15,20,69554,10,10,10,10,10,10,10,10,10,0,0,
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,21,69539,10,10,10,10,10,10,10,10,10,0,0,
PLE67URFB,DasserAN,M5LHG6R4T,乙宗動物園,8,22,69524,10,10,10,10,10,10,10,10,10,0,0,
L6HBG7C3L,あまらく@,,,15,23,69520,10,10,10,10,10,10,10,10,10,0,0,
U7NEBV4KH,こーど,,,15,24,69518,10,10,10,10,10,10,10,10,10,0,0,
DRSNNTTME,もや,YE7CX8RNP,蓮ノ大三十角ex,4,25,69509,10,10,10,10,10,10,10,10,10,0,0,
JVDRVFFBP,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,15,26,69486,10,10,10,10,10,10,10,10,10,0,0,
6NJM4GUG6,Sea,VW65MCVF8,スリスリーズ,6,27,69465,10,10,10,10,10,10,10,10,10,0,0,
U1IQYBNI5,通りすがりの人,,,9,28,69439,10,10,10,10,10,10,10,10,10,0,0,
TKLRD66RN,ミンナノタメニ,,,15,29,69421,10,10,10,10,10,10,10,10,10,0,0,
CO2UVBYHH,社畜の墓場,VW65MCVF8,スリスリーズ,2,30,69417,10,10,10,10,10,10,10,10,10,0,0,
KXMPLAX04,ろーぱす,2VB9FPCTL,音ゲー待機室,15,31,69387,10,10,10,10,10,10,10,10,10,0,0,
8XP3JM3HY,ハヤシモリ,CX967RTGY,おんゆあさーくる,13,32,69372,10,10,10,10,10,10,10,10,10,0,0,
1Y0XFNNDJ,かなたなか,EYN9H9N16,蓮すきすきクラブ,15,33,69363,10,10,10,10,10,10,10,10,10,0,0,
4387Y57EA,あなたこなた,,,12,34,69348,10,10,10,10,10,10,10,10,10,0,0,
VGWT7LCX7,ZUC,2VB9FPCTL,音ゲー待機室,12,35,69342,10,10,10,10,10,10,10,10,10,0,0,
BRJ0XWX77,しいのき,,,15,36,69321,10,10,10,10,10,10,10,10,10,0,0,
AJMEJX0KG,こーか,FVJFA973A,蓮ノ空愛好会,14,37,69319,10,10,10,10,10,10,10,10,10,0,0,
8GYTX89XA,アステシヅム,FVJFA973A,蓮ノ空愛好会,15,38,69308,10,10,10,10,10,10,10,10,10,0,0,
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,15,39,69305,10,10,10,10,10,10,10,10,10,0,0,
DV73OQD94,ちゆ,,,15,40,69300,10,10,10,10,10,10,10,10,10,0,0,
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,14,41,69266,10,10,10,10,10,10,10,10,10,0,0,
HVA8EZJWM,鍋,YCTM6RYDP,金沢おでん同好会,15,41,69266,10,10,10,10,10,10,10,10,10,0,0,
P4ZNDWHDA,どんき,GXR6C85BT,花帆ちゃん親衛隊,12,43,69251,10,10,10,10,10,10,10,10,10,0,0,
5LL48ARPU,シュウ,2VB9FPCTL,音ゲー待機室,15,44,69220,10,10,10,10,10,10,10,10,10,0,0,
X0N1L475X,ぼた餅,PBRDPWEY1,村村会,15,45,69217,10,10,10,10,10,10,10,10,10,0,0,
9ENVXR95K,マオ,M5LHG6R4T,乙宗動物園,10,46,69177,10,10,10,10,10,10,10,10,10,0,0,
42J4J5OSG,ハラシヨ,M5LHG6R4T,乙宗動物園,15,47,69173,10,10,10,10,10,10,10,10,10,0,0,
70NE2637U,りふいっと,,,8,48,69167,10,10,10,10,10,10,10,10,10,0,0,
