player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,吟子,瑠璃乃,さやか,慈,小铃,姬芽,梢,缀理,花帆
8EB0GXWX1,みむ。,EYN9H9N16,蓮すきすきクラブ,4,1,2519972876129285,10,10,10,10,10,10,10,10,10
7604CH5KV,わいわいの父,EYN9H9N16,蓮すきすきクラブ,15,2,2508135312972737,10,10,10,10,10,10,10,10,10
A172AA7DD,にしん,FVJFA973A,蓮ノ空愛好会,6,3,2461300566898722,10,10,10,10,10,10,10,10,10
B424J17UB,ギンッカ,EYN9H9N16,蓮すきすきクラブ,15,4,2440125515196603,10,10,10,10,10,10,10,10,10
L6A36K16J,わいわい(本物),EYN9H9N16,蓮すきすきクラブ,12,5,2410429846753180,10,10,10,10,10,10,10,10,10
PLE67URFB,DasserAN,M5LHG6R4T,乙宗動物園,8,6,2336849274498081,10,10,10,10,10,10,10,10,10
LP0BEDRF6,私たちの夏だー！,EYN9H9N16,蓮すきすきクラブ,13,7,2330267908713093,10,10,10,10,10,10,10,10,10
XREWTWWBK,握撃ルブラン,11XTEEEJT,リンクラ料理部,15,8,2306298488331538,10,10,10,10,10,10,10,10,10
WL6FFE9FY,nym,EYN9H9N16,蓮すきすきクラブ,15,9,2303394841085572,10,10,10,10,10,10,10,10,10
EQOU1ZZS7,オーロラ梢,VW65MCVF8,スリスリーズ,15,10,2286474297703011,10,10,10,10,10,10,10,10,10
DES39P1DL,第1巡引退希望,EYN9H9N16,蓮すきすきクラブ,13,11,2284495323450246,10,10,10,10,10,10,10,10,10
8KGF3M6WJ,ことりの,EYN9H9N16,蓮すきすきクラブ,15,12,2284435258299088,10,10,10,10,10,10,10,10,10
UA5OC8495,zth,NC2YT2V28,蓮之愛同予者何人,15,13,2283376736186622,10,10,10,10,10,10,10,10,10
GRN5C49P3,わいわい,VW65MCVF8,スリスリーズ,15,14,2282047957933057,10,10,10,10,10,10,10,10,10
CAH984HAW,タピエンル,VW65MCVF8,スリスリーズ,14,15,2279403637838472,10,10,10,10,10,10,10,10,10
0CPFA3PTM,かりんたや,25PMPEMG7,星見プロ,14,16,2266290207416307,10,10,10,10,10,10,10,10,10
2UCZTQIV2,E5,EYN9H9N16,蓮すきすきクラブ,11,17,2254307296889866,10,10,10,10,10,10,10,10,10
BFBDRTETJ,ユビワズライ,EYN9H9N16,蓮すきすきクラブ,15,18,2240490598273533,10,10,10,10,10,10,10,10,10
JVDRVFFBP,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,15,19,2239332962526026,10,10,10,10,10,10,10,10,10
WCN6J32TG,しみちゃん,BKLW6CR5L,Mix鮭の空!!,15,20,2236128210189096,10,10,10,10,10,10,10,10,10
ZYAP6N76H,ぬわぁんでよぉ,BKLW6CR5L,Mix鮭の空!!,15,21,2224292719584862,10,10,10,10,10,10,10,10,10
FVG9O3T6M,永遠の一瞬,11XTEEEJT,リンクラ料理部,13,22,2203456544008139,10,10,10,10,10,10,10,10,10
WP2XGUKDR,8,EYN9H9N16,蓮すきすきクラブ,15,23,2191988399067485,10,10,10,10,10,10,10,10,10
GVNJDLBW8,マト,11XTEEEJT,リンクラ料理部,11,24,2189660275353156,10,10,10,10,10,10,10,10,10
BJ2YEFM93,テンババア,EYN9H9N16,蓮すきすきクラブ,15,25,2188918627179479,10,10,10,10,10,10,10,10,10
D0RVYCT5J,MONO,BKLW6CR5L,Mix鮭の空!!,8,26,2180443649353619,10,10,10,10,10,10,10,10,10
YIGSDJFDL,あっきー,YCTM6RYDP,金沢おでん同好会,15,27,2179589167768397,10,10,10,10,10,10,10,10,10
QTHXHSE6U,総たい,EYN9H9N16,蓮すきすきクラブ,15,28,2177354812020902,10,10,10,10,10,10,10,10,10
WPLF5HB13,紅魔板親善大使,11XTEEEJT,リンクラ料理部,15,29,2172661040737942,10,10,10,10,10,10,10,10,10
7TAQGMS8W,ゆる,PBRDPWEY1,村村会,15,30,2158116557589112,10,10,10,10,10,10,10,10,10
TXTPD6OZ9,stella,BKLW6CR5L,Mix鮭の空!!,14,31,2154139871960438,10,10,10,10,10,10,10,10,10
64M70NFSR,たむ,VW65MCVF8,スリスリーズ,15,32,2146098741030224,10,10,10,10,10,10,10,10,10
FWBTX791U,garry,M5LHG6R4T,乙宗動物園,4,33,2131458455820319,10,10,10,10,10,10,10,10,10
VGWT7LCX7,ZUC,BKLW6CR5L,Mix鮭の空!!,12,34,2126697566047409,10,10,10,10,10,10,10,10,10
SM59T811D,Case,RWARTHA1M,乙宗梢大好き部,8,35,2121796176931089,10,10,10,10,10,10,10,10,10
KXMPLAX04,ろーぱす,BKLW6CR5L,Mix鮭の空!!,15,36,2114901371142429,10,10,10,10,10,10,10,10,10
5UT1FEC2R,きんちゃ,FVJFA973A,蓮ノ空愛好会,4,37,2106020778697272,10,10,10,10,10,10,10,10,10
FM1GCQSEE,Goona,M5LHG6R4T,乙宗動物園,13,38,2102251294918556,10,10,10,10,10,10,10,10,10
9ENVXR95K,マオ,M5LHG6R4T,乙宗動物園,10,39,2096397909124502,10,10,10,10,10,10,10,10,10
BFERXX3NE,SE,YFADYJVW4,FPS好きクラブ,12,40,2092389275929342,10,10,10,10,10,10,10,10,10
ZWGHFBK3S,DSsuzu,BKLW6CR5L,Mix鮭の空!!,15,41,2090602325557781,10,10,10,10,10,10,10,10,10
9FCM2N4CA,臨倉奴太郎,FVJFA973A,蓮ノ空愛好会,15,42,2088261833215670,10,10,10,10,10,10,10,10,10
MEGKKH1W5,ccv,D7H8MN2U4,LLD,15,43,2087670870930798,10,10,10,10,10,10,10,10,10
DRSNNTTME,もや,YE7CX8RNP,蓮ノ大三十京角,4,44,2084811188411812,10,10,10,10,10,10,10,10,10
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,15,45,2078375814070314,10,10,10,10,10,10,10,10,10
CZKJL4VOV,キュゥべぇ,FVJFA973A,蓮ノ空愛好会,15,46,2077706082190748,10,10,10,10,10,10,10,10,10
BRJ0XWX77,しいのき,EYN9H9N16,蓮すきすきクラブ,15,47,2077021049669252,10,10,10,10,10,10,10,10,10
WYT65FE8G,ティーカップ,M5LHG6R4T,乙宗動物園,2,48,2072693789846389,10,10,10,10,10,10,10,10,10
LVRF4GDVF,るびたぬ,VW65MCVF8,スリスリーズ,15,49,2070850477530982,10,10,10,10,10,10,10,10,10
TKLRD66RN,ふじー,BKLW6CR5L,Mix鮭の空!!,15,50,2070126157650742,10,10,10,10,10,10,10,10,10
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十京角,15,51,2068916817476107,10,10,10,10,10,10,10,10,10
L8VJOGDKM,まる,VW65MCVF8,スリスリーズ,15,52,2064389734975932,10,10,10,10,10,10,10,10,10
V578L0R6J,mion,PBRDPWEY1,村村会,15,53,2059688840948020,10,10,10,10,10,10,10,10,10
TUHKRV0IW,ポン,EYN9H9N16,蓮すきすきクラブ,15,54,2055056073486138,10,10,10,10,10,10,10,10,10
L6HBG7C3L,あまらく@,BKLW6CR5L,Mix鮭の空!!,15,55,2051815396423461,10,10,10,10,10,10,10,10,10
4KFUM6ADN,ねくすと,M5LHG6R4T,乙宗動物園,15,56,2048155864663402,10,10,10,10,10,10,10,10,10
J9C1NN8VB,あび,VW65MCVF8,スリスリーズ,15,57,2043201676864010,10,10,10,10,10,10,10,10,10
HVA8EZJWM,鍋,YCTM6RYDP,金沢おでん同好会,15,58,2041618419670540,10,10,10,10,10,10,10,10,10
8GYTX89XA,しづ,FVJFA973A,蓮ノ空愛好会,15,59,2039942490078052,10,10,10,10,10,10,10,10,10
BGZ7SP3WX,はろいと,VW65MCVF8,スリスリーズ,14,60,2018520968056030,10,10,10,10,10,10,10,10,10
QH44G80K9,ぱとんく,11XTEEEJT,リンクラ料理部,15,61,2018359729780815,10,10,10,10,10,10,10,10,10
KY6X3BV7A,とんとろ,25PMPEMG7,星見プロ,15,62,2017927494502642,10,10,10,10,10,10,10,10,10
AJMEJX0KG,こーか,FVJFA973A,蓮ノ空愛好会,14,63,2016911595787684,10,10,10,10,10,10,10,10,10
6NJM4GUG6,Sea,VW65MCVF8,スリスリーズ,6,64,2016302505398538,10,10,10,10,10,10,10,10,10
NC6WJYFVX,でら,11XTEEEJT,リンクラ料理部,15,65,2013542701231713,10,10,10,10,10,10,10,10,10
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,15,66,2012659166860916,10,10,10,10,10,10,10,10,10
RV0TDDA7D,ブリてっか,BKLW6CR5L,Mix鮭の空!!,14,67,2003736781365827,10,10,10,10,10,10,10,10,10
7VGVR7YBY,士道龍聖,FVJFA973A,蓮ノ空愛好会,15,68,2000785255762442,10,10,10,10,10,10,10,10,10
L5FWMMCWN,ひよこ,PBRDPWEY1,村村会,9,69,1999483746324982,10,10,10,10,10,10,10,10,10
NLNKEMVRB,なのはな,BKLW6CR5L,Mix鮭の空!!,13,70,1997705908635541,10,10,10,10,10,10,10,10,10
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,15,71,1996611668408034,10,10,10,10,10,10,10,10,10
HU55NKXPK,LoL＠4,EYN9H9N16,蓮すきすきクラブ,15,72,1992410794667784,10,10,10,10,10,10,10,10,10
W4E0R6NA9,iOSはづらい,BKLW6CR5L,Mix鮭の空!!,15,73,1990132538408666,10,10,10,10,10,10,10,10,10
1FREY7CCF,ぱむぱむ,11XTEEEJT,リンクラ料理部,15,74,1989327436818233,10,10,10,10,10,10,10,10,10
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,75,1986809523667226,10,10,10,10,10,10,10,10,10
ED3WCG3KU,しゅ,FVJFA973A,蓮ノ空愛好会,8,76,1985597890895212,10,10,10,10,10,10,10,10,10
8XP3JM3HY,ちかりこ,CX967RTGY,おんゆあさーくる,13,77,1982789643422488,10,10,10,10,10,10,10,10,10
U1IQYBNI5,通りすがりの人,BKLW6CR5L,Mix鮭の空!!,9,78,1980283137145931,10,10,10,10,10,10,10,10,10
24M5TJDPS,わるつ,FVJFA973A,蓮ノ空愛好会,15,79,1978991370772565,10,10,10,10,10,10,10,10,10
4387Y57EA,あなたこなた,11XTEEEJT,リンクラ料理部,12,80,1978104487350834,10,10,10,10,10,10,10,10,10
W6KGEJ697,まだまだお,BKLW6CR5L,Mix鮭の空!!,8,81,1976749603639377,10,10,10,10,10,10,10,10,10
VCYWGAUP5,ふぁる,BKLW6CR5L,Mix鮭の空!!,15,82,1976588019749237,10,10,10,10,10,10,10,10,10
VH1RC5NNC,コグレ,25PMPEMG7,星見プロ,13,83,1976582338492271,10,10,10,10,10,10,10,10,10
CO2UVBYHH,社畜の墓場,VW65MCVF8,スリスリーズ,2,84,1975557276799509,10,10,10,10,10,10,10,10,10
P73RHEK4C,ゆあちゃ,EYN9H9N16,蓮すきすきクラブ,13,85,1973163884299156,10,10,10,10,10,10,10,10,10
8OJ4K93MD,コロ,HBUK6F7CC,乙宗梢なりきり部,14,86,1971812831515765,10,10,10,10,10,10,10,10,10
LKY79HKFR,しらす,FVJFA973A,蓮ノ空愛好会,8,87,1971470984959426,10,10,10,10,10,10,10,10,10
9RV301LEB,いもむし,GXR6C85BT,花帆ちゃん親衛隊,15,88,1970258637107640,10,10,10,10,10,10,10,10,10
4W6BIX284,りり,FK5MUK0ET,くる♡すきクラブ,15,89,1970240633630286,10,10,10,10,10,10,10,10,10
C9325WMEN,かきはるか,PBRDPWEY1,村村会,13,90,1970026776126861,10,10,10,10,10,10,10,10,10
1Y0XFNNDJ,薄力粉ザキ,EYN9H9N16,蓮すきすきクラブ,15,91,1967226277827710,10,10,10,10,10,10,10,10,10
G25EXFDYH,私費で商品券,25PMPEMG7,星見プロ,7,92,1965979821535529,10,10,10,10,10,10,10,10,10
9NMP2LJU2,くぼっち,EYN9H9N16,蓮すきすきクラブ,15,93,1961306923253401,10,10,10,10,10,10,10,10,10
P4BD94K88,Edelied,11XTEEEJT,リンクラ料理部,15,94,1959351072755923,10,10,10,10,10,10,10,10,10
8JKPKHDHC,青銅の鎧,EYN9H9N16,蓮すきすきクラブ,15,95,1956962769389766,10,10,10,10,10,10,10,10,10
OWS2KA4SW,ごみょ,FVJFA973A,蓮ノ空愛好会,15,96,1955693319813066,10,10,10,10,10,10,10,10,10
CL0CDYUYY,かなちゃん,PBRDPWEY1,村村会,14,97,1944490629400605,10,10,10,10,10,10,10,10,10
92BAX6L8R,なかさん,EYN9H9N16,蓮すきすきクラブ,12,98,1944149557355949,10,10,10,10,10,10,10,10,10
8DSWY1SNL,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,15,99,1942696822218220,10,10,10,10,10,10,10,10,10
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,100,1940233203539042,10,10,10,10,10,10,10,10,10
ZX04ZZ2IW,きく,YCTM6RYDP,金沢おでん同好会,14,101,1938166163854253,10,10,10,10,10,10,10,10,10
TF3P7YXVG,ざわ,VW65MCVF8,スリスリーズ,15,102,1936602291183712,10,10,10,10,10,10,10,10,10
EGDNFP2WQ,ハマ,11XTEEEJT,リンクラ料理部,10,103,1936595387012421,10,10,10,10,10,10,10,10,10
MNV5KYXG7,六天,GXR6C85BT,花帆ちゃん親衛隊,15,104,1936035426548362,10,10,10,10,10,10,10,10,10
YVGO9EHKS,やたペン,HBM31HMUY,YUKIZURI,15,105,1935971668329941,10,10,10,10,10,10,10,10,10
FN9BYATDE,EVO,11FB0EDDT,スクステ同好会,9,106,1935487636739831,10,10,10,10,10,10,10,10,10
67GP30NUW,yuba,11FB0EDDT,スクステ同好会,11,107,1933486161128390,10,10,10,10,10,10,10,10,10
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,14,108,1927648566112545,10,10,10,10,10,10,10,10,10
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,12,109,1926316101510178,10,10,10,10,10,10,10,10,10
K137HR419,しょうご,VW65MCVF8,スリスリーズ,15,110,1924938506117790,10,10,10,10,10,10,10,10,10
NWUFRAHLN,じゅんじゅん,M5LHG6R4T,乙宗動物園,10,111,1921491285644378,10,10,10,10,10,10,10,10,10
EU76L0TJ7,とまき,EYN9H9N16,蓮すきすきクラブ,8,112,1920892886338742,10,10,10,10,10,10,10,10,10
