player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,结算前A分数,结算前A rank,结算前B分数,结算前B rank,结算前C分数,结算前C rank,结算前音游分数,结算前音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
64M70NFSR,いなば,YE7CX8RNP,蓮ノ大三十角,1813,19,1,9000000,14880753075.0,6874.0,4699672603.0,7121.0,31889959875.0,5614.0,193469516996.0,1.0,10,10,10,10,10,10,10,10,80
4YTEQDE04,左上の大三角,3F9P3U95T,ଳ天地鱏明の空ଳ,1783,17,1,9000000,16288456819320.0,3.0,15534218137876.0,1.0,13491588202173.0,1.0,0.0,0.0,10,10,10,10,10,10,10,10,80
9NMP2LJU2,アプリ平太郎,EYN9H9N16,蓮すきすきクラブ,1807,19,3,8970000,16458524928542.0,1.0,14152761419879.0,12.0,13475419174088.0,2.0,177528919103.0,3.0,10,10,10,10,10,10,10,10,80
U1IQYBNI5,通りすがりの人,3F9P3U95T,ଳ天地鱏明の空ଳ,1838,15,4,8960000,1847639406934.0,1532.0,2260767710146.0,1628.0,364371397466.0,3467.0,159936722666.0,29.0,10,10,10,10,10,10,10,10,80
NC6WJYFVX,でら,EYN9H9N16,蓮すきすきクラブ,1864,18,5,8930000,16195619138315.0,4.0,13878103503181.0,19.0,12345161320318.0,15.0,178790916836.0,2.0,10,10,10,10,10,10,10,10,80
0USG3I0AK,A,EYN9H9N16,蓮すきすきクラブ,1686,18,5,8930000,241214184848.0,4602.0,134276873262.0,5084.0,64894457449.0,5094.0,102940749253.0,161.0,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,3F9P3U95T,ଳ天地鱏明の空ଳ,1804,17,7,8920000,16424289043335.0,2.0,14077911631812.0,13.0,13213077172299.0,6.0,0.0,0.0,10,10,10,10,10,10,10,10,80
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,1744,18,8,8890000,15197911763637.0,15.0,14658976431655.0,3.0,13358967148715.0,3.0,0.0,0.0,10,10,10,10,10,10,10,10,80
8JKPKHDHC,あるふぁん,EYN9H9N16,蓮すきすきクラブ,1793,18,9,8860000,360533407.0,8809.0,437363047463.0,3907.0,271181687738.0,3819.0,173808965723.0,4.0,10,10,10,10,10,10,10,10,80
1Y0XFNNDJ,ﾁｭｹのトリセツ,EYN9H9N16,蓮すきすきクラブ,1769,18,10,8850000,1360179483430.0,1911.0,5425756630.0,7046.0,52737738017.0,5237.0,165527424310.0,16.0,10,10,10,10,10,10,10,10,80
QTHXHSE6U,総たい,EYN9H9N16,蓮すきすきクラブ,1863,19,11,8810000,10516813.0,10294.0,1930036.0,10712.0,40747898166.0,5427.0,165532462476.0,15.0,10,10,10,10,10,10,10,10,80
EQOU1ZZS7,ちゅけの君に届け,3F9P3U95T,ଳ天地鱏明の空ଳ,1758,19,12,8785000,15737418201266.0,8.0,14262971169290.0,10.0,12085591060927.0,24.0,0.0,0.0,10,10,10,10,10,10,10,10,80
NWUFRAHLN,皆休みません？,3F9P3U95T,ଳ天地鱏明の空ଳ,1653,14,13,8780000,16097336630609.0,6.0,14542996228610.0,6.0,12631089703443.0,9.0,0.0,0.0,10,10,10,10,10,10,10,10,80
7L6LDY5MT,0,YE7CX8RNP,蓮ノ大三十角,1852,20,14,8770000,0.0,0.0,0.0,0.0,0.0,0.0,173664582099.0,5.0,10,10,10,10,10,10,10,10,80
7604CH5KV,右手の人差し指,FK5MUK0ET,くる♡すきクラブ,1842,20,15,8765000,15735687347815.0,9.0,15065749053145.0,2.0,12929338234752.0,8.0,153722961717.0,40.0,10,10,10,10,10,10,10,10,80
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,1820,17,16,8760000,14747691287188.0,25.0,14640875732725.0,5.0,12283911350043.0,18.0,168342465694.0,10.0,10,10,10,10,10,10,10,10,80
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,1843,18,17,8730000,15678177475570.0,10.0,13433920194296.0,26.0,12328573216048.0,17.0,142547746380.0,55.0,10,10,10,10,10,10,10,10,80
5LL48ARPU,シュウ,3F9P3U95T,ଳ天地鱏明の空ଳ,1646,19,18,8715000,15387093353280.0,12.0,13529220621629.0,23.0,13282907919613.0,5.0,111865275302.0,133.0,10,10,10,10,10,10,10,10,80
7Q17H65NQ,mitsu,YE7CX8RNP,蓮ノ大三十角,1825,17,18,8715000,123688351696.0,5386.0,110100685591.0,5237.0,352800406.0,8208.0,170020608156.0,6.0,10,10,10,10,10,10,10,10,80
KN3FIHXL7,トミィ,RFYKY8DCD,LA.LA.LA,1822,18,20,8705000,13993131566128.0,40.0,0.0,0.0,0.0,0.0,169327315448.0,8.0,10,10,10,10,10,10,10,10,80
A172AA7DD,にしん,3F9P3U95T,ଳ天地鱏明の空ଳ,1795,9,21,8690000,15985141752445.0,7.0,14052466865548.0,15.0,11622598578146.0,40.0,0.0,0.0,10,10,10,10,10,10,10,10,80
L71LEGR49,かんなぎ,PBRDPWEY1,村村会,1619,18,21,8690000,15084792561267.0,17.0,14648211913802.0,4.0,12947330385614.0,7.0,0.0,0.0,10,10,10,10,10,10,10,10,80
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,1888,19,23,8685000,0.0,0.0,0.0,0.0,0.0,0.0,169921597421.0,7.0,10,10,10,10,10,10,10,10,80
JC33CNHML,かんなぎの騎士,EYN9H9N16,蓮すきすきクラブ,1635,16,24,8680000,16160106243584.0,5.0,14202861053518.0,11.0,13296096594446.0,4.0,0.0,0.0,10,10,10,10,10,10,10,10,80
ALF76WC94,あにょつき,11FB0EDDT,スクステ同好会,1590,16,24,8680000,15271595548004.0,14.0,13928188312504.0,18.0,12610734999716.0,10.0,0.0,0.0,10,10,10,10,10,10,10,10,80
TWKTW5AVC,碧と煌めき,GXR6C85BT,花帆ちゃん親衛隊,1592,19,26,8675000,186368520.0,9133.0,347672537.0,8344.0,2551141.0,10313.0,169304873828.0,9.0,10,10,10,10,10,10,10,10,80
X0N1L475X,ぼた餅,PBRDPWEY1,村村会,1725,16,27,8660000,15279550571342.0,13.0,14062195440677.0,14.0,12509125759827.0,14.0,0.0,0.0,10,10,10,10,10,10,10,10,80
CAH984HAW,be proud,M5LHG6R4T,乙宗動物園,1863,17,28,8650000,149884938073.0,5168.0,125996081694.0,5129.0,468942363536.0,3143.0,167030737215.0,12.0,10,10,10,10,10,10,10,10,80
