player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,音游分数,音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
64M70NFSR,いなば,YE7CX8RNP,蓮ノ大三十角,1814,19,1,18000000,193850882453.0,1.0,10,10,10,10,10,10,10,10,80
4YTEQDE04,りんくらいふは神,3F9P3U95T,ଳ天地鱏明の空ଳ,1784,17,2,17990000,,,10,10,10,10,10,10,10,10,80
9NMP2LJU2,くぼっち,EYN9H9N16,蓮すきすきクラブ,1809,19,3,17920000,179923738432.0,4.0,10,10,10,10,10,10,10,10,80
NC6WJYFVX,でら,EYN9H9N16,蓮すきすきクラブ,1871,18,4,17870000,181595556843.0,3.0,10,10,10,10,10,10,10,10,80
U1IQYBNI5,通りすがりの人,3F9P3U95T,ଳ天地鱏明の空ଳ,1838,15,5,17860000,178567072701.0,5.0,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,3F9P3U95T,ଳ天地鱏明の空ଳ,1808,17,6,17820000,,,10,10,10,10,10,10,10,10,80
0USG3I0AK,ピーちゃん,EYN9H9N16,蓮すきすきクラブ,1704,18,7,17790000,178021980950.0,7.0,10,10,10,10,10,10,10,10,80
1Y0XFNNDJ,かなたなか,EYN9H9N16,蓮すきすきクラブ,1780,18,8,17780000,186185416679.0,2.0,10,10,10,10,10,10,10,10,80
8JKPKHDHC,あるふぁん,EYN9H9N16,蓮すきすきクラブ,1798,18,9,17700000,178024512247.0,6.0,10,10,10,10,10,10,10,10,80
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,1850,18,10,17680000,,,10,10,10,10,10,10,10,10,80
7604CH5KV,st*,FK5MUK0ET,くる♡すきクラブ,1849,20,11,17675000,104210668926.0,159.0,10,10,10,10,10,10,10,10,80
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,1747,18,12,17670000,,,10,10,10,10,10,10,10,10,80
NWUFRAHLN,じゅんじゅん,3F9P3U95T,ଳ天地鱏明の空ଳ,1662,14,13,17620000,,,10,10,10,10,10,10,10,10,80
QTHXHSE6U,総たい,EYN9H9N16,蓮すきすきクラブ,1867,19,14,17565000,177496505937.0,8.0,10,10,10,10,10,10,10,10,80
7L6LDY5MT,handaeun,YE7CX8RNP,蓮ノ大三十角,1859,20,15,17550000,174653462868.0,9.0,10,10,10,10,10,10,10,10,80
JC33CNHML,かんなぎ(本物),EYN9H9N16,蓮すきすきクラブ,1640,16,16,17500000,,,10,10,10,10,10,10,10,10,80
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,1821,17,17,17490000,174549303558.0,10.0,10,10,10,10,10,10,10,10,80
5LL48ARPU,シュウ,3F9P3U95T,ଳ天地鱏明の空ଳ,1656,19,18,17465000,,,10,10,10,10,10,10,10,10,80
7Q17H65NQ,mitsu,YE7CX8RNP,蓮ノ大三十角,1829,17,19,17390000,169999871373.0,14.0,10,10,10,10,10,10,10,10,80
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,1895,19,20,17385000,174433062558.0,11.0,10,10,10,10,10,10,10,10,80
ALF76WC94,W部長応援ch,11FB0EDDT,スクステ同好会,1590,16,21,17355000,,,10,10,10,10,10,10,10,10,80
L71LEGR49,かんなぎ,PBRDPWEY1,村村会,1625,18,21,17355000,,,10,10,10,10,10,10,10,10,80
KN3FIHXL7,トミィ,RFYKY8DCD,LA.LA.LA,1828,18,23,17330000,169331890077.0,17.0,10,10,10,10,10,10,10,10,80
A172AA7DD,にしん,3F9P3U95T,ଳ天地鱏明の空ଳ,1796,9,24,17305000,,,10,10,10,10,10,10,10,10,80
8E70ID58F,あるとす,WN5B7VKPU,きんぴられんこん,1821,18,25,17250000,172427181103.0,13.0,10,10,10,10,10,10,10,10,80
CZKJL4VOV,調布のりこ,M5LHG6R4T,乙宗動物園,1815,18,26,17225000,173688422906.0,12.0,10,10,10,10,10,10,10,10,80
JE5URLPU8,もご,3F9P3U95T,ଳ天地鱏明の空ଳ,1209,6,26,17225000,,,10,10,10,10,10,10,10,10,80
CAH984HAW,be proud,M5LHG6R4T,乙宗動物園,1863,17,28,17215000,167028357044.0,21.0,10,10,10,10,10,10,10,10,80
EQOU1ZZS7,葵,3F9P3U95T,ଳ天地鱏明の空ଳ,1763,19,29,17175500,,,10,10,10,10,10,10,10,10,80
JLADG5GPX,うぇすとれ,PBRDPWEY1,村村会,1659,17,30,17175000,,,10,10,10,10,10,10,10,10,80
X0N1L475X,ぼた餅,PBRDPWEY1,村村会,1725,16,31,17170000,,,10,10,10,10,10,10,10,10,80
TWKTW5AVC,ライト,GXR6C85BT,花帆ちゃん親衛隊,1596,19,32,17156000,,,10,10,10,10,10,10,10,10,80
TKLRD66RN,ふじー,3F9P3U95T,ଳ天地鱏明の空ଳ,1768,16,33,17140000,,,10,10,10,10,10,10,10,10,80
W48K3OD0Q,ふっちー,998H940YN,お嬢様筋トレ部,1693,15,34,17110000,168296279257.0,18.0,10,10,10,10,10,10,10,10,80
FCED0MOWI,つかべん,RWARTHA1M,乙宗梢大好き部,1786,20,34,17110000,169519012100.0,15.0,10,10,10,10,10,10,10,10,80
KXMPLAX04,ろーぱす,3F9P3U95T,ଳ天地鱏明の空ଳ,1611,17,36,17100000,,,10,10,10,10,10,10,10,10,80
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,1637,15,36,17100000,,,10,10,10,10,10,10,10,10,80
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,1719,19,38,17065000,169403089656.0,16.0,10,10,10,10,10,10,10,10,80
U7NEBV4KH,こーど,49AMYCXCD,ルドベキア,1582,19,39,17050000,,,10,10,10,10,10,10,10,10,80
X0REUC1B0,ジークハルト,GXR6C85BT,花帆ちゃん親衛隊,1707,19,40,17015000,165307172913.0,23.0,10,10,10,10,10,10,10,10,80
VK5FCXKLC,ぐっちー,M5LHG6R4T,乙宗動物園,1423,16,40,17015000,164887416109.0,24.0,10,10,10,10,10,10,10,10,80
6PNANEUV0,なの,WN5B7VKPU,きんぴられんこん,1828,20,42,16995000,167924638701.0,19.0,10,10,10,10,10,10,10,10,80
NJ5M5IZWU,まき,3F9P3U95T,ଳ天地鱏明の空ଳ,1780,19,43,16990000,161680697820.0,28.0,10,10,10,10,10,10,10,10,80
VGWT7LCX7,ZUC,3F9P3U95T,ଳ天地鱏明の空ଳ,1670,16,44,16960000,,,10,10,10,10,10,10,10,10,80
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,1729,9,45,16955000,,,10,10,10,10,10,10,10,10,80
NLNKEMVRB,ユッキー,0TKFF5EG3,サークル名募集中,1610,15,46,16950000,,,10,10,10,10,10,10,10,10,80
L10RA8434,なこちぃ,HE0GK3EPE,瑞蓮プロカ倶楽部,1490,17,47,16930000,167492878498.0,20.0,10,10,10,10,10,10,10,10,80
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,1720,19,48,16920000,163546921484.0,26.0,10,10,10,10,10,10,10,10,80
LVRF4GDVF,るびたぬ,2K5AM4RV0,とろぺりです,1562,19,49,16910000,162436587959.0,27.0,10,10,10,10,10,10,10,10,80
TW9L2LKS7,ジェネシス日野下,YE7CX8RNP,蓮ノ大三十角,1872,15,50,16903000,,,10,10,10,10,10,10,10,10,80
4387Y57EA,あなたこなた,9GDHWXGVG,ルリと花咲く毎日,1737,15,51,16900000,164875410475.0,25.0,10,10,10,10,10,10,10,10,80
45NY6HUBX,かいこ,25PMPEMG7,星見プロ,1534,18,51,16900000,161071212530.0,32.0,10,10,10,10,10,10,10,10,80
9L52YPRA1,ハミングバード,3F9P3U95T,ଳ天地鱏明の空ଳ,1759,12,53,16890000,161160984688.0,31.0,10,10,10,10,10,10,10,10,80
L6HBG7C3L,あまらく@,0TKFF5EG3,サークル名募集中,1740,19,54,16840000,,,10,10,10,10,10,10,10,10,80
7TAQGMS8W,ちへるり,PBRDPWEY1,村村会,1682,17,54,16840000,,,10,10,10,10,10,10,10,10,80
W6WFFMRAU,ほむまん,11FB0EDDT,スクステ同好会,1670,16,56,16830000,,,10,10,10,10,10,10,10,10,80
56DXP4XGM,osA_,3F9P3U95T,ଳ天地鱏明の空ଳ,1573,14,57,16810000,,,10,10,10,10,10,10,10,10,80
ZWGHFBK3S,DSsuzu,YCTM6RYDP,金沢おでん同好会,1826,20,58,16800000,159835208881.0,36.0,10,10,10,10,10,10,10,10,80
1P6AUGHX2,PU確率仕事しろ,RWARTHA1M,乙宗梢大好き部,1710,19,59,16775000,143625131282.0,65.0,10,10,10,10,10,10,10,10,80
R3YC2XYYZ,根性焼きライン,3F9P3U95T,ଳ天地鱏明の空ଳ,1823,16,60,16765000,154106809201.0,46.0,10,10,10,10,10,10,10,10,80
Y2LLTQ4MF,Lautrum,M5LHG6R4T,乙宗動物園,1819,20,61,16755000,160171790054.0,35.0,10,10,10,10,10,10,10,10,80
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,1848,19,62,16730000,161356137308.0,29.0,10,10,10,10,10,10,10,10,80
0UXX86CCP,やん(KK),1BME38BCD,さすさやクラブ,1847,20,63,16715000,159692878088.0,37.0,10,10,10,10,10,10,10,10,80
969Y977WP,k1みかん,2K5AM4RV0,とろぺりです,1647,18,64,16665000,156246823631.0,44.0,10,10,10,10,10,10,10,10,80
L8VJOGDKM,まる,3F9P3U95T,ଳ天地鱏明の空ଳ,1857,18,65,16655000,160647092282.0,34.0,10,10,10,10,10,10,10,10,80
P4ZNDWHDA,どんき,GXR6C85BT,花帆ちゃん親衛隊,1767,18,66,16640000,92920087232.0,188.0,10,10,10,10,10,10,10,10,80
CL0CDYUYY,舞踏会きんまる,PBRDPWEY1,村村会,1552,18,67,16620000,38676604909.0,648.0,10,10,10,10,10,10,10,10,80
ON66GC85Z,ミツボシ,JTX1G19BP,さやかほ癒し会,1918,20,68,16560000,156109652070.0,45.0,10,10,10,10,10,10,10,10,80
YA23T8JH8,つばサンド,FK5MUK0ET,くる♡すきクラブ,1452,20,68,16560000,158961649865.0,39.0,10,10,10,10,10,10,10,10,80
6NJM4GUG6,Sea,3F9P3U95T,ଳ天地鱏明の空ଳ,1821,12,70,16555000,,,10,10,10,10,10,10,10,10,80
49TUEFEKF,厄介撲滅委員,RWARTHA1M,乙宗梢大好き部,1779,17,71,16545000,,,10,10,10,10,10,10,10,10,80
1A279T9WC,ねば,49AMYCXCD,ルドベキア,1532,16,72,16520000,,,10,10,10,10,10,10,10,10,80
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,1794,14,73,16515000,,,10,10,10,10,10,10,10,10,80
8Q0P3A5Y5,よしお,CM5THHYHB,「」ノ空だけれど,1801,20,74,16510000,,,10,10,10,10,10,10,10,10,80
FVG9O3T6M,484,CX967RTGY,おんゆあさーくる,1820,19,75,16500000,153295310410.0,47.0,10,10,10,10,10,10,10,10,80
CO2UVBYHH,祷,PBRDPWEY1,村村会,1734,9,76,16495000,,,10,10,10,10,10,10,10,10,80
M30MWLT24,ゆあゆあ,1BME38BCD,さすさやクラブ,1890,19,77,16490000,161353932448.0,30.0,10,10,10,10,10,10,10,10,80
GGFPWA50K,ゆ〜仮,9YG7C0VM7,綴理と無言で昼寝,1761,20,78,16465000,158386333932.0,41.0,10,10,10,10,10,10,10,10,80
OWS2KA4SW,ごみょ,49AMYCXCD,ルドベキア,1743,15,79,16460000,,,10,10,10,10,10,10,10,10,80
KJWYM5BGB,りーか,49AMYCXCD,ルドベキア,1628,19,80,16405000,,,10,10,10,10,10,10,10,10,80
RRW2O1DH8,ふかひれ,49AMYCXCD,ルドベキア,1791,15,81,16385000,,,10,10,10,10,10,10,10,10,80
WY7ASMM7N,ちゅん,11FB0EDDT,スクステ同好会,1489,18,82,16375000,151945545686.0,49.0,10,10,10,10,10,10,10,10,80
N6KDBV2A2,召喚士大沢,7R8NKPAB1,花帆推し倶楽部,1770,18,83,16370000,158001773369.0,42.0,10,10,10,10,10,10,10,10,80
RND3BA6Q4,あゆ,49AMYCXCD,ルドベキア,1610,15,84,16365000,,,10,10,10,10,10,10,10,10,80
ROKS5RRX4,れんこん,EYN9H9N16,蓮すきすきクラブ,1785,19,85,16335000,149219266107.0,53.0,10,10,10,10,10,10,10,10,80
V578L0R6J,mion,PBRDPWEY1,村村会,1539,15,86,16270000,,,10,10,10,10,10,10,10,10,80
