player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,塞拉斯,花帆,姬芽,瑠璃乃,吟子,小铃,泉,さやか,季度等级
GRN5C49P3,えーるん,VW65MCVF8,スリスリーズ,15,1,8960000,10,10,10,10,10,10,10,10,80
ZYAP6N76H,ぬわぁんでよぉ,M5LHG6R4T,乙宗動物園,15,1,8960000,10,10,10,10,10,10,10,10,80
A172AA7DD,にしん,FVJFA973A,月猫愛好会,9,3,8930000,7,10,10,10,10,10,10,10,77
QTHXHSE6U,王と神,EYN9H9N16,蓮すきすきクラブ,15,4,8880000,10,10,10,10,10,10,10,10,80
LP0BEDRF6,残業中,B3XCJHV2F,デトロイト支部,15,5,8870000,10,10,10,10,10,10,10,10,80
R3YC2XYYZ,秋,GPKTRBCTT,騎空団蓮ノ空支部,15,6,8765000,8,10,10,10,10,10,7,10,75
HVA8EZJWM,鍋,YCTM6RYDP,金沢おでん同好会,15,7,8760000,8,10,10,10,10,10,7,10,75
42J4J5OSG,ハラシヨ,M5LHG6R4T,乙宗動物園,15,8,8695000,8,9,10,9,8,8,8,9,69
VH1RC5NNC,コグレ,25PMPEMG7,星見プロ,15,9,8640000,8,8,10,9,9,10,7,10,71
Z4TLWEM1D,カポエラー,YE7CX8RNP,蓮ノ大三十角ex,12,10,8600000,10,10,10,10,10,10,10,10,80
9L52YPRA1,ハミングバード,FVJFA973A,月猫愛好会,3,10,8600000,7,9,9,10,9,9,10,10,73
RV0TDDA7D,ブリてっか,EYN9H9N16,蓮すきすきクラブ,15,12,8595000,10,10,10,10,10,10,9,10,79
L8VJOGDKM,屍,VW65MCVF8,スリスリーズ,15,13,8590000,7,7,7,7,9,8,8,8,61
U1IQYBNI5,通りすがりの人,,,9,14,8570000,7,8,10,10,10,10,8,9,72
70NE2637U,りふいっと,,,8,15,8555000,6,8,10,9,10,10,7,10,70
X0N1L475X,ぼた餅,PBRDPWEY1,村村会,15,16,8550000,6,10,9,9,10,9,7,10,70
B424J17UB,ギンッカ,EYN9H9N16,蓮すきすきクラブ,15,17,8525000,9,6,7,7,7,6,8,6,56
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,18,8505000,6,8,8,10,8,8,7,9,64
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,19,8470000,8,9,8,8,9,8,9,9,68
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,13,20,8460000,10,8,8,8,8,8,10,9,69
