player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,花帆,さやか,小铃,姬芽,吟子,瑠璃乃,泉,塞拉斯,季度等级,104季度等级
GRN5C49P3,えーるん,VW65MCVF8,スリスリーズ,15,1,17910000,10,10,10,10,10,10,10,10,80,60
ZYAP6N76H,ぬわぁんでよぉ,M5LHG6R4T,乙宗動物園,15,2,17850000,10,10,10,10,10,10,10,10,80,60
A172AA7DD,にしん,FVJFA973A,月猫愛好会,9,3,17820000,10,10,10,10,10,10,10,10,80,60
LP0BEDRF6,残業中,B3XCJHV2F,デトロイト支部,15,4,17780000,10,10,10,10,10,10,10,10,80,60
L8VJOGDKM,屍,VW65MCVF8,スリスリーズ,15,5,17450000,10,10,10,9,10,10,8,8,75,59
R3YC2XYYZ,秋,GPKTRBCTT,騎空団蓮ノ空支部,15,6,17400000,10,10,10,10,10,10,10,10,80,60
42J4J5OSG,ハラシヨ,M5LHG6R4T,乙宗動物園,15,7,17340000,10,9,10,10,10,9,8,10,76,58
HVA8EZJWM,鍋,YCTM6RYDP,金沢おでん同好会,15,8,17330000,10,10,10,10,10,10,10,10,80,60
RV0TDDA7D,ブリてっか,EYN9H9N16,蓮すきすきクラブ,15,9,17300000,10,10,10,10,10,10,10,10,80,60
VH1RC5NNC,コグレ,25PMPEMG7,星見プロ,15,10,17290000,10,10,10,10,10,10,8,10,78,60
70NE2637U,りふいっと,,,8,11,17240000,10,10,10,10,10,10,10,10,80,60
CAH984HAW,隠居Truer,VW65MCVF8,スリスリーズ,15,12,17202000,10,10,10,10,10,10,8,10,78,60
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,13,17195000,10,10,9,8,9,10,7,6,69,56
FWBTX791U,garry,M5LHG6R4T,乙宗動物園,11,14,17190000,10,10,10,10,10,10,10,10,80,60
U1IQYBNI5,通りすがりの人,,,9,15,17165000,10,10,10,10,10,10,10,10,80,60
9L52YPRA1,ハミングバード,FVJFA973A,月猫愛好会,3,16,17160000,10,10,10,10,10,10,10,10,80,60
Z4TLWEM1D,カポエラー,YE7CX8RNP,蓮ノ大三十角ex,12,17,17065000,10,10,10,10,10,10,10,10,80,60
X0N1L475X,ぼた餅,PBRDPWEY1,村村会,15,18,17015000,10,10,10,10,10,10,7,10,77,60
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,13,19,16985000,9,9,9,9,9,9,10,10,74,54
NJ5M5IZWU,まき,M5LHG6R4T,乙宗動物園,15,20,16960000,10,10,10,9,9,10,8,10,76,58
B424J17UB,ギンッカ,EYN9H9N16,蓮すきすきクラブ,15,21,16900000,7,7,8,7,7,7,8,10,61,43
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,15,22,16840000,9,9,10,9,8,8,8,10,71,53
8DSWY1SNL,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,15,23,16800000,9,9,8,9,8,9,8,10,70,52
UA5OC8495,zth,NC2YT2V28,蓮之愛同予者何人,15,24,16710000,7,7,8,8,10,7,10,10,67,47
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,25,16700000,10,9,8,8,9,8,9,10,71,52
FSHR5FP4W,Kian,0B4LPDY69,巣〜極楽〜,15,26,16610000,9,10,9,9,9,9,9,10,74,55
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,27,16535000,10,8,7,7,8,8,6,10,64,48
K8XN5UVA3,ツインドアノブ,W26TRPM1R,めぐ党藤島派,13,28,16460000,10,8,9,8,9,8,8,10,70,52
BMM78P2WR,(・8・),M5LHG6R4T,乙宗動物園,15,29,16395000,10,9,9,9,9,8,8,10,72,54
4W6BIX284,りり♡,FK5MUK0ET,くる♡すきクラブ,15,29,16395000,9,9,9,8,9,9,8,10,71,53
IMAK5NFHF,よもぎ,YE7CX8RNP,蓮ノ大三十角ex,15,31,16373000,10,10,10,10,10,10,10,10,80,60
9ENVXR95K,マオ,M5LHG6R4T,乙宗動物園,10,32,16353000,10,7,7,7,7,6,6,7,57,44
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,33,16230000,10,8,8,8,8,8,7,10,67,50
24M5TJDPS,わるつ,0TKFF5EG3,サークル名募集中,15,34,16167500,8,8,8,8,8,8,7,10,65,48
PLE67URFB,DasserAN,M5LHG6R4T,乙宗動物園,8,35,16158000,7,7,7,7,7,7,8,10,60,42
XCRX2GAFB,なる,WN5B7VKPU,きんぴられんこん,15,36,16140000,8,9,8,8,8,9,5,10,65,50
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,15,36,16140000,10,10,9,9,9,9,10,10,76,56
NLNKEMVRB,なのはな,0UT59MJ8U,かほすこ同好会,13,38,16130500,7,8,7,7,7,7,6,10,59,43
FVG9O3T6M,少結,P8W50773L,蓮ノ空見守り隊,15,39,16088000,10,7,6,6,6,7,6,6,54,42
8XP3JM3HY,ハヤシモリ,CX967RTGY,おんゆあさーくる,13,40,16076500,8,10,7,7,7,10,6,7,62,49
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,15,41,16024500,10,7,8,8,6,7,6,10,62,46
V578L0R6J,mion,AXG81GPMP,蓮ノ空マタギ部,15,42,16010000,10,7,6,6,6,7,6,8,56,42
1Y0XFNNDJ,かなたなか,EYN9H9N16,蓮すきすきクラブ,15,43,15988500,10,8,8,6,7,8,6,8,61,47
KXMPLAX04,ろーぱす,2VB9FPCTL,音ゲー待機室,15,44,15981000,10,8,7,8,7,7,7,9,63,47
TUHKRV0IW,ポン,EYN9H9N16,蓮すきすきクラブ,15,45,15978000,10,9,8,8,9,6,6,7,63,50
IN27C39RY,スス,9YM3DBTB7,泥民館,15,46,15967500,9,9,9,9,9,9,8,10,72,54
OWS2KA4SW,ごみょ,FVJFA973A,月猫愛好会,15,47,15966500,10,9,9,9,9,8,6,5,65,54
HGC8Y4QUS,もがの,0UT59MJ8U,かほすこ同好会,8,48,15950000,10,10,9,9,9,9,9,10,75,56
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,49,15831500,10,9,7,7,8,8,7,10,66,49
5W83UKK4H,望月,1BME38BCD,さすさやクラブ,15,50,15797000,10,8,7,8,8,7,7,10,65,48
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,15,51,15795000,8,9,9,8,9,8,8,10,69,51
WCN6J32TG,しみちゃん,0TKFF5EG3,サークル名募集中,15,52,15778500,10,8,7,7,7,7,7,9,62,46
L5FWMMCWN,クルス人,PBRDPWEY1,村村会,9,53,15775000,7,10,6,7,6,6,7,10,59,42
TXTPD6OZ9,stella,M5LHG6R4T,乙宗動物園,15,54,15701500,10,8,7,8,8,9,5,7,62,50
JC33CNHML,かすかす,PBRDPWEY1,村村会,15,55,15690000,10,8,8,7,8,7,6,7,61,48
