player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,A分数,A rank,B分数,B rank,C分数,C rank,姬芽,泉,さやか,花帆,瑠璃乃,小铃,吟子,塞拉斯
GRN5C49P3,えーるん,VW65MCVF8,スリスリーズ,15,1,17910000,1656291086022674.0,4.0,1188945141232667.0,3.0,992874658369972.0,1.0,10,10,10,10,10,10,10,10
ZYAP6N76H,ぬわぁんでよぉ,M5LHG6R4T,乙宗動物園,15,2,17850000,1682877666336559.0,3.0,1082129354044778.0,8.0,968087995392697.0,3.0,10,10,10,10,10,10,10,10
A172AA7DD,にしん,FVJFA973A,月猫愛好会,9,3,17820000,1562304709828786.0,6.0,1232315443689662.0,2.0,917565593216910.0,5.0,10,10,10,10,10,10,10,10
LP0BEDRF6,残業中,B3XCJHV2F,デトロイト支部,15,4,17780000,1592329581594078.0,5.0,1177587500272253.0,5.0,990863976802295.0,2.0,10,10,10,10,10,10,10,10
L8VJOGDKM,屍,VW65MCVF8,スリスリーズ,15,5,17450000,1777150994879483.0,2.0,1134378711579584.0,6.0,890072777067843.0,9.0,9,8,10,10,10,10,10,8
R3YC2XYYZ,秋,GPKTRBCTT,騎空団蓮ノ空支部,15,6,17400000,1347579298684531.0,15.0,952477613928481.0,20.0,874398338585688.0,14.0,10,10,10,10,10,10,10,10
42J4J5OSG,ハラシヨ,M5LHG6R4T,乙宗動物園,15,7,17340000,1414863217408296.0,12.0,953552450221355.0,19.0,848499134341367.0,16.0,10,8,9,10,9,10,10,10
HVA8EZJWM,鍋,YCTM6RYDP,金沢おでん同好会,15,8,17330000,1327464644634558.0,17.0,964747641993955.0,16.0,791092612641833.0,29.0,10,10,10,10,10,10,10,10
RV0TDDA7D,ブリてっか,EYN9H9N16,蓮すきすきクラブ,15,9,17300000,1274525575748541.0,23.0,980658924963983.0,14.0,952002630293253.0,4.0,10,10,10,10,10,10,10,10
VH1RC5NNC,コグレ,25PMPEMG7,星見プロ,15,10,17290000,1412681447948087.0,13.0,998289067903554.0,10.0,816489630091890.0,23.0,10,8,10,10,10,10,10,10
70NE2637U,りふいっと,,,8,11,17240000,1338719860719860.0,16.0,958644487910434.0,17.0,892668294619165.0,8.0,10,10,10,10,10,10,10,10
CAH984HAW,隠居Truer,VW65MCVF8,スリスリーズ,15,12,17202000,1889238386813393.0,1.0,1251285041080386.0,1.0,905579703255938.0,6.0,10,8,10,10,10,10,10,10
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,13,17195000,1496117107143273.0,9.0,1090605902774479.0,7.0,810857506945518.0,26.0,8,7,10,10,10,9,9,6
FWBTX791U,garry,M5LHG6R4T,乙宗動物園,11,14,17190000,1518744577770060.0,8.0,1180139752913780.0,4.0,885044472327246.0,11.0,10,10,10,10,10,10,10,10
U1IQYBNI5,通りすがりの人,,,9,15,17165000,1480898925144562.0,10.0,921215489302650.0,23.0,814499547286826.0,24.0,10,10,10,10,10,10,10,10
9L52YPRA1,ハミングバード,FVJFA973A,月猫愛好会,3,16,17160000,1314341194027737.0,19.0,861007591109644.0,35.0,888798903013706.0,10.0,10,10,10,10,10,10,10,10
Z4TLWEM1D,カポエラー,YE7CX8RNP,蓮ノ大三十角ex,12,17,17065000,1354699415568111.0,14.0,821278309285356.0,50.0,842302991261085.0,19.0,10,10,10,10,10,10,10,10
X0N1L475X,ぼた餅,PBRDPWEY1,村村会,15,18,17015000,1135443651169298.0,41.0,988532094875077.0,12.0,789042488889176.0,30.0,10,7,10,10,10,10,10,10
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,13,19,16985000,1276931737870064.0,22.0,940914391181056.0,21.0,801816387347036.0,28.0,9,10,9,9,9,9,9,10
NJ5M5IZWU,まき,M5LHG6R4T,乙宗動物園,15,20,16960000,1210343978595468.0,29.0,850364533317606.0,40.0,892985082395836.0,7.0,9,8,10,10,10,10,9,10
B424J17UB,ギンッカ,EYN9H9N16,蓮すきすきクラブ,15,21,16900000,1116838806621405.0,46.0,972269879836464.0,15.0,754171748243297.0,40.0,7,8,7,7,7,8,7,10
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,15,22,16840000,1151382275164536.0,38.0,920488619820414.0,24.0,812295480216154.0,25.0,9,8,9,9,8,10,8,10
8DSWY1SNL,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,15,23,16800000,1220176115512718.0,27.0,836155640373350.0,45.0,804008126410930.0,27.0,9,8,9,9,9,8,8,10
UA5OC8495,zth,NC2YT2V28,蓮之愛同予者何人,15,24,16710000,972383271681502.0,91.0,1038374741972472.0,9.0,876452859618505.0,13.0,8,10,7,7,7,8,10,10
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,25,16700000,1081990294609932.0,51.0,845100274321299.0,41.0,760951543891800.0,38.0,8,9,9,10,8,8,9,10
FSHR5FP4W,Kian,0B4LPDY69,巣〜極楽〜,15,26,16610000,1222377456834700.0,26.0,768013933835481.0,79.0,821556162451670.0,22.0,9,9,10,9,9,9,9,10
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,27,16535000,1203777852901234.0,30.0,829259264440847.0,48.0,753711725165787.0,41.0,7,6,8,10,8,7,8,10
K8XN5UVA3,ツインドアノブ,W26TRPM1R,めぐ党藤島派,13,28,16460000,1322261092848948.0,18.0,843163017373797.0,42.0,649557210223700.0,95.0,8,8,8,10,8,9,9,10
BMM78P2WR,(・8・),M5LHG6R4T,乙宗動物園,15,29,16395000,967182044777829.0,94.0,810778652254293.0,56.0,834441801570956.0,20.0,9,8,9,10,8,9,9,10
4W6BIX284,りり♡,FK5MUK0ET,くる♡すきクラブ,15,29,16395000,1184740771915192.0,34.0,819241661245401.0,51.0,686311298321688.0,69.0,8,8,9,9,9,9,9,10
IMAK5NFHF,よもぎ,YE7CX8RNP,蓮ノ大三十角ex,15,31,16373000,1040092920001999.0,62.0,835009877891141.0,46.0,844505217448297.0,18.0,10,10,10,10,10,10,10,10
9ENVXR95K,マオ,M5LHG6R4T,乙宗動物園,10,32,16353000,1138115914604107.0,40.0,916212267037326.0,25.0,634805829942875.0,104.0,7,6,7,10,6,7,7,7
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,33,16230000,1228098657968329.0,25.0,775779057878192.0,73.0,666872345300131.0,80.0,8,7,8,10,8,8,8,10
24M5TJDPS,わるつ,0TKFF5EG3,サークル名募集中,15,34,16167500,993704875243734.0,82.0,865077508638353.0,33.0,825387467172871.0,21.0,8,7,8,8,8,8,8,10
PLE67URFB,DasserAN,M5LHG6R4T,乙宗動物園,8,35,16158000,957552726582537.0,104.0,853228280610143.0,37.0,658624250214683.0,88.0,7,8,7,7,7,7,7,10
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,15,36,16140000,1057033291184913.0,56.0,815949985369638.0,53.0,846846014260511.0,17.0,9,10,10,10,9,9,9,10
XCRX2GAFB,なる,WN5B7VKPU,きんぴられんこん,15,36,16140000,1070147177533745.0,55.0,842065061667907.0,43.0,716776899618478.0,51.0,8,5,9,8,9,8,8,10
NLNKEMVRB,なのはな,0UT59MJ8U,かほすこ同好会,13,38,16130500,933694849498350.0,116.0,852905515788474.0,39.0,780961937233123.0,32.0,7,6,8,7,7,7,7,10
FVG9O3T6M,少結,P8W50773L,蓮ノ空見守り隊,15,39,16088000,1242794479233889.0,24.0,893633263107099.0,27.0,585273763074101.0,149.0,6,6,7,10,7,6,6,6
8XP3JM3HY,ハヤシモリ,CX967RTGY,おんゆあさーくる,13,40,16076500,1302221967077544.0,20.0,711210623169575.0,143.0,738068102177240.0,43.0,7,6,10,8,10,7,7,7
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,15,41,16024500,1187014705995584.0,32.0,729523051225657.0,121.0,723586586733549.0,47.0,8,6,7,10,7,8,6,10
V578L0R6J,mion,AXG81GPMP,蓮ノ空マタギ部,15,42,16010000,1141568767982581.0,39.0,868002137375344.0,32.0,553000832673190.0,187.0,6,6,7,10,7,6,6,8
1Y0XFNNDJ,かなたなか,EYN9H9N16,蓮すきすきクラブ,15,43,15988500,1203485017053761.0,31.0,745113901172832.0,103.0,698960388033680.0,63.0,6,6,8,10,8,8,7,8
KXMPLAX04,ろーぱす,2VB9FPCTL,音ゲー待機室,15,44,15981000,1046420544837561.0,59.0,900999852282249.0,26.0,600440698318129.0,139.0,8,7,8,10,7,7,7,9
TUHKRV0IW,ポン,EYN9H9N16,蓮すきすきクラブ,15,45,15978000,1173913022695748.0,35.0,775655760233992.0,74.0,736272287168065.0,44.0,8,6,9,10,6,8,9,7
IN27C39RY,スス,9YM3DBTB7,泥民館,15,46,15967500,1214209719455302.0,28.0,744098009529328.0,105.0,676236444831960.0,75.0,9,8,9,9,9,9,9,10
OWS2KA4SW,ごみょ,FVJFA973A,月猫愛好会,15,47,15966500,1165373749583677.0,36.0,875925303719533.0,30.0,633133238824167.0,107.0,9,6,9,10,8,9,9,5
HGC8Y4QUS,もがの,0UT59MJ8U,かほすこ同好会,8,48,15950000,1093938143785840.0,50.0,798765293221250.0,60.0,713576055202028.0,53.0,9,9,10,10,9,9,9,10
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,49,15831500,1028254980065353.0,64.0,812918602307557.0,54.0,776494549849754.0,34.0,7,7,9,10,8,7,8,10
5W83UKK4H,望月,1BME38BCD,さすさやクラブ,15,50,15797000,959562118937238.0,102.0,761521936175070.0,83.0,704777585853859.0,58.0,8,7,8,10,7,7,8,10
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,15,51,15795000,1125292980574449.0,43.0,783239872913294.0,68.0,770866617888396.0,37.0,8,8,9,8,8,9,9,10
WCN6J32TG,しみちゃん,0TKFF5EG3,サークル名募集中,15,52,15778500,932285162055300.0,118.0,955510876672406.0,18.0,686008583721271.0,70.0,7,7,8,10,7,7,7,9
L5FWMMCWN,クルス人,PBRDPWEY1,村村会,9,53,15775000,979123911365620.0,85.0,925542779067736.0,22.0,561133080729764.0,171.0,7,7,10,7,6,6,6,10
TXTPD6OZ9,stella,M5LHG6R4T,乙宗動物園,15,54,15701500,1295204775737274.0,21.0,665922784037490.0,197.0,627034523445721.0,113.0,8,5,8,10,9,7,8,7
JC33CNHML,かすかす,PBRDPWEY1,村村会,15,55,15690000,1004878454122641.0,75.0,852910124397501.0,38.0,666941283023645.0,79.0,7,6,8,10,7,8,8,7
P4ZNDWHDA,どんき,GXR6C85BT,花帆ちゃん親衛隊,15,56,15685000,1001461563534554.0,77.0,757856721435756.0,90.0,671970983046782.0,76.0,9,8,8,10,8,9,8,10
B6XUHLVUZ,ればにら,RFYKY8DCD,LA.LA.LA,15,57,15683000,878442776334258.0,154.0,796758738017364.0,63.0,718332794980052.0,49.0,9,9,10,9,9,9,9,10
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十角ex,15,58,15678500,923115368469643.0,127.0,812108706752511.0,55.0,742319327037945.0,42.0,6,7,6,10,7,6,6,9
BRJ0XWX77,しいのき,V4A5MP41E,徒町チャレンジ！,15,59,15678000,1074243250450092.0,52.0,862633512438104.0,34.0,568114262847648.0,164.0,7,5,6,10,7,7,7,6
KY1DYH45V,ate_san,B5V2LNN43,WMW,15,60,15611000,1042749526897482.0,61.0,710580697155992.0,144.0,754336810966919.0,39.0,8,8,10,9,9,10,8,10
TW9L2LKS7,パワッチョ,YE7CX8RNP,蓮ノ大三十角ex,15,61,15572500,974466241709587.0,89.0,663441146998401.0,200.0,881673064520930.0,12.0,7,9,7,7,6,7,7,10
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,4,62,15546500,1158484301752582.0,37.0,785484373817571.0,67.0,617562167233246.0,128.0,8,6,8,10,8,8,7,8
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,15,63,15539000,1020099563455477.0,67.0,803973147978144.0,57.0,653653023441354.0,93.0,8,5,10,10,8,7,9,8
ALF76WC94,あかつき,MMK6BEW4K,蓮ノ湖横断し隊,15,64,15535500,890197120270845.0,149.0,756870898729200.0,91.0,728892231065918.0,46.0,8,8,9,10,9,8,8,10
CL0CDYUYY,かなちゃん,PBRDPWEY1,村村会,15,65,15486500,935701617128247.0,113.0,854640505765803.0,36.0,627373229912462.0,112.0,7,6,8,10,7,7,7,8
LQEN0GFVZ,ごろーざ,,,15,66,15474500,1100518100596021.0,49.0,665389158052892.0,198.0,664625937313586.0,82.0,7,7,8,9,7,7,7,9
MEGKKH1W5,75,HE0GK3EPE,瑞蓮プロカ倶楽部,15,67,15463500,935772076833538.0,112.0,797511965433106.0,61.0,778762412138483.0,33.0,8,8,7,9,8,7,8,10
SM59T811D,Case,RWARTHA1M,乙宗梢大好き部,12,68,15460500,957239666675216.0,105.0,761694884661075.0,81.0,772679516422462.0,36.0,8,6,8,10,8,9,9,7
VGWT7LCX7,ZUC,2VB9FPCTL,音ゲー待機室,12,69,15441000,1024089597897759.0,66.0,775185736924235.0,75.0,550346915170933.0,191.0,8,4,8,10,8,7,8,5
1FREY7CCF,ぱむぱむ,HE0GK3EPE,瑞蓮プロカ倶楽部,15,70,15439500,920819100914002.0,131.0,746621023690602.0,100.0,717666025757620.0,50.0,7,8,7,7,8,7,7,10
J9C1NN8VB,あび,VW65MCVF8,スリスリーズ,15,71,15389000,1051631479403894.0,58.0,750190650650005.0,96.0,702206793593116.0,60.0,5,7,6,10,9,6,6,9
H4VR0D1DV,そー,WN5B7VKPU,きんぴられんこん,10,72,15374000,984737021090112.0,83.0,729406336933594.0,122.0,700192588513395.0,61.0,8,8,8,10,7,8,8,10
TKLRD66RN,ふじー,GXR6C85BT,花帆ちゃん親衛隊,15,73,15353500,1117687013437325.0,45.0,745966945343347.0,101.0,645132273036655.0,98.0,6,7,7,10,7,6,7,9
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,74,15347500,1000104803935769.0,78.0,828004963851536.0,49.0,456284533324121.0,343.0,8,6,8,10,8,8,8,7
