player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,吟子,花帆,小铃,さやか,姬芽,瑠璃乃,塞拉斯,泉,季度等级,104季度等级
GRN5C49P3,えーるん,VW65MCVF8,スリスリーズ,15,1,26810000,10,10,10,10,10,10,10,10,80,60
A172AA7DD,にしん,,,9,2,26780000,10,10,10,10,10,10,10,10,80,60
ZYAP6N76H,ぬわぁんでよぉ,M5LHG6R4T,乙宗動物園,15,3,26680000,10,10,10,10,10,10,10,10,80,60
LP0BEDRF6,閉店作業中,B3XCJHV2F,デトロイト支部,15,4,26670000,10,10,10,10,10,10,10,10,80,60
QTHXHSE6U,王と神,EYN9H9N16,蓮すきすきクラブ,15,5,26280000,10,10,10,10,10,10,10,10,80,60
L8VJOGDKM,まる,VW65MCVF8,スリスリーズ,15,5,26280000,10,10,10,10,10,10,9,9,78,60
CAH984HAW,隠居Truer,VW65MCVF8,スリスリーズ,15,7,26142000,10,10,10,10,10,10,10,8,78,60
VH1RC5NNC,コグレ,25PMPEMG7,星見プロ,15,8,26110000,10,10,10,10,10,10,10,10,80,60
R3YC2XYYZ,秋,GPKTRBCTT,騎空団蓮ノ空支部,15,9,26055000,10,10,10,10,10,10,10,10,80,60
FWBTX791U,隠居勢,M5LHG6R4T,乙宗動物園,11,10,26010000,10,10,10,10,10,10,10,10,80,60
HVA8EZJWM,鍋,YCTM6RYDP,金沢おでん同好会,15,11,25980000,10,10,10,10,10,10,10,10,80,60
RV0TDDA7D,ブリてっか,EYN9H9N16,蓮すきすきクラブ,15,12,25965000,10,10,10,10,10,10,10,10,80,60
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,13,25925000,10,10,10,10,10,10,8,8,76,60
42J4J5OSG,ハラシヨ,M5LHG6R4T,乙宗動物園,15,14,25910000,10,10,10,9,10,9,10,8,76,58
70NE2637U,りふいっと,,,8,15,25840000,10,10,10,10,10,10,10,10,80,60
U1IQYBNI5,通りすがりの人,,,9,16,25675000,10,10,10,10,10,10,10,10,80,60
9L52YPRA1,ハミングバード,FVJFA973A,月猫愛好会,3,17,25640000,10,10,10,10,10,10,10,10,80,60
X0N1L475X,ぼた餅,PBRDPWEY1,村村会,15,18,25575000,10,10,10,10,10,10,10,8,78,60
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,13,19,25525000,9,9,9,9,9,9,10,10,74,54
Z4TLWEM1D,カポエラー,YE7CX8RNP,蓮ノ大三十角ex,12,20,25510000,10,10,10,10,10,10,10,10,80,60
NJ5M5IZWU,まき,M5LHG6R4T,乙宗動物園,15,21,25360000,9,10,10,10,9,10,10,8,76,58
B424J17UB,ギンッカ,EYN9H9N16,蓮すきすきクラブ,15,22,25355000,7,7,8,7,7,7,10,8,61,43
UA5OC8495,zth,NC2YT2V28,蓮之愛同予者何人,15,23,25175000,10,7,8,7,8,7,10,10,67,47
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,15,24,25105000,8,9,10,9,9,8,10,8,71,53
8DSWY1SNL,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,15,25,25085000,8,9,8,9,9,9,10,8,70,52
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,26,24890000,9,10,8,9,8,8,10,9,71,52
FSHR5FP4W,Kian,0B4LPDY69,巣〜極楽〜,15,27,24740000,9,9,9,10,9,9,10,9,74,55
