player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,瑠璃乃,さやか,姬芽,吟子,小铃,花帆,塞拉斯,泉,季度等级,104季度等级
GRN5C49P3,えーるん,VW65MCVF8,スリスリーズ,15,1,35750000,10,10,10,10,10,10,10,10,80,60
A172AA7DD,にしん,,,9,2,35680000,10,10,10,10,10,10,10,10,80,60
ZYAP6N76H,ぬわぁんでよぉ,M5LHG6R4T,乙宗動物園,15,3,35550000,10,10,10,10,10,10,10,10,80,60
LP0BEDRF6,休業中,B3XCJHV2F,デトロイト支部,15,4,35510000,10,10,10,10,10,10,10,10,80,60
CAH984HAW,隠居Truer,VW65MCVF8,スリスリーズ,15,5,35102000,10,10,10,10,10,10,10,8,78,60
L8VJOGDKM,まる,VW65MCVF8,スリスリーズ,15,6,35080000,10,10,10,10,10,10,10,10,80,60
QTHXHSE6U,王と神,EYN9H9N16,蓮すきすきクラブ,15,7,34955000,10,10,10,10,10,10,10,10,80,60
FWBTX791U,隠居勢,M5LHG6R4T,乙宗動物園,11,8,34920000,10,10,10,10,10,10,10,10,80,60
VH1RC5NNC,コグレ,25PMPEMG7,星見プロ,15,9,34855000,10,10,10,10,10,10,10,10,80,60
R3YC2XYYZ,秋,GPKTRBCTT,騎空団蓮ノ空支部,15,10,34705000,10,10,10,10,10,10,10,10,80,60
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,11,34645000,10,10,10,10,10,10,8,8,76,60
HVA8EZJWM,鍋,YCTM6RYDP,金沢おでん同好会,15,12,34625000,10,10,10,10,10,10,10,10,80,60
RV0TDDA7D,ブリてっか,EYN9H9N16,蓮すきすきクラブ,15,13,34620000,10,10,10,10,10,10,10,10,80,60
70NE2637U,りふいっと,,,8,14,34450000,10,10,10,10,10,10,10,10,80,60
42J4J5OSG,ハラシヨ,M5LHG6R4T,乙宗動物園,15,15,34420000,9,9,10,10,10,10,10,8,76,58
U1IQYBNI5,通りすがりの人,,,9,16,34175000,10,10,10,10,10,10,10,10,80,60
9L52YPRA1,ハミングバード,,,3,16,34175000,10,10,10,10,10,10,10,10,80,60
X0N1L475X,ぼた餅,PBRDPWEY1,村村会,15,18,34100000,10,10,10,10,10,10,10,9,79,60
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,13,19,34025000,9,9,9,9,9,9,10,10,74,54
Z4TLWEM1D,カポエラー,YE7CX8RNP,蓮ノ大三十角ex,12,20,33835000,10,10,10,10,10,10,10,10,80,60
NJ5M5IZWU,まき,M5LHG6R4T,乙宗動物園,15,20,33835000,10,10,9,9,10,10,10,8,76,58
UA5OC8495,zth,NC2YT2V28,蓮之愛同予者何人,15,22,33555000,7,7,8,10,8,7,10,10,67,47
B424J17UB,ギンッカ,EYN9H9N16,蓮すきすきクラブ,15,23,33500000,7,7,7,7,8,7,10,8,61,43
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,15,24,33435000,8,9,9,8,10,9,10,8,71,53
8DSWY1SNL,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,15,25,33140000,9,9,9,8,8,9,10,8,70,52
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,26,33100000,8,9,8,9,8,10,10,9,71,52
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,27,33010000,8,8,7,8,7,10,10,6,64,48
FSHR5FP4W,Kian,KT4C59NXG,めぐ島（仮）,15,28,32860000,9,10,9,9,9,9,10,9,74,55
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,15,29,32760000,9,10,9,9,9,10,10,10,76,56
