player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,花帆,小铃,さやか,瑠璃乃,姬芽,吟子,泉,塞拉斯,季度等级,104季度等级
GRN5C49P3,えーるん,VW65MCVF8,スリスリーズ,15,1,44670000,10,10,10,10,10,10,10,10,80,60
ZYAP6N76H,ぬわぁんでよぉ,M5LHG6R4T,乙宗動物園,15,2,44480000,10,10,10,10,10,10,10,10,80,60
A172AA7DD,にしん,,,9,3,44470000,10,10,10,10,10,10,10,10,80,60
LP0BEDRF6,サンキューセラス,,,15,4,44380000,10,10,10,10,10,10,10,10,80,60
L8VJOGDKM,まる,VW65MCVF8,スリスリーズ,15,5,43960000,10,10,10,10,10,10,10,10,80,60
CAH984HAW,隠居Truer,VW65MCVF8,スリスリーズ,15,6,43947000,10,10,10,10,10,10,8,10,78,60
QTHXHSE6U,総たい,EYN9H9N16,蓮すきすきクラブ,15,7,43800000,10,10,10,10,10,10,10,10,80,60
FWBTX791U,garry,M5LHG6R4T,乙宗動物園,11,8,43730000,10,10,10,10,10,10,10,10,80,60
VH1RC5NNC,コグレ,25PMPEMG7,星見プロ,15,9,43565000,10,10,10,10,10,10,10,10,80,60
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,10,43405000,10,10,10,10,10,10,10,10,80,60
R3YC2XYYZ,秋,GPKTRBCTT,騎空団蓮ノ空支部,15,11,43315000,10,10,10,10,10,10,10,10,80,60
HVA8EZJWM,鍋,YCTM6RYDP,金沢おでん同好会,15,11,43315000,10,10,10,10,10,10,10,10,80,60
RV0TDDA7D,ブリてっか,EYN9H9N16,蓮すきすきクラブ,15,13,43275000,10,10,10,10,10,10,10,10,80,60
70NE2637U,りふいっと,,,8,14,43100000,10,10,10,10,10,10,10,10,80,60
42J4J5OSG,ハラシヨ,M5LHG6R4T,乙宗動物園,15,15,43095000,10,10,9,9,10,10,8,10,76,58
U1IQYBNI5,通りすがりの人,,,9,16,42735000,10,10,10,10,10,10,10,10,80,60
9L52YPRA1,ハミングバード,EYN9H9N16,蓮すきすきクラブ,3,17,42715000,10,10,10,10,10,10,10,10,80,60
X0N1L475X,ぼた餅,PBRDPWEY1,村村会,15,18,42510000,10,10,10,10,10,10,9,10,79,60
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,13,19,42460000,9,9,9,9,9,9,10,10,74,54
Z4TLWEM1D,カポエラー,YE7CX8RNP,蓮ノ大三十角ex,12,20,42255000,10,10,10,10,10,10,10,10,80,60
NJ5M5IZWU,まき,M5LHG6R4T,乙宗動物園,15,21,42115000,10,10,10,10,9,9,8,10,76,58
UA5OC8495,zth,NC2YT2V28,蓮之愛同予者何人,15,22,41845000,7,8,7,7,8,10,10,10,67,47
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,15,23,41745000,9,10,9,8,9,8,8,10,71,53
B424J17UB,ギンッカ,EYN9H9N16,蓮すきすきクラブ,15,24,41670000,7,8,7,7,7,7,8,10,61,43
8DSWY1SNL,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,15,25,41470000,9,8,9,9,9,8,8,10,70,52
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,26,41325000,10,7,8,8,7,8,6,10,64,48
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,27,41280000,10,8,9,8,8,9,9,10,71,52
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,15,28,41170000,10,9,10,9,9,9,10,10,76,56
FSHR5FP4W,Kian,KT4C59NXG,めぐ島（仮）,15,29,40960000,9,9,10,9,9,9,9,10,74,55
FVG9O3T6M,少結,P8W50773L,蓮ノ空見守り隊,15,30,40766000,10,6,7,7,6,6,6,6,54,42
BMM78P2WR,(・8・),M5LHG6R4T,乙宗動物園,15,31,40667000,10,9,9,9,9,9,8,10,73,55
4W6BIX284,リリィ♡,FK5MUK0ET,くる♡すきクラブ,15,32,40592500,9,9,9,9,8,9,8,10,71,53
OWS2KA4SW,ごみょ,,,15,33,40494000,10,9,9,8,9,9,6,5,65,54
NLNKEMVRB,なのはな,0UT59MJ8U,かほすこ同好会,13,34,40486000,7,7,8,7,7,7,6,10,59,43
K8XN5UVA3,ツインドアノブ,W26TRPM1R,めぐ党藤島派,13,35,40483000,10,9,8,8,8,9,8,10,70,52
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,15,36,40404500,10,8,8,8,9,7,6,10,66,50
WCN6J32TG,しみちゃん,0TKFF5EG3,サークル名募集中,15,37,40358500,10,7,8,7,7,7,7,9,62,46
PLE67URFB,DasserAN,M5LHG6R4T,乙宗動物園,8,38,40283000,7,7,7,7,7,7,8,10,60,42
IMAK5NFHF,よもぎ,YE7CX8RNP,蓮ノ大三十角ex,15,39,40280500,10,10,10,10,10,10,10,10,80,60
XCRX2GAFB,なる,WN5B7VKPU,きんぴられんこん,15,40,40095000,8,8,9,9,8,8,5,10,65,50
9ENVXR95K,マオ,M5LHG6R4T,乙宗動物園,10,41,40066500,10,7,7,6,7,7,6,7,57,44
24M5TJDPS,わるつ,0TKFF5EG3,サークル名募集中,15,42,40063500,8,8,8,8,8,8,7,10,65,48
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,4,43,40026000,10,8,8,8,8,7,6,8,63,49
1Y0XFNNDJ,かなたなか,EYN9H9N16,蓮すきすきクラブ,15,44,39898500,10,8,8,8,6,7,6,8,61,47
8XP3JM3HY,ハヤシモリ,CX967RTGY,おんゆあさーくる,13,45,39896500,8,7,10,10,7,7,6,7,62,49
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,46,39890000,10,8,8,8,8,8,7,10,67,50
IN27C39RY,スス,9YM3DBTB7,泥民館,15,47,39859000,9,9,9,9,9,9,8,10,72,54
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,15,48,39825000,8,9,9,8,8,9,8,10,69,51
P4ZNDWHDA,どんき,GXR6C85BT,花帆ちゃん親衛隊,15,49,39590000,10,9,8,8,9,8,8,10,70,52
TXTPD6OZ9,stella,M5LHG6R4T,乙宗動物園,15,50,39509000,10,7,8,9,8,8,5,7,62,50
J9C1NN8VB,私はマグネット,VW65MCVF8,スリスリーズ,15,51,39459000,10,6,6,9,5,6,7,9,58,42
ALF76WC94,あかつき,MMK6BEW4K,蓮ノ湖横断し隊,15,52,39388000,10,10,10,10,10,10,10,10,80,60
7604CH5KV,hiro,FK5MUK0ET,くる♡すきクラブ,15,53,39340500,7,6,6,6,6,8,6,10,55,39
V578L0R6J,mion,AXG81GPMP,蓮ノ空マタギ部,15,54,39336000,10,6,7,7,6,6,6,8,56,42
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,55,39303000,10,7,9,8,7,8,7,10,66,49
TUHKRV0IW,ポン,EYN9H9N16,蓮すきすきクラブ,15,56,39280000,10,8,9,6,8,9,6,7,63,50
KXMPLAX04,ろーぱす,2VB9FPCTL,音ゲー待機室,15,57,39237000,10,7,8,7,8,7,7,9,63,47
DEVDG82YE,ジョーくん,N0EXH1CM1,ぱちぱち徒町,9,58,39194000,10,10,10,10,10,10,10,10,80,60
HGC8Y4QUS,もがの,0UT59MJ8U,かほすこ同好会,8,59,39175000,10,9,10,9,9,9,9,10,75,56
LQEN0GFVZ,ごろーざ,WN5B7VKPU,きんぴられんこん,15,60,39104500,10,7,8,8,7,7,7,9,63,47
L5FWMMCWN,クルス人,PBRDPWEY1,村村会,9,61,39102000,7,6,10,6,7,6,7,10,59,42
KY1DYH45V,ate_san,B5V2LNN43,WMW,15,62,39089500,9,10,10,9,8,8,8,10,72,54
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,15,63,39007000,10,7,10,8,8,9,5,8,65,52
IEM5ZNZ0W,Xenos,GXR6C85BT,花帆ちゃん親衛隊,9,64,38847000,9,8,8,8,8,9,6,10,66,50
BRJ0XWX77,しいのき,V4A5MP41E,徒町チャレンジ！,15,65,38815000,10,7,6,7,7,7,5,6,55,44
