player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,grade pt,塞拉斯,泉,花帆,姬芽,小铃,瑠璃乃,さやか,吟子,季度等级,104季度等级
GRN5C49P3,えーるん,VW65MCVF8,スリスリーズ,15,1,53435000,4000,10,10,10,10,10,10,10,10,80,60
A172AA7DD,にしん,,,9,2,53400000,3999,10,10,10,10,10,10,10,10,80,60
ZYAP6N76H,ぬわぁんでよぉ,M5LHG6R4T,乙宗動物園,15,3,53380000,3998,10,10,10,10,10,10,10,10,80,60
LP0BEDRF6,9度目の桜,,,15,4,53175000,3997,10,10,10,10,10,10,10,10,80,60
CAH984HAW,タピエンル,VW65MCVF8,スリスリーズ,15,5,52817000,3996,10,8,10,10,10,10,10,10,78,60
L8VJOGDKM,まる,VW65MCVF8,スリスリーズ,15,6,52765000,3995,10,10,10,10,10,10,10,10,80,60
QTHXHSE6U,総たい,EYN9H9N16,蓮すきすきクラブ,15,7,52660000,3994,10,10,10,10,10,10,10,10,80,60
FWBTX791U,garry,M5LHG6R4T,乙宗動物園,11,8,52530000,3993,10,10,10,10,10,10,10,10,80,60
VH1RC5NNC,コグレ,25PMPEMG7,星見プロ,15,9,52305000,3992,10,10,10,10,10,10,10,10,80,60
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,10,52225000,3991,10,10,10,10,10,10,10,10,80,60
HVA8EZJWM,鍋,YCTM6RYDP,金沢おでん同好会,15,11,51990000,3990,10,10,10,10,10,10,10,10,80,60
R3YC2XYYZ,秋,GPKTRBCTT,騎空団蓮ノ空支部,15,12,51910000,3990,10,10,10,10,10,10,10,10,80,60
RV0TDDA7D,ブリてっか,EYN9H9N16,蓮すきすきクラブ,15,13,51770000,3989,10,10,10,10,10,10,10,10,80,60
42J4J5OSG,ハラシヨ,M5LHG6R4T,乙宗動物園,15,14,51745000,3988,10,8,10,10,10,9,9,10,76,58
70NE2637U,りふいっと,,,8,15,51655000,3987,10,10,10,10,10,10,10,10,80,60
9L52YPRA1,ハミングバード,EYN9H9N16,蓮すきすきクラブ,3,16,51370000,3986,10,10,10,10,10,10,10,10,80,60
U1IQYBNI5,通りすがりの人,,,9,17,51135000,3985,10,10,10,10,10,10,10,10,80,60
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,13,18,51015000,3984,10,10,9,9,9,9,9,9,74,54
X0N1L475X,ぼた餅,PBRDPWEY1,村村会,15,19,50940000,3983,10,9,10,10,10,10,10,10,79,60
Z4TLWEM1D,ちびこま,YE7CX8RNP,蓮ノ大三十角ex,12,20,50405000, ,10,10,10,10,10,10,10,10,80,60
NJ5M5IZWU,まき,M5LHG6R4T,乙宗動物園,15,21,50400000,3982,10,8,10,9,10,10,10,9,76,58
UA5OC8495,zth,NC2YT2V28,蓮之愛同予者何人,15,22,50059500,3981,10,10,7,8,8,7,7,10,67,47
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,15,23,49980000,3980,10,8,9,9,10,8,9,8,71,53
B424J17UB,ギンッカ,EYN9H9N16,蓮すきすきクラブ,15,24,49960000,3979,10,8,7,7,8,7,7,7,61,43
8DSWY1SNL,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,15,25,49825000,3978,10,8,9,9,8,9,9,8,70,52
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,26,49605000,3977,10,6,10,7,7,8,8,8,64,48
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,27,49510000,3976,10,9,10,8,8,8,9,9,71,52
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,15,28,49340000,3976,10,10,10,9,9,9,10,9,76,56
FSHR5FP4W,Kian,KT4C59NXG,めぐ島（仮）,15,29,49195000,3975,10,9,9,9,9,9,10,9,74,55
BMM78P2WR,(・8・),M5LHG6R4T,乙宗動物園,15,30,48997000,3974,10,8,10,9,9,9,9,9,73,55
FVG9O3T6M,少結,P8W50773L,蓮ノ空見守り隊,15,31,48986000,3973,6,6,10,6,6,7,7,6,54,42
OWS2KA4SW,ごみょ,,,15,32,48704000,3972,5,6,10,9,9,8,9,9,65,54
4W6BIX284,リリィ♡,FK5MUK0ET,くる♡すきクラブ,15,33,48657500,3971,10,8,9,8,9,9,9,9,71,53
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,15,34,48649500,3971,10,6,10,9,8,8,8,7,66,50
PLE67URFB,DasserAN,M5LHG6R4T,乙宗動物園,8,35,48563000,3970,10,8,7,7,7,7,7,7,60,42
IMAK5NFHF,よもぎ,YE7CX8RNP,蓮ノ大三十角ex,15,36,48455500,3969,10,10,10,10,10,10,10,10,80,60
NLNKEMVRB,なのはな,0UT59MJ8U,かほすこ同好会,13,37,48423000,3968,10,6,7,7,7,7,8,7,59,43
WCN6J32TG,しみちゃん,0TKFF5EG3,サークル名募集中,15,38,48370500,3967,9,7,10,7,7,7,8,7,62,46
IN27C39RY,スス,9YM3DBTB7,泥民館,15,39,47989000,3966,10,8,9,9,9,9,9,9,72,54
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,4,40,47946000,3966,8,6,10,8,8,8,8,7,63,49
XCRX2GAFB,なる,WN5B7VKPU,きんぴられんこん,15,41,47944500,3965,10,5,8,8,8,9,9,8,65,50
1Y0XFNNDJ,かなたなか,EYN9H9N16,蓮すきすきクラブ,15,42,47898500,3964,8,6,10,6,9,8,8,7,62,48
9ENVXR95K,マオ,M5LHG6R4T,乙宗動物園,10,43,47885000,3963,7,6,10,7,7,6,7,7,57,44
TXTPD6OZ9,stella,M5LHG6R4T,乙宗動物園,15,44,47823500,3962,7,5,10,8,7,9,8,8,62,50
24M5TJDPS,わるつ,0TKFF5EG3,サークル名募集中,15,45,47817500,3961,10,7,8,8,8,8,8,8,65,48
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,46,47816000,3961,10,7,10,8,8,8,8,8,67,50
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,15,47,47775000,3960,10,8,8,8,9,8,9,9,69,51
8XP3JM3HY,ハヤシモリ,CX967RTGY,おんゆあさーくる,13,48,47691500,3959,7,6,8,7,7,10,10,7,62,49
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,49,47538000,3958,10,7,10,7,7,8,9,8,66,49
P4ZNDWHDA,どんき,GXR6C85BT,花帆ちゃん親衛隊,15,50,47535000,3957,10,8,10,9,9,8,8,8,70,52
DEVDG82YE,ジョーくん,N0EXH1CM1,ぱちぱち徒町,9,51,47389000,3957,10,10,10,10,10,10,10,10,80,60
ALF76WC94,あかつき,MMK6BEW4K,蓮ノ湖横断し隊,15,52,47303000,3956,10,10,10,10,10,10,10,10,80,60
7604CH5KV,hiro,FK5MUK0ET,くる♡すきクラブ,15,53,47292500,3955,10,6,7,6,6,6,6,8,55,39
TUHKRV0IW,ポン,EYN9H9N16,蓮すきすきクラブ,15,54,47200000,3954,7,6,10,8,8,6,9,9,63,50
J9C1NN8VB,私はマグネット,VW65MCVF8,スリスリーズ,15,55,47199000,3953,9,7,10,5,6,9,6,6,58,42
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,15,56,47112000, ,8,5,10,8,7,8,10,9,65,52
KXMPLAX04,ろーぱす,2VB9FPCTL,音ゲー待機室,15,57,46968500,3952,9,7,10,8,7,7,8,7,63,47
IEM5ZNZ0W,Xenos,GXR6C85BT,花帆ちゃん親衛隊,9,58,46911500,3951,10,6,9,8,8,8,8,9,66,50
K8XN5UVA3,ツインドアノブ,W26TRPM1R,めぐ党藤島派,13,59,46885450,3950,10,8,10,8,9,8,8,9,70,52
V578L0R6J,mion,AXG81GPMP,蓮ノ空マタギ部,15,60,46864000,3949,8,6,10,6,6,7,7,6,56,42
KY1DYH45V,ate_san,B5V2LNN43,WMW,15,61,46809500,3949,10,8,9,8,10,9,10,8,72,54
LQEN0GFVZ,ごろーざ,WN5B7VKPU,きんぴられんこん,15,62,46797500,3948,9,7,10,7,7,8,8,7,63,47
EEODMO0PN,kazami,VW65MCVF8,スリスリーズ,9,63,46696500, ,10,7,8,7,7,8,7,8,62,45
HGC8Y4QUS,もがの,0UT59MJ8U,かほすこ同好会,8,64,46608500,3946,10,9,10,9,9,9,10,9,75,56
L6A36K16J,なりり(本物),FK5MUK0ET,くる♡すきクラブ,12,65,46572500,3946,6,6,10,10,7,6,6,6,57,45
BRJ0XWX77,しいのき,V4A5MP41E,徒町チャレンジ！,15,66,46535000,3945,6,5,10,7,7,7,6,7,55,44
U7NEBV4KH,こーど,,,15,67,46451500,3944,9,7,10,8,8,8,8,8,66,50
TW9L2LKS7,パワッチョ,YE7CX8RNP,蓮ノ大三十角ex,15,68,46305500,3943,10,9,7,7,7,6,7,7,60,41
TKLRD66RN,ふじー,GXR6C85BT,花帆ちゃん親衛隊,15,69,46264500,3943,9,7,10,6,6,7,7,7,59,43
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,15,70,46164500,3942,7,5,10,7,6,7,7,7,56,44
C7IMXOP79,ナーガ,FVJFA973A,月猫愛好会,0,71,46153000,3941,10,9,10,8,8,7,9,8,69,50
02DY8MLAP,蓮き,YFADYJVW4,FPS好きクラブ,15,72,46142500,3940,10,9,10,9,9,9,9,8,73,54
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,15,73,46104500,3940,8,6,10,8,7,6,7,6,58,44
SM59T811D,Case,RWARTHA1M,乙宗梢大好き部,12,74,46091000, ,7,6,10,8,9,8,8,9,65,52
M30MWLT24,ゆあゆあ,05KN1RR3U,さやかほ花卉園,15,75,46070000,3938,10,9,10,8,8,6,9,9,69,50
H4VR0D1DV,そー,WN5B7VKPU,きんぴられんこん,11,76,46041500,3937,10,8,10,9,9,8,10,8,72,54
L6HBG7C3L,あまらく@,0TKFF5EG3,サークル名募集中,15,77,45958500,3936,8,5,9,7,7,7,7,7,57,44
JC33CNHML,かすかす,PBRDPWEY1,村村会,15,78,45957000,3936,8,6,10,7,8,7,8,9,63,49
DRSNNTTME,もや,YE7CX8RNP,蓮ノ大三十角ex,4,79,45948500,3935,10,9,10,7,6,6,6,8,62,43
76L1SWWX0,カプ・デカホ,GXR6C85BT,花帆ちゃん親衛隊,15,80,45944000,3934,9,8,10,8,8,9,8,8,68,51
JAG81QH05,たらみ,GXR6C85BT,花帆ちゃん親衛隊,10,81,45942500,3934,8,7,10,8,8,7,8,9,65,50
5W83UKK4H,望月,1BME38BCD,さすさやクラブ,15,82,45914500,3933,10,7,10,8,7,7,8,8,65,48
4F1HIHA3J,きびだんごうどん,11FB0EDDT,スクステ同好会,15,83,45856500,3932,9,8,9,7,7,7,7,7,61,44
