rank,grade pt
1,4000
2,3999
3,3998
4,3997
5,3996
6,3995
7,3994
8,3993
9,3992
10,3991
11,3990
12,3990
13,3989
14,3988
15, 
16,3986
17,3985
18,3984
19,3983
20, 
21,3982
22,3981
23,3980
24,3979
25, 
26,3977
27, 
28,3976
29,3975
30,3974
31,3973
32, 
33, 
34,3971
35, 
36,3969
37, 
38, 
39,3966
40, 
41,3965
42,3964
43,3963
44,3962
45,3961
46,3961
47,3960
48, 
49,3958
50,3957
51,3957
52, 
53,3955
54,3954
55,3953
56, 
57,3952
58,3951
59,3950
60, 
61,3949
62,3948
63, 
64, 
65, 
66,3945
67,3944
68, 
69, 
70,3942
71,3941
72,3940
73,3940
74, 
75,3938
76,3937
77,3936
78,3936
79, 
80,3934
81,3934
82,3933
83,3932
84,3931
85,3931
86,3930
86,3930
88,3928
89,3928
90, 
91,3926
92, 
93, 
94, 
95,3923
96,3923
97,3922
98,3921
99,3921
100,3920
101,3919
102, 
103,3918
104,3917
105,3916
106,3916
107,3915
108,3914
109,3914
110,3913
111,3912
112, 
113, 
114, 
115, 
116,3909
117,3908
118,3907
119,3907
120,3906
121,3905
122,3905
123,3904
123,3904
125,3903
126,3902
127,3901
128,3901
129,3900
130,3899
131, 
132,3898
133,3897
134,3897
135,3896
136,3896
137,3895
138,3894
139,3894
140,3893
141,3892
142,3892
143,3891
144, 
145,3890
146,3889
147, 
148,3888
149,3887
150,3887
151,3886
152,3885
153,3885
154,3884
155,3883
156,3883
157, 
158,3882
159, 
160,3880
161,3880
162, 
163,3879
164,3878
165, 
166, 
167,3876
168,3876
169,3875
170,3874
171,3874
172,3873
173,3873
174,3872
175, 
175,3871
177, 
178,3870
179,3869
180,3868
181, 
182,3867
183,3867
184,3866
185, 
186,3865
187,3864
188, 
189,3863
190,3863
191, 
192,3861
193,3861
194,3860
195,3860
196,3859
197,3859
198,3858
199,3857
200,3857
201,3856
202,3856
203,3855
204, 
205,3854
206, 
207,3853
208,3852
209, 
210,3851
211, 
212,3850
213, 
214,3849
215,3849
216,3848
217,3847
218, 
219,3846
220,3846
221,3845
222,3845
223, 
224,3844
225,3843
226,3843
227,3842
228,3842
229, 
230,3840
231,3840
232,3839
233,3839
234,3838
235,3838
236, 
237,3837
238, 
239,3836
240,3835
241,3835
242,3834
243,3834
244,3833
245, 
246,3832
247,3832
248, 
249, 
250,3830
251,3830
252,3829
253, 
254,3828
255,3827
256,3827
257,3826
258, 
259,3825
260, 
261,3824
262,3824
263,3823
264,3823
265,3822
266,3822
267,3821
268, 
269,3820
270,3820
271,3819
272,3819
273,3819
274,3818
275,3818
276,3817
277,3817
278,3816
279,3816
280,3815
281, 
282,3814
283,3814
284,3813
285, 
286,3812
287,3812
288,3811
289,3811
290,3810
291,3810
292,3809
293, 
294,3808
295, 
296, 
297,3807
298,3807
299,3806
300,3806
301,3805
302,3805
303,3804
304,3804
305,3803
306,3803
307,3802
308,3802
309,3801
310, 
311,3800
312,3800
313,3800
314,3799
315, 
316,3798
317,3798
318,3797
319,3797
320,3796
321,3796
322,3795
323, 
324,3795
325, 
326,3794
326,3794
328,3793
329,3792
330,3792
331,3791
332,3791
333,3791
334,3790
335,3790
336, 
337,3789
338, 
339,3788
340,3787
341,3787
342,3787
343,3786
344, 
344,3786
346,3785
347,3784
348,3784
349,3784
350, 
351,3783
352,3782
353,3782
354, 
355, 
356,3781
357,3780
358, 
359,3779
360,3779
361,3778
362,3778
363,3778
364, 
365,3777
366,3776
367,3776
368,3776
368,3776
370,3775
371,3774
372,3774
373,3773
374, 
375,3773
376,3772
377, 
378,3771
379,3771
380, 
381,3770
381,3770
383,3769
384,3769
385,3769
386,3768
387,3768
388,3767
389, 
390, 
391,3766
392,3766
393,3765
394,3765
395,3764
396, 
397,3764
398, 
399,3763
400,3762
401,3762
402,3762
403, 
404,3761
405, 
406,3760
407,3760
408,3759
409, 
410,3759
411,3758
412,3758
413,3757
414,3757
415,3757
416,3756
417, 
418,3755
419,3755
420,3755
421,3754
422,3754
423,3753
424, 
425, 
426,3752
427, 
428, 
429,3751
430,3751
431, 
432,3750
433,3750
434,3749
435,3749
436,3749
437, 
438,3748
439, 
440,3747
441,3747
442,3746
443,3746
444, 
445,3745
446,3745
447,3744
448,3744
449,3744
450,3743
451,3743
452,3743
453,3742
454,3742
455, 
456,3741
457,3741
458,3740
459, 
460,3740
461,3739
462,3739
463,3739
464,3738
465,3738
466,3737
467, 
468,3737
469,3736
470,3736
471, 
472,3735
473, 
474,3735
475,3734
476,3734
477,3733
478, 
479,3733
480,3732
481, 
482,3732
483, 
484, 
485,3731
486, 
487, 
488,3730
489,3729
490,3729
491,3729
492,3728
493,3728
494,3727
495,3727
496,3727
497,3726
498,3726
499,3726
500, 
501,3725
502,3725
503, 
504,3724
505,3724
506,3723
507,3723
508,3723
509,3722
510,3722
511,3722
512,3721
513,3721
514,3721
515, 
516,3720
517,3720
518, 
519, 
520,3719
521,3718
522,3718
523,3718
524, 
525, 
526,3717
527, 
528, 
529,3716
530, 
531,3715
532,3715
533,3714
534, 
535,3714
536,3713
536,3713
538,3713
539,3712
540,3712
541, 
542, 
543,3711
544,3711
545,3710
546,3710
547,3710
548,3709
549,3709
550, 
551,3708
552,3708
553,3708
554,3707
555,3707
556, 
557,3706
558,3706
559,3706
560, 
561,3705
562,3705
563,3705
564,3704
565,3704
566,3704
567,3703
568, 
569,3703
570,3702
571,3702
572,3702
573,3701
574,3701
575, 
576,3700
577, 
578,3700
579,3699
580, 
581, 
582,3699
583,3698
584,3698
585,3698
586,3697
587, 
588, 
589,3696
590,3696
591,3696
592,3695
593,3695
594,3695
595,3695
596,3694
597, 
598,3694
599, 
600, 
601,3693
602,3692
603, 
604, 
605, 
606, 
607,3691
608,3691
609,3690
610,3690
611,3690
612,3689
613, 
614,3689
615,3688
616,3688
617,3688
618,3688
619, 
620, 
621, 
622,3686
623, 
624, 
625,3686
626,3685
627,3685
628, 
629, 
630,3684
631, 
632,3683
633,3683
634,3683
635,3683
636,3682
637,3682
638, 
639,3681
640, 
641,3681
642,3681
643,3680
644,3680
645,3680
646,3679
647,3679
648, 
649,3679
650,3678
651, 
652,3678
653,3677
654,3677
655, 
656,3677
657,3676
658,3676
659,3676
660,3675
661,3675
662,3675
663, 
664,3674
665,3674
666,3674
667, 
668,3673
669,3673
670,3673
671,3672
672,3672
673,3672
674, 
675, 
676,3671
677,3671
678, 
679,3670
680,3670
681,3669
682,3669
683,3669
684, 
685,3668
686, 
687,3668
688,3668
689, 
690, 
691, 
692,3666
693, 
694,3666
695,3666
696,3665
697,3665
698, 
699,3665
700,3664
701,3664
702, 
703,3663
704,3663
705, 
706, 
707, 
708, 
709,3662
710, 
711,3661
712, 
713, 
714,3661
715,3660
716,3660
717,3660
718,3659
719, 
720,3659
721,3659
722, 
723,3658
724,3658
725,3658
726,3657
727, 
728,3657
729,3657
730,3656
731,3656
732,3656
733,3655
734, 
735,3655
736,3655
737, 
738,3654
739,3654
740, 
741, 
742,3653
743,3653
744,3653
745,3652
746,3652
747, 
748,3652
749,3651
750,3651
751,3651
752,3651
753,3650
754,3650
755,3650
756, 
757,3649
758,3649
759, 
760, 
761,3648
762,3648
763,3648
764,3647
765,3647
766,3647
767,3647
768, 
769,3646
770,3646
771,3646
772,3645
773,3645
774, 
775,3645
776, 
777, 
778,3644
779, 
780,3643
781, 
782,3643
783,3643
784,3642
785, 
786,3642
787,3642
788,3641
789,3641
790,3641
791,3641
792, 
793,3640
794,3640
795,3640
796,3640
797,3639
798,3639
799,3639
800,3639
800,3639
802,3638
803,3638
804,3638
805,3637
806,3637
807,3637
808,3637
809,3636
810,3636
811,3636
812, 
813,3635
814, 
815,3635
816, 
817,3634
818,3634
819,3634
820,3634
821,3633
822, 
823, 
824,3633
825, 
826,3632
827,3632
828, 
828,3632
830, 
831,3631
832,3631
833,3631
834,3630
835,3630
836, 
837,3630
838,3629
839,3629
840,3629
841, 
842,3628
843,3628
844,3628
845, 
846,3628
846, 
848, 
849, 
850,3627
851,3626
852,3626
853, 
854, 
855,3625
856,3625
857,3625
