player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,泉,塞拉斯,吟子,さやか,姬芽,瑠璃乃,花帆,小铃,季度等级,104季度等级
L8VJOGDKM,まる,VW65MCVF8,スリスリーズ,15,1,8970000,10,10,10,10,10,10,10,10,80,60
QTHXHSE6U,総たい,EYN9H9N16,蓮すきすきクラブ,15,2,8830000,10,10,10,10,10,10,10,10,80,60
ZYAP6N76H,ぬわぁんでよぉ,M5LHG6R4T,乙宗動物園,15,3,8785000,10,10,10,10,10,10,10,10,80,60
A172AA7DD,にしん,EYN9H9N16,蓮すきすきクラブ,9,4,8780000,10,10,10,10,10,10,10,10,80,60
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,5,8730000,10,10,10,10,10,10,10,10,80,60
9L52YPRA1,ハミングバード,EYN9H9N16,蓮すきすきクラブ,3,6,8710000,10,10,10,10,10,10,10,10,80,60
U1IQYBNI5,通りすがりの人,49AMYCXCD,ルドベキア,9,7,8670000,10,10,10,10,10,10,10,10,80,60
FVG9O3T6M,少結,PPAHU1TNY,蓮ノ空のんびり部,15,7,8670000,9,6,8,9,10,10,10,9,71,56
70NE2637U,りふいっと,49AMYCXCD,ルドベキア,8,9,8640000,10,10,10,10,10,10,10,10,80,60
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,10,8635000,10,10,10,10,10,10,10,10,80,60
LP0BEDRF6,YYPT,YE7CX8RNP,蓮ノ大三十角ex,15,11,8620000,10,10,10,10,10,10,10,10,80,60
RV0TDDA7D,ブリてっか,EYN9H9N16,蓮すきすきクラブ,15,12,8610000,10,10,10,10,10,10,10,10,80,60
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,13,8555000,10,10,10,10,10,10,10,10,80,60
D0RVYCT5J,ポテチ,6XX7GBM0K,ぷちぐる同好会,12,14,8490000,10,10,10,10,10,10,10,10,80,60
6NJM4GUG6,rA9,VW65MCVF8,スリスリーズ,6,15,8485000,10,10,9,10,10,9,10,8,76,56
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,13,16,8475000,10,10,10,10,10,10,10,10,80,60
1Y0XFNNDJ,かなたなか,EYN9H9N16,蓮すきすきクラブ,15,17,8450000,10,9,10,10,10,10,10,10,79,60
X0N1L475X,ぼた餅,PBRDPWEY1,村村会,15,18,8440000,10,10,10,10,10,10,10,10,80,60
Z4TLWEM1D,ちびこま,YE7CX8RNP,蓮ノ大三十角ex,12,19,8390000,10,10,10,10,10,10,10,10,80,60
B424J17UB,ギンッカ,EYN9H9N16,蓮すきすきクラブ,15,20,8380000,10,10,10,9,10,9,10,9,77,57
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,15,21,8340000,10,10,9,9,10,9,10,8,75,55
CZKJL4VOV,リリエンフェル党,M5LHG6R4T,乙宗動物園,15,21,8340000,10,10,10,10,10,10,10,9,79,59
J9C1NN8VB,感謝龍,VW65MCVF8,スリスリーズ,15,21,8340000,8,10,10,10,10,10,10,10,78,60
CAH984HAW,タピエンル,VW65MCVF8,スリスリーズ,15,24,8320000,10,10,10,10,10,10,10,10,80,60
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,25,8315000,10,10,10,10,10,10,10,10,80,60
7604CH5KV,hiro,FK5MUK0ET,くる♡すきクラブ,15,26,8305000,10,10,10,10,10,10,10,10,80,60
EEODMO0PN,kazami,VW65MCVF8,スリスリーズ,9,27,8285000,10,10,9,9,10,9,10,9,76,56
8XP3JM3HY,ハヤシモリ,CX967RTGY,おんゆあさーくる,13,27,8285000,10,9,10,10,10,10,10,10,79,60
7TAQGMS8W,ゆる,PBRDPWEY1,村村会,15,29,8225000,10,10,10,10,10,10,10,10,80,60
42J4J5OSG,ハラシヨ,M5LHG6R4T,乙宗動物園,15,30,8175000,10,10,10,10,10,10,10,10,80,60
TKLRD66RN,ふじー,GXR6C85BT,花帆ちゃん親衛隊,15,30,8175000,10,10,9,9,10,10,10,10,78,58
