player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,花帆,さやか,姬芽,小铃,瑠璃乃,吟子,塞拉斯,泉,季度等级,104季度等级
L8VJOGDKM,まる,VW65MCVF8,スリスリーズ,15,1,17970000,10,10,10,10,10,10,10,10,80,60
A172AA7DD,にしん,EYN9H9N16,蓮すきすきクラブ,9,2,17660000,10,10,10,10,10,10,10,10,80,60
QTHXHSE6U,総たい,EYN9H9N16,蓮すきすきクラブ,15,3,17535000,10,10,10,10,10,10,10,10,80,60
ZYAP6N76H,ぬわぁんでよぉ,M5LHG6R4T,乙宗動物園,15,4,17525000,10,10,10,10,10,10,10,10,80,60
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,5,17500000,10,10,10,10,10,10,10,10,80,60
9L52YPRA1,ハミングバード,EYN9H9N16,蓮すきすきクラブ,7,6,17440000,10,10,10,10,10,10,10,10,80,60
U1IQYBNI5,通りすがりの人,49AMYCXCD,ルドベキア,9,7,17325000,10,10,10,10,10,10,10,10,80,60
FVG9O3T6M,少結,PPAHU1TNY,蓮ノ空のんびり部,15,8,17315000,10,9,10,9,10,8,6,10,72,56
RV0TDDA7D,ブリてっか,EYN9H9N16,蓮すきすきクラブ,15,9,17210000,10,10,10,10,10,10,10,10,80,60
CAH984HAW,タピエンル,VW65MCVF8,スリスリーズ,15,10,17200000,10,10,10,10,10,10,10,10,80,60
6NJM4GUG6,rA9,VW65MCVF8,スリスリーズ,8,11,17175000,10,10,10,10,10,10,10,10,80,60
D0RVYCT5J,ポテチ,6XX7GBM0K,ぷちぐる同好会,12,12,17135000,10,10,10,10,10,10,10,10,80,60
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,13,17085000,10,10,10,10,10,10,10,10,80,60
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,13,17085000,10,10,10,10,10,10,10,10,80,60
LP0BEDRF6,YYPT,YE7CX8RNP,蓮ノ大三十角ex,15,15,17015000,10,10,10,10,10,10,10,10,80,60
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,13,16,16950000,10,10,10,10,10,10,10,10,80,60
Z4TLWEM1D,ちびこま,YE7CX8RNP,蓮ノ大三十角ex,12,17,16895000,10,10,10,10,10,10,10,10,80,60
1Y0XFNNDJ,かなたなか,EYN9H9N16,蓮すきすきクラブ,15,18,16810000,10,10,10,10,10,10,9,10,79,60
X0N1L475X,ぼた餅,PBRDPWEY1,村村会,15,19,16800000,10,10,10,10,10,10,10,10,80,60
CZKJL4VOV,リリエンフェル党,M5LHG6R4T,乙宗動物園,15,20,16795000,10,10,10,10,10,10,10,10,80,60
GRN5C49P3,えーるん,EYN9H9N16,蓮すきすきクラブ,15,21,16705000,10,10,10,10,10,10,10,10,80,60
TXTPD6OZ9,stella,M5LHG6R4T,乙宗動物園,15,22,16650000,10,10,10,10,10,10,10,10,80,60
B424J17UB,ギンッカ,EYN9H9N16,蓮すきすきクラブ,15,23,16645000,10,9,10,9,9,10,10,10,77,57
7604CH5KV,hiro,FK5MUK0ET,くる♡すきクラブ,15,24,16635000,10,10,10,10,10,10,10,10,80,60
J9C1NN8VB,感謝龍,VW65MCVF8,スリスリーズ,15,25,16630000,10,10,10,10,10,10,10,8,78,60
70NE2637U,りふいっと,49AMYCXCD,ルドベキア,8,26,16613000,10,10,10,10,10,10,10,10,80,60
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,15,27,16565000,10,9,10,8,9,9,10,10,75,55
R3YC2XYYZ,秋,GPKTRBCTT,騎空団蓮ノ空支部,15,28,16540000,10,10,10,10,10,10,10,10,80,60
EEODMO0PN,kazami,VW65MCVF8,スリスリーズ,9,29,16530000,10,9,10,9,9,9,10,10,76,56
FWBTX791U,garry,M5LHG6R4T,乙宗動物園,11,30,16525000,10,10,10,10,10,10,10,10,80,60
TKLRD66RN,ふじー,GXR6C85BT,花帆ちゃん親衛隊,15,31,16515000,10,9,10,10,10,9,10,10,78,58
7TAQGMS8W,ゆる,PBRDPWEY1,村村会,15,32,16385000,10,10,10,10,10,10,10,10,80,60
WCN6J32TG,さゆりす,0TKFF5EG3,サークル名募集中,15,33,16373000,10,10,10,9,10,10,9,10,78,59
DRSNNTTME,もや,YE7CX8RNP,蓮ノ大三十角ex,4,34,16268000,10,10,10,8,10,9,10,10,77,57
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,15,35,16235000,10,10,10,10,10,10,10,10,80,60
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,35,16235000,10,10,10,10,10,10,10,10,80,60
8OJ4K93MD,コロ,HBUK6F7CC,乙宗梢なりきり部,15,37,16220000,10,9,10,9,8,9,10,10,75,55
8XP3JM3HY,ハヤシモリ,CX967RTGY,おんゆあさーくる,13,38,16210000,10,10,10,10,10,10,9,10,79,60
VH1RC5NNC,借金250万,25PMPEMG7,星見プロ,15,39,16190000,10,10,10,10,10,10,10,10,80,60
