player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,吟子,姬芽,小铃,瑠璃乃,さやか,花帆,塞拉斯,泉,季度等级,104季度等级,保底？
L8VJOGDKM,まる,VW65MCVF8,スリスリーズ,15,1,26920000,10,10,10,10,10,10,10,10,80,60,False
A172AA7DD,にしん,EYN9H9N16,蓮すきすきクラブ,9,2,26520000,10,10,10,10,10,10,10,10,80,60,False
ZYAP6N76H,ぬわぁんでよぉ,M5LHG6R4T,乙宗動物園,15,3,26330000,10,10,10,10,10,10,10,10,80,60,False
QTHXHSE6U,総たい,EYN9H9N16,蓮すきすきクラブ,15,4,26215000,10,10,10,10,10,10,10,10,80,60,False
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,5,26195000,10,10,10,10,10,10,10,10,80,60,False
9L52YPRA1,ハミングバード,EYN9H9N16,蓮すきすきクラブ,7,6,26095000,10,10,10,10,10,10,10,10,80,60,False
CAH984HAW,タピエンル,VW65MCVF8,スリスリーズ,15,7,26075000,10,10,10,10,10,10,10,10,80,60,False
U1IQYBNI5,通りすがりの人,49AMYCXCD,ルドベキア,12,8,26035000,10,10,10,10,10,10,10,10,80,60,False
FVG9O3T6M,少結,PPAHU1TNY,蓮ノ空のんびり部,15,9,25970000,9,10,9,10,9,10,10,10,77,57,False
6NJM4GUG6,rA9,VW65MCVF8,スリスリーズ,9,10,25850000,10,10,10,10,10,10,10,10,80,60,False
RV0TDDA7D,ブリてっか,EYN9H9N16,蓮すきすきクラブ,15,11,25725000,10,10,10,10,10,10,10,10,80,60,False
D0RVYCT5J,ポテチ,6XX7GBM0K,ぷちぐる同好会,12,11,25725000,10,10,10,10,10,10,10,10,80,60,False
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,13,25595000,10,10,10,10,10,10,10,10,80,60,False
KBI8MUTYD,まけれれ,EYN9H9N16,蓮すきすきクラブ,13,14,25585000,10,10,10,10,10,10,10,10,80,60,False
LP0BEDRF6,YYPT,YE7CX8RNP,蓮ノ大三十角ex,15,15,25580000,10,10,10,10,10,10,10,10,80,60,False
GRN5C49P3,えーるん,EYN9H9N16,蓮すきすきクラブ,15,16,25525000,10,10,10,10,10,10,10,10,80,60,False
Z4TLWEM1D,ちびこま,YE7CX8RNP,蓮ノ大三十角ex,12,17,25300000,10,10,10,10,10,10,10,10,80,60,False
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,13,18,25285000,10,10,10,10,10,10,10,10,80,60,False
TXTPD6OZ9,stella,M5LHG6R4T,乙宗動物園,15,19,25235000,10,10,10,10,10,10,10,10,80,60,False
R3YC2XYYZ,秋,GPKTRBCTT,騎空団蓮ノ空支部,15,20,25210000,10,10,10,10,10,10,10,10,80,60,False
1Y0XFNNDJ,かなたなか,EYN9H9N16,蓮すきすきクラブ,15,21,25125000,10,10,10,10,10,10,9,10,79,60,False
7604CH5KV,hiro,FK5MUK0ET,くる♡すきクラブ,15,22,25080000,10,10,10,10,10,10,10,10,80,60,False
FWBTX791U,garry,M5LHG6R4T,乙宗動物園,11,23,25035000,10,10,10,10,10,10,10,10,80,60,False
70NE2637U,りふいっと,49AMYCXCD,ルドベキア,8,24,25013000,10,10,10,10,10,10,10,10,80,60,False
CZKJL4VOV,リリエンフェル党,M5LHG6R4T,乙宗動物園,15,25,24905000,10,10,10,10,10,10,10,10,80,60,False
J9C1NN8VB,感謝龍,VW65MCVF8,スリスリーズ,15,25,24905000,10,10,10,10,10,10,10,10,80,60,False
X0N1L475X,ぼた餅,PBRDPWEY1,村村会,15,27,24875000,10,10,10,10,10,10,10,10,80,60,False
EEODMO0PN,kazami,VW65MCVF8,スリスリーズ,9,28,24785000,9,10,9,9,9,10,10,10,76,56,False
B424J17UB,ギンッカ,EYN9H9N16,蓮すきすきクラブ,15,29,24780000,10,10,9,9,9,10,10,10,77,57,False
TKLRD66RN,ふじー,GXR6C85BT,花帆ちゃん親衛隊,15,30,24575000,9,10,10,10,9,10,10,10,78,58,False
WCN6J32TG,さゆりす,0TKFF5EG3,サークル名募集中,15,31,24558000,10,10,9,10,10,10,10,10,79,59,False
8OJ4K93MD,コロ,HBUK6F7CC,乙宗梢なりきり部,15,32,24465000,10,10,10,9,10,10,10,10,79,59,False
7TAQGMS8W,ゆる,PBRDPWEY1,村村会,15,33,24390000,10,10,10,10,10,10,10,10,80,60,False
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,15,34,24320000,10,10,10,10,10,10,10,10,80,60,False
DRSNNTTME,もや,YE7CX8RNP,蓮ノ大三十角ex,4,35,24299000,9,10,8,10,10,10,10,10,77,57,False
42J4J5OSG,ハラシヨ,M5LHG6R4T,乙宗動物園,15,36,24260000,10,10,10,10,10,10,10,10,80,60,False
8XP3JM3HY,ハヤシモリ,CX967RTGY,おんゆあさーくる,13,37,24250000,10,10,10,10,10,10,9,10,79,60,False
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,38,24245000,10,10,10,10,10,10,10,10,80,60,False
VH1RC5NNC,借金250万,25PMPEMG7,星見プロ,15,39,24240000,10,10,10,10,10,10,10,10,80,60,False
3Q65ASSTC,ほうがく,YE7CX8RNP,蓮ノ大三十角ex,15,40,24184000,10,10,10,10,10,10,10,10,80,60,False
LQEN0GFVZ,ごろーざ,WN5B7VKPU,きんぴられんこん,15,41,24180000,10,10,10,10,10,10,10,10,80,60,False
KXMPLAX04,うぃーさん,9JTF508LB,スクスタ亡霊部,15,42,23937000,10,10,10,10,10,10,10,10,80,60,False
IEM5ZNZ0W,Xenos,GXR6C85BT,花帆ちゃん親衛隊,9,43,23934000,10,10,10,9,9,10,10,10,78,58,False
EQOU1ZZS7,ｱﾆｮ~ﾝ,VW65MCVF8,スリスリーズ,15,44,23914000,9,10,8,9,8,10,10,10,74,54,False
PLE67URFB,DasserAN,M5LHG6R4T,乙宗動物園,8,45,23900000,10,10,10,10,10,10,10,10,80,60,False
DES39P1DL,コンパス最強,B5V2LNN43,WMW,14,46,23752000,10,10,10,10,10,10,10,7,77,60,False
NWUFRAHLN,じゅんじゅん,M5LHG6R4T,乙宗動物園,12,47,23731000,10,10,10,10,10,10,10,10,80,60,False
L6HBG7C3L,あまらく@,0TKFF5EG3,サークル名募集中,15,48,23724000,9,10,9,9,9,10,9,10,75,56,False
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,15,49,23707000,10,10,10,10,10,10,10,10,80,60,False
NC6WJYFVX,でら,1BME38BCD,さすさやクラブ,15,50,23684000,8,10,9,9,9,10,10,10,75,55,False
TUHKRV0IW,ポン,EYN9H9N16,蓮すきすきクラブ,15,51,23667000,10,10,10,10,10,10,10,9,79,60,False
HVA8EZJWM,鍋,YCTM6RYDP,金沢おでん同好会,15,52,23637000,10,10,10,10,10,10,10,10,80,60,False
8DSWY1SNL,お茶とコーヒー,HBUK6F7CC,乙宗梢なりきり部,15,53,23625000,10,10,10,10,10,10,10,10,80,60,False
4F1HIHA3J,きびだんごうどん,11FB0EDDT,スクステ同好会,15,54,23583000,9,10,9,10,9,10,10,10,77,57,False
7Q17H65NQ,mitsu,YE7CX8RNP,蓮ノ大三十角ex,15,55,23484000,8,10,9,10,9,10,10,10,76,56,False
OOC27PRN6,リリィ,11FB0EDDT,スクステ同好会,2,56,23391000,10,10,10,10,10,10,10,10,80,60,False
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,15,57,23349000,10,10,10,10,10,10,10,10,80,60,False
K8XN5UVA3,ツインドアノブ,W26TRPM1R,めぐ党藤島派,13,58,23249000,10,10,10,10,10,10,10,10,80,60,False
XCRX2GAFB,なる,WN5B7VKPU,きんぴられんこん,15,59,23243000,10,10,10,10,10,10,10,10,80,60,False
6X3LMM5NH,ズライカ,X7C21B7H7,泥,15,59,23243000,10,10,10,10,10,10,10,10,80,60,False
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,15,61,23238000,10,10,10,10,10,10,10,10,80,60,False
CL0CDYUYY,かなちゃん,PBRDPWEY1,村村会,15,62,23218000,10,10,10,10,10,10,10,10,80,60,False
8GYTX89XA,ぶーけ,PBRDPWEY1,村村会,15,63,23190000,10,10,10,10,10,10,10,10,80,60,False
TW9L2LKS7,パワッチョ,YE7CX8RNP,蓮ノ大三十角ex,15,64,23186000,9,9,9,9,9,10,10,10,75,55,False
1FREY7CCF,ぱむぱむ,HE0GK3EPE,瑞蓮プロカ倶楽部,15,65,23174000,10,10,10,10,10,10,10,10,80,60,False
U7NEBV4KH,こーど,49AMYCXCD,ルドベキア,15,66,23137000,10,10,10,10,10,10,10,10,80,60,False
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,15,67,23095000,10,10,10,10,10,10,10,10,80,60,False
W6KGEJ697,まだまだお,GXR6C85BT,花帆ちゃん親衛隊,8,68,23091000,10,10,10,10,10,10,10,10,80,60,False
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,69,23074000,9,10,9,10,9,10,10,10,77,57,False
XB2VHAJYV,まさお,GMEF2K8DL,花咲く泥も好き²,4,70,23041000,10,10,10,10,10,10,10,10,80,60,False
JC33CNHML,かすかす,PBRDPWEY1,村村会,15,71,23039000,10,10,10,10,10,10,10,10,80,60,False
C7IMXOP79,ナーガ,RWARTHA1M,乙宗梢大好き部,6,72,22939000,10,10,10,10,10,10,10,10,80,60,False
VGWT7LCX7,ZUC,CX967RTGY,おんゆあさーくる,12,73,22891000,10,10,10,10,10,10,10,10,80,60,False
NLNKEMVRB,なのはな,0UT59MJ8U,かほすこ同好会,13,74,22814000,8,10,9,7,8,10,10,10,72,52,False
7VE9T0CUP,花びら好き好き君,PBRDPWEY1,村村会,14,75,22810000,10,10,10,10,10,10,10,10,80,60,False
KY1DYH45V,ate_san,B5V2LNN43,WMW,15,76,22804000,10,10,10,10,10,10,10,10,80,60,False
RRW2O1DH8,ふかひれ,49AMYCXCD,ルドベキア,15,77,22788000,10,10,10,10,10,10,10,10,80,60,False
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,15,78,22733750,10,10,10,10,10,10,10,10,80,60,False
M30MWLT24,ゆあゆあ,05KN1RR3U,さやかほ花卉園,15,79,22720000,10,10,10,10,10,10,10,10,80,60,False
4W6BIX284,リリィ♡,FK5MUK0ET,くる♡すきクラブ,15,80,22709000,10,10,10,10,10,10,10,10,80,60,False
P4ZNDWHDA,どんき,GXR6C85BT,花帆ちゃん親衛隊,15,81,22708000,10,10,10,10,10,10,10,10,80,60,False
2WT4NHVZ5,のぞのぞみん,11FB0EDDT,スクステ同好会,15,82,22665000,10,10,10,10,10,10,10,10,80,60,False
S1JO65QZU,すと。,PBRDPWEY1,村村会,9,83,22531000,10,10,10,10,9,10,9,9,77,59,False
EMFP5HG3T,さりっく,GXR6C85BT,花帆ちゃん親衛隊,15,84,22530000,10,10,10,10,10,10,10,10,80,60,False
LEEU9JZFJ,きりんちゃん,RWARTHA1M,乙宗梢大好き部,15,85,22506000,10,10,10,10,10,10,10,9,79,60,False
J5GI3NA6M,林檎林檎アップル,GXR6C85BT,花帆ちゃん親衛隊,15,86,22495000,10,10,10,10,10,10,10,10,80,60,False
24M5TJDPS,わるつ,0TKFF5EG3,サークル名募集中,15,87,22489000,10,10,10,10,10,10,10,10,80,60,False
JVDRVFFBP,たなばた野郎,EYN9H9N16,蓮すきすきクラブ,15,88,22413000,7,10,7,6,6,10,10,10,66,46,False
4YTEQDE04,まんまる,B2KV0EVPD,蓮ちゅきクラブ,15,89,22407000,10,10,10,10,10,10,10,10,80,60,False
02DY8MLAP,蓮き,YFADYJVW4,FPS好きクラブ,15,90,22405000,10,10,10,10,10,10,10,10,80,60,False
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,8,91,22388000,10,10,9,9,10,10,10,10,78,58,False
KN3FIHXL7,トミィ,RFYKY8DCD,LA.LA.LA,10,92,22374000,10,10,10,10,10,10,10,10,80,60,False
NJ5M5IZWU,まき,M5LHG6R4T,乙宗動物園,15,93,22267000,10,10,10,10,10,10,10,10,80,60,False
IMAK5NFHF,よもぎ,YE7CX8RNP,蓮ノ大三十角ex,15,94,22245000,10,10,10,10,10,10,10,10,80,60,False
BJ2YEFM93,テンババア,EYN9H9N16,蓮すきすきクラブ,15,95,22239000,9,10,8,10,8,10,8,10,73,55,False
NY9X4SWNC,くりマロン,11FB0EDDT,スクステ同好会,15,96,22211000,10,10,10,10,10,10,10,10,80,60,False
UA5OC8495,zth,NC2YT2V28,蓮之愛同予者何人,15,97,22204000,10,10,9,10,9,10,10,10,78,58,False
