player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,结算前A分数,结算前A rank,结算前B分数,结算前B rank,结算前C分数,结算前C rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级,104季度等级
L8VJOGDKM,まる,VW65MCVF8,スリスリーズ,15,1,17910000,4.73333E+14,1,4.4574E+14,1,5.94341E+14,7,10,10,10,10,10,10,10,10,80,60
6NJM4GUG6,Sea,VW65MCVF8,スリスリーズ,9,2,17660000,4.60101E+14,3,4.32922E+14,2,5.45294E+14,16,10,10,10,10,10,10,10,10,80,60
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,3,17640000,4.60988E+14,2,4.20866E+14,7,5.87821E+14,8,10,10,10,10,10,10,10,10,80,60
EQOU1ZZS7,葵,,,15,4,17565000,4.51948E+14,6,4.31477E+14,3,5.40435E+14,18,10,10,10,10,10,10,10,10,80,60
D0RVYCT5J,mono,,,12,5,17510000,4.51507E+14,7,4.1915E+14,9,6.01345E+14,6,10,10,10,10,10,10,10,10,80,60
R3YC2XYYZ,秋,,,15,6,17490000,4.41283E+14,13,4.25344E+14,4,5.62225E+14,11,10,10,10,10,10,10,10,10,80,60
A172AA7DD,にしん,EYN9H9N16,蓮すきすきクラブ,9,7,17410000,0,0,4.13377E+14,10,6.09758E+14,4,10,10,10,10,10,10,10,10,80,60
HVA8EZJWM,鍋,YCTM6RYDP,金沢おでん同好会,15,8,17300000,4.43693E+14,10,4.11438E+14,11,5.38607E+14,19,10,10,10,10,10,10,10,10,80,60
ZYAP6N76H,ぬわぁんでよぉ,,,15,8,17300000,4.40101E+14,15,3.88125E+14,26,0,0,10,10,10,10,10,10,10,10,80,60
CZKJL4VOV,リリエンフェル党,M5LHG6R4T,乙宗動物園,15,10,17240000,4.28848E+14,20,4.23053E+14,6,4.92332E+14,40,10,10,10,10,10,10,10,10,80,60
CAH984HAW,タピエンル,VW65MCVF8,スリスリーズ,15,11,17215000,3.71125E+14,133,3.81068E+14,30,6.62335E+14,2,10,10,10,10,10,10,10,10,80,60
RV0TDDA7D,ブリてっか,EYN9H9N16,蓮すきすきクラブ,15,12,17180000,4.2461E+14,24,4.09366E+14,13,4.99698E+14,33,10,10,10,10,10,10,10,10,80,60
9L52YPRA1,ハミングバード,EYN9H9N16,蓮すきすきクラブ,7,13,17145000,4.50281E+14,8,4.03076E+14,16,0,0,10,10,10,10,10,10,10,10,80,60
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,14,17045000,4.12046E+14,41,3.97362E+14,18,5.46934E+14,15,10,10,10,10,10,10,10,10,80,60
ME00V6X4B,オラトニス,PBRDPWEY1,村村会,15,15,17035000,4.2019E+14,29,4.23786E+14,5,4.90145E+14,43,10,10,10,10,10,10,10,10,80,60
