player_id,player_name,search_guild_key,guild_name,DR数量,rank,point, 结算前A分数 , 结算前A rank , 结算前B分数 , 结算前B rank , 结算前C分数 , 结算前C rank ,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级,104季度等级
L8VJOGDKM,まる,VW65MCVF8,スリスリーズ,15,1,26830000," 509,132,292,371,246 ", 1 ," 486,025,200,928,782 ", 1 ," 641,696,420,988,500 ", 9 ,10,10,10,10,10,10,10,10,80,60
D0RVYCT5J,mono,,,12,2,26380000," 508,959,523,910,782 ", 2 ," 469,663,918,205,156 ", 6 ," 653,322,176,579,572 ", 8 ,10,10,10,10,10,10,10,10,80,60
6NJM4GUG6,Sea,VW65MCVF8,スリスリーズ,9,3,26370000," 495,608,422,691,661 ", 11 ," 466,233,747,883,047 ", 8 ," 603,443,039,138,215 ", 15 ,10,10,10,10,10,10,10,10,80,60
EQOU1ZZS7,葵,,,15,4,26300000," 496,687,086,230,785 ", 9 ," 481,233,734,458,534 ", 2 ," 569,942,087,894,850 ", 26 ,10,10,10,10,10,10,10,10,80,60
R3YC2XYYZ,秋,,,15,5,26190000," 497,797,835,245,189 ", 8 ," 462,303,745,673,372 ", 11 ," 601,036,948,655,004 ", 17 ,10,10,10,10,10,10,10,10,80,60
A172AA7DD,にしん,EYN9H9N16,蓮すきすきクラブ,9,6,26170000," 495,885,676,842,742 ", 10 ," 458,875,740,433,506 ", 15 ," 674,102,152,042,065 ", 4 ,10,10,10,10,10,10,10,10,80,60
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,15,7,26095000," 437,436,844,855,190 ", 68 ," 460,449,468,485,432 ", 13 ," 671,620,877,098,871 ", 6 ,10,10,10,10,10,10,10,10,80,60
ZYAP6N76H,ぬわぁんでよぉ,,,15,8,25885000," 479,237,718,293,593 ", 24 ," 424,427,310,825,663 ", 33 ," 672,294,722,532,124 ", 5 ,10,10,10,10,10,10,10,10,80,60
HVA8EZJWM,鍋,YCTM6RYDP,金沢おでん同好会,15,9,25870000," 485,557,862,761,590 ", 17 ," 445,347,588,689,379 ", 21 ," 583,186,702,229,573 ", 21 ,10,10,10,10,10,10,10,10,80,60
CAH984HAW,タピエンル,VW65MCVF8,スリスリーズ,15,10,25835000," 467,893,814,137,357 ", 34 ," 448,666,161,460,601 ", 20 ," 690,368,861,693,610 ", 3 ,10,10,10,10,10,10,10,10,80,60
CZKJL4VOV,リリエンフェル党,M5LHG6R4T,乙宗動物園,15,11,25800000," 485,342,943,166,158 ", 18 ," 479,894,626,322,180 ", 3 ," 532,810,035,142,153 ", 48 ,10,10,10,10,10,10,10,10,80,60
9L52YPRA1,ハミングバード,EYN9H9N16,蓮すきすきクラブ,7,12,25770000," 501,582,039,443,493 ", 7 ," 471,555,742,619,254 ", 5 ," 534,294,758,578,483 ", 46 ,10,10,10,10,10,10,10,10,80,60
ME00V6X4B,オラトニス,PBRDPWEY1,村村会,15,13,25665000," 489,665,837,974,944 ", 15 ," 476,121,952,176,720 ", 4 ," 550,490,854,600,776 ", 35 ,10,10,10,10,10,10,10,10,80,60
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,14,25640000," 477,439,537,310,916 ", 26 ," 459,626,063,294,920 ", 14 ," 605,919,923,017,155 ", 14 ,10,10,10,10,10,10,10,10,80,60
UA5OC8495,zth,NC2YT2V28,蓮之愛同予者何人,15,15,25635000," 481,736,173,779,348 ", 21 ," 451,645,263,003,999 ", 18 ," 738,017,449,945,986 ", 1 ,10,10,10,10,10,10,10,10,80,60
RV0TDDA7D,ブリてっか,EYN9H9N16,蓮すきすきクラブ,15,16,25600000," 468,214,183,651,104 ", 33 ," 463,035,743,250,896 ", 10 ," 534,136,177,587,423 ", 47 ,10,10,10,10,10,10,10,10,80,60
U1IQYBNI5,通りすがりの人,49AMYCXCD,ルドベキア,12,17,25430000," 479,458,058,581,498 ", 22 ," 461,599,157,777,436 ", 12 ," 577,903,267,209,656 ", 24 ,10,10,10,10,10,10,10,10,80,60
42J4J5OSG,ハラシヨ,M5LHG6R4T,乙宗動物園,15,18,25315000," 484,739,353,273,235 ", 19 ," 401,387,086,927,465 ", 44 ," 582,202,073,147,950 ", 23 ,10,10,10,10,10,10,10,10,80,60
X0N1L475X,ぼた餅,PBRDPWEY1,村村会,15,19,25290000," 470,025,737,405,168 ", 31 ," 468,538,299,577,329 ", 7 ," 546,847,110,432,566 ", 39 ,10,10,10,10,10,10,10,10,80,60
70NE2637U,りふいっと,49AMYCXCD,ルドベキア,8,20,25215000," 453,790,483,436,202 ", 44 ," 435,284,319,254,209 ", 24 ," 543,868,729,754,511 ", 41 ,10,10,10,10,10,10,10,10,80,60
