player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,结算前A分数,结算前A rank,结算前B分数,结算前B rank,结算前C分数,结算前C rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级,104季度等级
R3YC2XYYZ,秋,9WDMCJNFX,雨と風と太陽と,15,1,8805000,490251883290080,1,450375852484381,3,620229590735501,25,10,10,10,10,10,10,10,10,80,60
D0RVYCT5J,mono,9WDMCJNFX,雨と風と太陽と,12,2,8800000,480969840478981,3,421899620099450,26,663132909177125,9,10,10,10,10,10,10,10,10,80,60
JVDRVFFBP,サマポケ放送中,9WDMCJNFX,雨と風と太陽と,15,3,8770000,476793660143921,7,441246899288950,6,649966082012253,14,10,10,10,10,10,10,10,10,80,60
HVA8EZJWM,鍋,9WDMCJNFX,雨と風と太陽と,15,4,8760000,473324820341829,10,437997644074972,9,666415459683860,7,10,10,10,10,10,10,10,10,80,60
6NJM4GUG6,Sea,M5LHG6R4T,村村動物園,9,5,8705000,464401638403600,16,464613888322588,1,621383385576417,24,10,10,10,10,10,10,10,10,80,60
UA5OC8495,zth,9WDMCJNFX,雨と風と太陽と,15,6,8690000,449618620996920,31,434857478481143,10,0,0,10,10,10,10,10,10,10,10,80,60
A172AA7DD,にしん,9WDMCJNFX,雨と風と太陽と,9,7,8675000,483223300024022,2,0,0,631199652499519,20,10,10,10,10,10,10,10,10,80,60
BJ2YEFM93,テンババア,9WDMCJNFX,雨と風と太陽と,15,8,8620000,469727972312449,12,450998766199963,2,580269982520640,42,10,10,10,10,10,10,10,10,80,60
TW9L2LKS7,パワッチョ,9WDMCJNFX,雨と風と太陽と,15,9,8610000,471595859472704,11,431306904923006,14,627613525169116,23,10,10,10,10,10,10,10,10,80,60
QTHXHSE6U,虹,9WDMCJNFX,雨と風と太陽と,15,10,8600000,457486398333305,21,411085844060973,36,754151406867682,2,10,10,10,10,10,10,10,10,80,60
L8VJOGDKM,まる,9WDMCJNFX,雨と風と太陽と,15,11,8590000,453429306815349,28,422014881912959,25,719074434649634,4,10,10,10,10,10,10,10,10,80,60
9L52YPRA1,ハミングバード,9WDMCJNFX,雨と風と太陽と,7,12,8585000,475074326723215,8,428731400671569,15,593071013855150,33,10,10,10,10,10,10,10,10,80,60
IZUFEEX2U,アルメ,9WDMCJNFX,雨と風と太陽と,15,12,8585000,477231151570843,6,441895892620402,5,566739404696520,54,10,10,10,10,10,10,10,10,80,60
HU55NKXPK,君と私の歌。,9WDMCJNFX,雨と風と太陽と,15,14,8565000,461963834211493,17,408170498233749,39,668195082142896,6,10,10,10,10,10,10,10,10,80,60
42J4J5OSG,ハラシヨ,M5LHG6R4T,村村動物園,15,15,8555000,452831880440967,29,440687757122868,7,604093718515442,29,10,10,10,10,10,10,10,10,80,60
GRN5C49P3,えーるん,9WDMCJNFX,雨と風と太陽と,15,16,8550000,456591059507884,23,401289204652806,42,733281252442425,3,10,10,10,10,10,10,10,10,80,60
1Y0XFNNDJ,トリセツ,9WDMCJNFX,雨と風と太陽と,15,16,8550000,480000045924131,4,415319907615635,31,594558128315326,32,10,10,10,10,10,10,10,10,80,60
8EB0GXWX1,みむ。,EYN9H9N16,蓮すきすきクラブ,4,18,8545000,455802291294919,25,426206500208732,19,644068762415279,17,10,10,10,10,10,10,10,10,80,60
WL6FFE9FY,もょもと,9WDMCJNFX,雨と風と太陽と,15,19,8540000,461660718454247,18,428691635987042,17,610242564185425,27,10,10,10,10,10,10,10,10,80,60
