player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级,104季度等级
D0RVYCT5J,MONO,9WDMCJNFX,雨と風と太陽と,12,1,44280000,10,10,10,10,10,10,10,10,80,60
L8VJOGDKM,まる,9WDMCJNFX,雨と風と太陽と,15,2,44015000,10,10,10,10,10,10,10,10,80,60
6NJM4GUG6,Sea,M5LHG6R4T,村村動物園,9,3,43630000,10,10,10,10,10,10,10,10,80,60
HVA8EZJWM,鍋,9WDMCJNFX,雨と風と太陽と,15,4,43590000,10,10,10,10,10,10,10,10,80,60
JVDRVFFBP,たなばた野郎,9WDMCJNFX,雨と風と太陽と,15,5,43560000,10,10,10,10,10,10,10,10,80,60
ME00V6X4B,オラトニス,M5LHG6R4T,村村動物園,15,6,42980000,10,10,10,10,10,10,10,10,80,60
R3YC2XYYZ,秋,9WDMCJNFX,雨と風と太陽と,15,7,42920000,10,10,10,10,10,10,10,10,80,60
A172AA7DD,にしん,9WDMCJNFX,雨と風と太陽と,9,8,42915000,10,10,10,10,10,10,10,10,80,60
CAH984HAW,be proud,M5LHG6R4T,村村動物園,15,9,42845000,10,10,10,10,10,10,10,10,80,60
8EB0GXWX1,みむ。,EYN9H9N16,蓮すきすきクラブ,4,10,42760000,10,10,10,10,10,10,10,10,80,60
UA5OC8495,zth,9WDMCJNFX,雨と風と太陽と,15,11,42675000,10,10,10,10,10,10,10,10,80,60
7604CH5KV,hiro,M5LHG6R4T,村村動物園,15,12,42620000,10,10,10,10,10,10,10,10,80,60
8XP3JM3HY,ハヤシモリ,M5LHG6R4T,村村動物園,13,13,42560000,10,10,10,10,10,10,10,10,80,60
GRN5C49P3,えーるん,9WDMCJNFX,雨と風と太陽と,15,14,42525000,10,10,10,10,10,10,10,10,80,60
RV0TDDA7D,ブリてっか,9WDMCJNFX,雨と風と太陽と,15,15,42470000,10,10,10,10,10,10,10,10,80,60
WL6FFE9FY,ﾁｭｹの点描の唄,9WDMCJNFX,雨と風と太陽と,15,16,42440000,10,10,10,10,10,10,10,10,80,60
WCN6J32TG,しみちゃん,9WDMCJNFX,雨と風と太陽と,15,17,42350000,10,10,10,10,10,10,10,10,80,60
ZYAP6N76H,ぬわぁんでよぉ,9WDMCJNFX,雨と風と太陽と,15,18,42340000,10,10,10,10,10,10,10,10,80,60
QTHXHSE6U,総たい,9WDMCJNFX,雨と風と太陽と,15,19,42282000,10,10,10,10,10,10,10,10,80,60
9L52YPRA1,ハミングバード,9WDMCJNFX,雨と風と太陽と,7,20,42275000,10,10,10,10,10,10,10,10,80,60
NWUFRAHLN,じゅんじゅん,M5LHG6R4T,村村動物園,12,21,42222000,10,10,10,10,10,10,10,10,80,60
