player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,A分数,A rank,B分数,B rank,C分数,C rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级,104季度等级
D0RVYCT5J,MONO,9WDMCJNFX,雨と風と太陽と,12,1,44290000,646880542549158.0,9.0,627684994861297.0,2.0,960593858835366.0,10.0,10,10,10,10,10,10,10,10,80,60
L8VJOGDKM,まる,9WDMCJNFX,雨と風と太陽と,15,2,44015000,651879572851081.0,3.0,624848282943262.0,5.0,991669417495660.0,6.0,10,10,10,10,10,10,10,10,80,60
6NJM4GUG6,Sea,M5LHG6R4T,村村動物園,9,3,43630000,653281901401569.0,2.0,625830376114435.0,4.0,830848159123358.0,40.0,10,10,10,10,10,10,10,10,80,60
HVA8EZJWM,鍋,9WDMCJNFX,雨と風と太陽と,15,4,43600000,650067911389678.0,5.0,627556893329707.0,3.0,896122617670403.0,21.0,10,10,10,10,10,10,10,10,80,60
JVDRVFFBP,たなばた野郎,9WDMCJNFX,雨と風と太陽と,15,5,43560000,640888669653022.0,23.0,623650479956403.0,7.0,863938381892897.0,25.0,10,10,10,10,10,10,10,10,80,60
ME00V6X4B,オラトニス,M5LHG6R4T,村村動物園,15,6,42980000,655344809014922.0,1.0,615291071823974.0,14.0,814003088823144.0,51.0,10,10,10,10,10,10,10,10,80,60
R3YC2XYYZ,秋,9WDMCJNFX,雨と風と太陽と,15,7,42920000,650887885875340.0,4.0,590338410015309.0,35.0,863475199928702.0,26.0,10,10,10,10,10,10,10,10,80,60
A172AA7DD,にしん,9WDMCJNFX,雨と風と太陽と,9,8,42915000,637186716133852.0,29.0,618939751369545.0,11.0,949685757582885.0,11.0,10,10,10,10,10,10,10,10,80,60
CAH984HAW,be proud,M5LHG6R4T,村村動物園,15,9,42845000,639983917300663.0,26.0,601062116400804.0,24.0,999496333655906.0,4.0,10,10,10,10,10,10,10,10,80,60
8EB0GXWX1,みむ。,EYN9H9N16,蓮すきすきクラブ,4,10,42760000,620122071010637.0,55.0,607039858866577.0,20.0,996107226362835.0,5.0,10,10,10,10,10,10,10,10,80,60
UA5OC8495,zth,9WDMCJNFX,雨と風と太陽と,15,11,42675000,621448420007608.0,53.0,603872700173108.0,22.0,1008453747316706.0,3.0,10,10,10,10,10,10,10,10,80,60
7604CH5KV,hiro,M5LHG6R4T,村村動物園,15,12,42620000,631918051835124.0,38.0,608495395202545.0,17.0,939358773713542.0,15.0,10,10,10,10,10,10,10,10,80,60
8XP3JM3HY,ハヤシモリ,M5LHG6R4T,村村動物園,13,13,42560000,634638040077835.0,34.0,614706757980705.0,15.0,881496627902834.0,23.0,10,10,10,10,10,10,10,10,80,60
GRN5C49P3,えーるん,9WDMCJNFX,雨と風と太陽と,15,14,42525000,625009035629120.0,46.0,600941406136711.0,25.0,973010701861161.0,8.0,10,10,10,10,10,10,10,10,80,60
WL6FFE9FY,ﾁｭｹの点描の唄,9WDMCJNFX,雨と風と太陽と,15,15,42440000,645173142148329.0,15.0,595932327730245.0,29.0,917642149850036.0,18.0,10,10,10,10,10,10,10,10,80,60
RV0TDDA7D,ブリてっか,9WDMCJNFX,雨と風と太陽と,15,16,42420000,646790082573302.0,10.0,614631910221777.0,16.0,824912292180634.0,43.0,10,10,10,10,10,10,10,10,80,60
WCN6J32TG,しみちゃん,9WDMCJNFX,雨と風と太陽と,15,17,42350000,642058820121588.0,20.0,585354453324962.0,42.0,909601034014199.0,19.0,10,10,10,10,10,10,10,10,80,60
