player_id,player_name,search_guild_key,guild_name,DR数量,rank,point, 结算前A分数 , 结算前A rank , 结算前B分数 , 结算前B rank , 结算前C分数 , 结算前C rank ,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
WL6FFE9FY,104期10話,PBRDPWEY1,村村会,16,1,17740000," 636,497,705,307,693 ", 5 ," 503,219,220,628,157 ", 9 ," 511,805,921,518,285 ", 4 ,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,PBRDPWEY1,村村会,15,2,17580000," 633,935,542,043,773 ", 11 ," 505,019,816,376,806 ", 5 ," 509,375,624,630,045 ", 8 ,10,10,10,10,10,10,10,10,80
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,16,3,17505000," 629,804,109,552,291 ", 26 ," 500,563,978,457,263 ", 13 ," 512,568,562,416,121 ", 2 ,10,10,10,10,10,10,10,10,80
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,4,17475000," 638,151,212,966,656 ", 3 ," 500,691,178,722,225 ", 12 ," 506,368,975,463,045 ", 19 ,10,10,10,10,10,10,10,10,80
RV0TDDA7D,ブリてっか,PBRDPWEY1,村村会,16,5,17460000," 633,674,499,413,913 ", 12 ," 501,488,465,887,535 ", 11 ," 506,661,592,074,712 ", 17 ,10,10,10,10,10,10,10,10,80
L8VJOGDKM,まる,M5LHG6R4T,乙宗動物園,16,6,17420000," 635,844,265,808,831 ", 6 ," 500,218,930,512,231 ", 14 ," 511,585,122,735,807 ", 5 ,10,10,10,10,10,10,10,10,80
ME00V6X4B,オラトニス,PBRDPWEY1,村村会,16,7,17415000," 632,725,908,709,134 ", 15 ," 503,544,913,588,053 ", 8 ," 511,959,847,495,911 ", 3 ,10,10,10,10,10,10,10,10,80
NLNKEMVRB,なのはな,RWARTHA1M,乙宗梢大好き部,13,8,17390000," 638,204,222,893,121 ", 2 ," 493,598,762,120,355 ", 36 ," 503,748,415,103,032 ", 30 ,10,10,10,10,10,10,10,10,80
IMAK5NFHF,よもぎ,YE7CX8RNP,蓮ノ大三十角ex,16,9,17360000," 637,315,767,980,862 ", 4 ," 502,266,542,015,755 ", 10 ," 507,497,083,207,069 ", 14 ,10,10,10,10,10,10,10,10,80
LP0BEDRF6,箱庭,YE7CX8RNP,蓮ノ大三十角ex,16,9,17360000," 630,302,159,501,670 ", 24 ," 499,998,844,245,921 ", 17 ," 509,171,600,022,347 ", 9 ,10,10,10,10,10,10,10,10,80
U1IQYBNI5,通りすがりの人,49AMYCXCD,ルドベキア,13,11,17355000," 640,360,504,285,502 ", 1 ," 494,566,335,324,978 ", 33 ," 506,152,228,430,664 ", 23 ,10,10,10,10,10,10,10,10,80
A172AA7DD,にしん,PBRDPWEY1,村村会,9,12,17300000," 629,354,370,672,020 ", 30 ," 506,384,686,667,638 ", 2 ," 508,125,823,575,877 ", 13 ,10,10,10,10,10,10,10,10,80
R3YC2XYYZ,秋,PBRDPWEY1,村村会,15,13,17125000," 631,605,698,630,765 ", 19 ," 499,312,179,747,463 ", 18 ," 505,371,812,449,721 ", 26 ,10,10,10,10,10,10,10,10,80
CW1IJ4VQU,ALOMA,YE7CX8RNP,蓮ノ大三十角ex,3,14,17095000," 627,900,454,168,367 ", 36 ," 496,193,039,832,077 ", 28 ," 509,041,002,412,404 ", 10 ,10,10,10,10,10,10,10,10,80
CZKJL4VOV,親戚プランタン,M5LHG6R4T,乙宗動物園,15,15,17075000," 634,076,205,871,544 ", 10 ," 495,240,062,375,552 ", 29 ," 499,078,386,422,070 ", 50 ,10,10,10,10,10,10,10,10,80
9L52YPRA1,ハミングバード,PBRDPWEY1,村村会,7,16,17000000," 634,531,304,348,046 ", 9 ," 500,013,086,827,036 ", 16 ," 502,195,599,844,032 ", 33 ,10,10,10,10,10,10,10,10,80
9NMP2LJU2,くぼっち,EYN9H9N16,蓮すきすきクラブ,15,17,16980000," 626,801,341,425,347 ", 41 ," 495,016,553,799,007 ", 30 ," 504,254,092,311,939 ", 27 ,10,10,10,10,10,10,10,10,80
ZYAP6N76H,ぬわぁんでよぉ,M5LHG6R4T,乙宗動物園,15,18,16945000," 619,079,635,920,826 ", 90 ," 504,135,249,756,067 ", 6 ," 505,696,849,740,833 ", 25 ,10,10,10,10,10,10,10,10,80
6NJM4GUG6,Sea,M5LHG6R4T,乙宗動物園,9,19,16915000," 623,723,140,628,852 ", 55 ," 505,187,049,165,706 ", 4 ," 500,750,306,960,841 ", 39 ,10,10,10,10,10,10,10,10,80
CAH984HAW,be proud,M5LHG6R4T,乙宗動物園,15,20,16905000," 620,821,839,591,512 ", 82 ," 497,719,023,741,714 ", 22 ," 506,710,843,975,963 ", 16 ,10,10,10,10,10,10,10,10,80
HU55NKXPK,たっち,EYN9H9N16,蓮すきすきクラブ,16,21,16875000," 630,695,704,438,188 ", 22 ," 503,553,539,863,728 ", 7 ," 510,406,018,240,759 ", 6 ,10,10,10,10,10,10,10,10,80
X0N1L475X,勇者部,PBRDPWEY1,村村会,15,22,16865000," 631,799,913,117,689 ", 17 ," 497,350,729,545,755 ", 25 ," 500,235,403,967,924 ", 44 ,10,10,10,10,10,10,10,10,80
NC6WJYFVX,でら,1BME38BCD,さすさやクラブ,15,23,16745000," 625,554,379,827,495 ", 46 ," 498,092,610,888,120 ", 19 ," 498,110,007,598,519 ", 54 ,10,10,10,10,10,10,10,10,80
Z4TLWEM1D,カポエラー,YE7CX8RNP,蓮ノ大三十角ex,12,23,16745000," 621,852,590,523,083 ", 72 ," 494,898,380,250,635 ", 31 ," 501,186,850,145,400 ", 38 ,10,10,10,10,10,10,10,10,80
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,16,25,16730000," 623,518,419,081,254 ", 57 ," 497,445,350,427,466 ", 24 ," 499,857,843,761,324 ", 46 ,10,10,10,10,10,10,10,10,80
8XP3JM3HY,ヴィクトワール,PBRDPWEY1,村村会,13,26,16710000," 627,830,577,430,667 ", 37 ," 489,655,683,181,527 ", 51 ," 498,145,208,523,867 ", 52 ,10,10,10,10,10,10,10,10,80
VGWT7LCX7,ZUC,PBRDPWEY1,村村会,15,26,16710000," 631,686,861,524,712 ", 18 ," 490,865,867,758,988 ", 46 ," 494,935,576,784,282 ", 68 ,10,10,10,10,10,10,10,10,80
TUHKRV0IW,ポン,EYN9H9N16,蓮すきすきクラブ,16,26,16710000," 622,775,467,299,808 ", 66 ," 497,686,112,964,282 ", 23 ," 501,893,620,610,811 ", 35 ,10,10,10,10,10,10,10,10,80
70NE2637U,花帆ｲﾝｽﾄｰﾙ,49AMYCXCD,ルドベキア,9,29,16660000," 628,750,973,476,507 ", 33 ," 481,061,401,002,859 ", 80 ," 504,235,557,190,963 ", 28 ,10,10,10,10,10,10,10,10,80
MHUB8095B,どらろー,25PMPEMG7,星見プロ,15,30,16650000," 631,877,145,388,082 ", 16 ," 500,178,647,651,688 ", 15 ," 499,743,599,985,881 ", 48 ,10,10,10,10,10,10,10,10,80
D0RVYCT5J,MONO,PBRDPWEY1,村村会,12,31,16566000," 599,650,319,076,914 ", 205 ," 506,017,920,126,022 ", 3 ," 509,456,094,281,207 ", 7 ,10,10,10,10,10,10,10,10,80
B424J17UB,ギンッカ,EYN9H9N16,蓮すきすきクラブ,16,32,16555000," 620,634,647,090,071 ", 84 ," 478,191,208,995,390 ", 87 ," 499,559,260,433,151 ", 49 ,10,10,10,10,10,10,10,10,80
TKLRD66RN,ジューンブレア,GXR6C85BT,花帆ちゃん親衛隊,15,33,16500000," 633,611,148,025,086 ", 14 ," 481,308,415,419,144 ", 79 ," 502,741,161,052,744 ", 32 ,10,10,10,10,10,10,10,10,80
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,34,16490000," 628,441,824,542,786 ", 35 ," 497,764,068,231,392 ", 21 ," 506,277,648,512,271 ", 21 ,10,10,10,10,10,10,10,10,80
RRW2O1DH8,ふかひれ,49AMYCXCD,ルドベキア,15,35,16470000," 621,589,651,476,632 ", 73 ," 493,227,580,772,757 ", 38 ," 506,346,526,167,212 ", 20 ,10,10,10,10,10,10,10,10,80
ZWGHFBK3S,DSsuzu,YCTM6RYDP,金沢おでん同好会,16,36,16375000," 630,838,051,980,249 ", 21 ," 494,709,928,039,083 ", 32 ," 500,567,554,162,587 ", 42 ,10,10,10,10,10,10,10,10,80
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,16,37,16355000," 625,054,971,599,047 ", 50 ," 490,362,783,716,211 ", 47 ," 506,213,053,755,052 ", 22 ,10,10,10,10,10,10,10,10,80
AJMEJX0KG,やっぱ天使！,EYN9H9N16,蓮すきすきクラブ,16,38,16315000," 625,405,425,447,383 ", 47 ," 482,384,404,613,892 ", 75 ," 506,919,994,317,625 ", 15 ,10,10,10,10,10,10,10,10,80
V6X4BPJ37,SHIRO,G59NGM0XA,シュリーレン,16,39,16312000," 607,356,006,792,914 ", 159 ," 494,376,346,128,592 ", 34 ," 512,991,132,057,119 ", 1 ,10,10,10,10,10,10,10,10,80
JC33CNHML,パソコンまる,PBRDPWEY1,村村会,16,40,16285000," 629,712,945,810,018 ", 27 ," 494,243,148,451,681 ", 35 ," 500,450,663,204,059 ", 43 ,10,10,10,10,10,10,10,10,80
PLE67URFB,DasserAN,M5LHG6R4T,乙宗動物園,13,40,16285000," 623,660,087,571,536 ", 56 ," 487,518,174,623,142 ", 55 ," 491,018,014,987,451 ", 88 ,10,10,10,10,10,10,10,10,80
7604CH5KV,ありがとう,FK5MUK0ET,こな♡すきクラブ,16,42,16179000," 574,299,751,090,534 ", 347 ," 506,406,751,228,243 ", 1 ," 508,389,062,305,876 ", 11 ,10,10,10,10,10,10,10,10,80
B6XUHLVUZ,ればにら,RFYKY8DCD,LA.LA.LA,16,43,16135000," 624,979,071,312,794 ", 51 ," 496,777,068,060,378 ", 27 ," 501,937,934,338,923 ", 34 ,10,10,10,10,10,10,10,10,80
