player_id,player_name,search_guild_key,guild_name,DR数量,rank, point ,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
WL6FFE9FY,104期11話,PBRDPWEY1,村村会,16,1," 26,535,000 ",10,10,10,10,10,10,10,10,80
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,2," 26,405,000 ",10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,PBRDPWEY1,村村会,15,3," 26,320,000 ",10,10,10,10,10,10,10,10,80
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,16,4," 26,255,000 ",10,10,10,10,10,10,10,10,80
NLNKEMVRB,なのはな,RWARTHA1M,乙宗梢大好き部,13,5," 26,075,000 ",10,10,10,10,10,10,10,10,80
RV0TDDA7D,ブリてっか,PBRDPWEY1,村村会,16,6," 26,070,000 ",10,10,10,10,10,10,10,10,80
LP0BEDRF6,箱庭,YE7CX8RNP,蓮ノ大三十角ex,16,7," 26,025,000 ",10,10,10,10,10,10,10,10,80
ME00V6X4B,オラトニス,PBRDPWEY1,村村会,16,8," 26,020,000 ",10,10,10,10,10,10,10,10,80
IMAK5NFHF,よもぎ,YE7CX8RNP,蓮ノ大三十角ex,16,9," 26,015,000 ",10,10,10,10,10,10,10,10,80
L8VJOGDKM,まる,M5LHG6R4T,乙宗動物園,16,10," 26,010,000 ",10,10,10,10,10,10,10,10,80
U1IQYBNI5,通りすがりの人,49AMYCXCD,ルドベキア,13,11," 25,795,000 ",10,10,10,10,10,10,10,10,80
R3YC2XYYZ,秋,PBRDPWEY1,村村会,15,12," 25,785,000 ",10,10,10,10,10,10,10,10,80
A172AA7DD,にしん,PBRDPWEY1,村村会,9,13," 25,730,000 ",10,10,10,10,10,10,10,10,80
9L52YPRA1,ハミングバード,PBRDPWEY1,村村会,7,14," 25,670,000 ",10,10,10,10,10,10,10,10,80
HU55NKXPK,池田華菜,EYN9H9N16,蓮すきすきクラブ,16,15," 25,640,000 ",10,10,10,10,10,10,10,10,80
CW1IJ4VQU,ALOMA,YE7CX8RNP,蓮ノ大三十角ex,3,16," 25,635,000 ",10,10,10,10,10,10,10,10,80
CZKJL4VOV,親戚プランタン,M5LHG6R4T,乙宗動物園,15,17," 25,550,000 ",10,10,10,10,10,10,10,10,80
6NJM4GUG6,Sea,M5LHG6R4T,乙宗動物園,9,18," 25,460,000 ",10,10,10,10,10,10,10,10,80
VGWT7LCX7,ZUC,PBRDPWEY1,村村会,15,19," 25,355,000 ",10,10,10,10,10,10,10,10,80
70NE2637U,花帆ｲﾝｽﾄｰﾙ,49AMYCXCD,ルドベキア,9,20," 25,260,000 ",10,10,10,10,10,10,10,10,80
9NMP2LJU2,くぼっち,EYN9H9N16,蓮すきすきクラブ,15,21," 25,255,000 ",10,10,10,10,10,10,10,10,80
