player_id,player_name,search_guild_key,guild_name,DR数量,rank,point, 结算前A分数 , 结算前A RANK , 结算前B分数 , 结算前B RANK , 结算前C分数 , 结算前C RANK ,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
A172AA7DD,にしん,PBRDPWEY1,村村会,9,1,8760000, - , - ," 536,897,748,364,663 ", 3 ," 523,114,326,165,710 ", 12 ,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,PBRDPWEY1,村村会,15,2,8695000," 634,950,970,161,398 ", 6 ," 504,913,562,292,990 ", 41 ," 516,533,129,143,420 ", 24 ,10,10,10,10,10,10,10,10,80
EQOU1ZZS7,葵,M5LHG6R4T,乙宗家執事連合会,16,3,8650000," 598,390,957,161,139 ", 38 ," 551,340,120,915,604 ", 2 ," 530,367,941,995,068 ", 10 ,10,10,10,10,10,10,10,10,80
IMAK5NFHF,よもぎ,YE7CX8RNP,蓮ノ大三十角ex,16,4,8620000," 596,148,436,859,509 ", 40 ," 533,163,010,667,191 ", 5 ," 533,672,048,291,553 ", 8 ,10,10,10,10,10,10,10,10,80
7RODEB74T,しよー,M5LHG6R4T,乙宗家執事連合会,16,5,8600000," 629,238,755,041,994 ", 15 ," 524,600,060,359,380 ", 8 ," 514,383,678,855,083 ", 27 ,10,10,10,10,10,10,10,10,80
RV0TDDA7D,ブリてっか,PBRDPWEY1,村村会,16,5,8600000," 579,719,403,366,694 ", 57 ," 510,606,743,841,268 ", 30 ," 510,675,777,338,622 ", 36 ,10,10,10,10,10,10,10,10,80
ISRNX35D4,KYB,M5LHG6R4T,乙宗家執事連合会,15,7,8565000," 634,877,506,731,981 ", 7 ," 514,492,491,597,865 ", 19 ," 512,831,381,245,208 ", 32 ,10,10,10,10,10,10,10,10,80
ME00V6X4B,オラトニス,PBRDPWEY1,村村会,16,7,8565000," 629,865,478,875,074 ", 13 , - , - ," 514,174,561,710,758 ", 28 ,10,10,10,10,10,10,10,10,80
NT480V79A,ゆざくら,PBRDPWEY1,村村会,16,9,8560000," 597,572,143,424,407 ", 39 ," 534,227,836,488,446 ", 4 ," 517,985,499,920,736 ", 18 ,10,10,10,10,10,10,10,10,80
WL6FFE9FY,もょもと,PBRDPWEY1,村村会,16,10,8555000," 630,590,934,485,762 ", 10 ," 526,851,613,061,755 ", 7 ," 507,344,995,721,346 ", 42 ,10,10,10,10,10,10,10,10,80
R3YC2XYYZ,秋,PBRDPWEY1,村村会,15,11,8545000, - , - ," 574,149,970,620,465 ", 1 ," 534,998,815,430,552 ", 6 ,10,10,10,10,10,10,10,10,80
7TAQGMS8W,ちかわさだよ,PBRDPWEY1,村村会,16,12,8540000," 620,645,452,824,387 ", 22 ," 513,446,059,290,157 ", 22 ," 521,064,713,545,684 ", 14 ,10,10,10,10,10,10,10,10,80
8XP3JM3HY,ヴィクトワール,PBRDPWEY1,村村会,13,13,8520000," 630,114,652,383,370 ", 12 ," 510,106,753,046,572 ", 31 ," 517,330,849,862,194 ", 20 ,10,10,10,10,10,10,10,10,80
C7IMXOP79,ナーガ,M5LHG6R4T,乙宗家執事連合会,6,14,8515000," 624,808,505,164,770 ", 17 ," 512,983,699,408,981 ", 23 ," 516,997,877,304,748 ", 23 ,10,10,10,10,10,10,10,10,80
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,15,8510000," 626,209,331,915,353 ", 16 , - , - ," 516,335,040,235,766 ", 25 ,10,10,10,10,10,10,10,10,80
70NE2637U,りふいっと,49AMYCXCD,ルドベキア,9,15,8510000," 631,465,047,487,906 ", 9 ," 517,086,998,519,692 ", 15 ," 508,385,647,134,035 ", 40 ,10,10,10,10,10,10,10,10,80
KXMPLAX04,ろーぱす,M5LHG6R4T,乙宗家執事連合会,16,17,8460000," 641,516,747,772,008 ", 4 ," 522,987,224,859,476 ", 9 ," 499,499,495,604,181 ", 60 ,10,10,10,10,10,10,10,10,80
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,18,8455000," 616,239,916,032,707 ", 25 ," 500,653,553,841,782 ", 54 ," 558,670,320,946,513 ", 3 ,10,10,10,10,10,10,10,10,80
NJ5M5IZWU,まき,M5LHG6R4T,乙宗家執事連合会,16,19,8420000," 620,206,245,503,619 ", 23 ," 505,821,496,693,543 ", 40 ," 517,793,979,741,826 ", 19 ,10,10,10,10,10,10,10,10,80
5T57VL8MF,YNGDシン,PBRDPWEY1,村村会,14,20,8395000," 604,346,698,668,937 ", 34 ," 506,625,594,012,846 ", 39 ," 513,894,807,506,568 ", 29 ,10,10,10,10,10,10,10,10,80
RND3BA6Q4,あゆ,49AMYCXCD,ルドベキア,15,21,8370000," 574,150,132,652,753 ", 60 ," 512,182,640,102,345 ", 26 ," 533,652,836,911,394 ", 9 ,10,10,10,10,10,10,10,10,80
PLE67URFB,DasserAN,M5LHG6R4T,乙宗家執事連合会,13,22,8335000," 629,389,603,375,779 ", 14 , - , - , - , - ,10,10,10,10,10,10,10,10,80
ODE064I6J,ちあき,M5LHG6R4T,乙宗家執事連合会,12,23,8325000," 568,911,713,418,992 ", 64 ," 512,690,844,418,320 ", 24 ," 522,222,213,059,867 ", 13 ,10,10,10,10,10,10,10,10,80
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,15,24,8315000," 544,768,069,368,541 ", 89 ," 514,001,781,083,118 ", 21 ," 565,569,101,105,392 ", 2 ,10,10,10,10,10,10,10,10,80
72CKW0EAA,にっぴー,PBRDPWEY1,村村会,12,25,8280000," 604,917,716,085,184 ", 32 ," 529,667,198,126,558 ", 6 ," 498,042,578,307,194 ", 65 ,10,10,10,10,10,10,10,10,80
NWUFRAHLN,じゅんじゅん,M5LHG6R4T,乙宗家執事連合会,12,26,8268000," 643,082,179,001,515 ", 3 ," 514,922,466,075,950 ", 17 , - , - ,10,10,10,10,10,10,10,10,80
J9C1NN8VB,CBCRR23,VW65MCVF8,スリスリーズ,16,27,8250000," 562,813,279,522,434 ", 68 ," 502,141,187,437,928 ", 50 ," 537,049,327,494,882 ", 5 ,10,10,10,10,10,10,10,10,80
7VE9T0CUP,デュランダル村長,PBRDPWEY1,村村会,16,28,8240000," 606,769,992,197,931 ", 29 ," 503,266,846,462,773 ", 46 , - , - ,10,10,10,10,10,10,10,10,80
6NJM4GUG6,Sea,M5LHG6R4T,乙宗家執事連合会,9,29,8225000," 614,539,477,703,722 ", 26 ," 521,236,439,487,257 ", 11 ," 495,733,047,658,284 ", 71 ,10,10,10,10,10,10,10,10,80
AFMBX6BPP,美鳩,PBRDPWEY1,村村会,13,29,8225000," 587,895,947,033,445 ", 48 ," 495,937,640,584,715 ", 68 ," 525,371,793,616,098 ", 11 ,10,10,10,10,10,10,10,10,80
