player_id,player_name,search_guild_key,guild_name,DR数量,rank, point , 结算前A分数 , 结算前A RANK , 结算前B分数 , 结算前B RANK , 结算前C分数 , 结算前C RANK ,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
R3YC2XYYZ,秋,PBRDPWEY1,村村会,15,1," 26,415,000 "," 778,166,584,376,768 ", 8 ," 683,307,506,188,265 ", 2 ," 719,235,252,902,910 ", 1 ,10,10,10,10,10,10,10,10,80
ISRNX35D4,KYB,M5LHG6R4T,乙宗家執事連合会,15,2," 26,085,000 "," 781,831,780,336,386 ", 1 ," 657,783,640,258,675 ", 7 ," 703,059,542,385,933 ", 4 ,10,10,10,10,10,10,10,10,80
EQOU1ZZS7,葵,M5LHG6R4T,乙宗家執事連合会,16,3," 26,010,000 "," 769,401,427,932,171 ", 18 ," 655,766,564,035,487 ", 9 ," 665,056,611,849,168 ", 35 ,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,PBRDPWEY1,村村会,15,4," 25,935,000 "," 769,291,835,252,432 ", 19 ," 642,833,726,722,582 ", 39 ," 713,021,000,492,646 ", 2 ,10,10,10,10,10,10,10,10,80
RV0TDDA7D,ブリてっか,PBRDPWEY1,村村会,16,5," 25,920,000 "," 778,226,273,140,669 ", 7 ," 648,297,835,979,855 ", 26 ," 672,254,454,853,150 ", 25 ,10,10,10,10,10,10,10,10,80
ME00V6X4B,オラトニス,PBRDPWEY1,村村会,16,6," 25,860,000 "," 772,564,008,999,584 ", 14 ," 636,090,782,737,844 ", 49 ," 690,177,220,354,832 ", 13 ,10,10,10,10,10,10,10,10,80
7TAQGMS8W,ちかわさだよ,PBRDPWEY1,村村会,16,7," 25,785,000 "," 769,213,214,148,637 ", 20 ," 650,584,165,054,816 ", 20 ," 692,549,095,801,290 ", 11 ,10,10,10,10,10,10,10,10,80
D0RVYCT5J,MONO,PBRDPWEY1,村村会,12,8," 25,713,000 "," 781,678,076,303,503 ", 2 ," 652,591,900,035,986 ", 16 ," 694,005,661,175,336 ", 10 ,10,10,10,10,10,10,10,10,80
7RODEB74T,しよー,M5LHG6R4T,乙宗家執事連合会,16,9," 25,640,000 "," 779,236,495,012,477 ", 3 ," 657,255,475,246,088 ", 8 ," 626,952,665,899,350 ", 67 ,10,10,10,10,10,10,10,10,80
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,10," 25,535,000 "," 765,370,635,268,182 ", 25 ," 633,545,393,181,223 ", 54 ," 687,426,773,796,237 ", 16 ,10,10,10,10,10,10,10,10,80
8XP3JM3HY,ヴィクトワール,PBRDPWEY1,村村会,13,11," 25,435,000 "," 751,773,172,565,041 ", 36 ," 637,942,045,018,548 ", 47 ," 674,842,140,367,982 ", 23 ,10,10,10,10,10,10,10,10,80
A172AA7DD,にしん,PBRDPWEY1,村村会,9,12," 25,415,000 "," 729,168,473,783,618 ", 58 ," 642,471,995,171,433 ", 40 ," 646,929,194,842,666 ", 50 ,10,10,10,10,10,10,10,10,80
WL6FFE9FY,もょもと,PBRDPWEY1,村村会,16,13," 25,405,000 "," 770,266,144,639,882 ", 17 ," 652,760,065,538,270 ", 15 ," 689,807,352,546,348 ", 14 ,10,10,10,10,10,10,10,10,80
7604CH5KV,つるぎ,PBRDPWEY1,村村会,16,14," 25,343,000 "," 770,805,865,777,257 ", 15 ," 648,650,451,937,854 ", 25 ," 697,987,926,805,811 ", 7 ,10,10,10,10,10,10,10,10,80
