player_id,player_name,search_guild_key,guild_name,DR数量,rank,point,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
R3YC2XYYZ,秋,PBRDPWEY1,村村会,15,1,35275000,10,10,10,10,10,10,10,10,80
ISRNX35D4,KYB,M5LHG6R4T,乙宗家執事連合会,15,2,34835000,10,10,10,10,10,10,10,10,80
EQOU1ZZS7,葵,M5LHG6R4T,乙宗家執事連合会,16,3,34775000,10,10,10,10,10,10,10,10,80
RV0TDDA7D,ブリてっか,PBRDPWEY1,村村会,16,4,34630000,10,10,10,10,10,10,10,10,80
ME00V6X4B,オラトニス,PBRDPWEY1,村村会,16,5,34520000,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,PBRDPWEY1,村村会,15,6,34500000,10,10,10,10,10,10,10,10,80
7RODEB74T,しよー,M5LHG6R4T,乙宗家執事連合会,16,7,34305000,10,10,10,10,10,10,10,10,80
7TAQGMS8W,ちかわさだよ,PBRDPWEY1,村村会,16,8,34260000,10,10,10,10,10,10,10,10,80
IMAK5NFHF,よもぎ,YE7CX8RNP,蓮ノ大三十角ex,16,9,33950000,10,10,10,10,10,10,10,10,80
7604CH5KV,つるぎ,PBRDPWEY1,村村会,16,10,33923000,10,10,10,10,10,10,10,10,80
D0RVYCT5J,MONO,PBRDPWEY1,村村会,12,11,33903000,10,10,10,10,10,10,10,10,80
BJI9H7CC6,エイジ,PBRDPWEY1,村村会,12,12,33875000,10,10,10,10,10,10,10,10,80
X0N1L475X,ぼた餅,PBRDPWEY1,村村会,15,13,33870000,10,10,10,10,10,10,10,10,80
L8VJOGDKM,まる,M5LHG6R4T,乙宗家執事連合会,16,14,33845000,10,10,10,10,10,10,10,10,80
8XP3JM3HY,ヴィクトワール,PBRDPWEY1,村村会,13,15,33840000,10,10,10,10,10,10,10,10,80
6NJM4GUG6,Sea,M5LHG6R4T,乙宗家執事連合会,9,16,33815000,10,10,10,10,10,10,10,10,80
WL6FFE9FY,もょもと,PBRDPWEY1,村村会,16,17,33810000,10,10,10,10,10,10,10,10,80
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,18,33770000,10,10,10,10,10,10,10,10,80
NWUFRAHLN,じゅんじゅん,M5LHG6R4T,乙宗家執事連合会,12,19,33763000,10,10,10,10,10,10,10,10,80
A172AA7DD,にしん,PBRDPWEY1,村村会,9,20,33725000,10,10,10,10,10,10,10,10,80
9L52YPRA1,ハミングバード,PBRDPWEY1,村村会,7,21,33700000,10,10,10,10,10,10,10,10,80
KXMPLAX04,ろーぱす,M5LHG6R4T,乙宗家執事連合会,16,22,33665000,10,10,10,10,10,10,10,10,80
VGWT7LCX7,ZUC,PBRDPWEY1,村村会,15,23,33585000,10,10,10,10,10,10,10,10,80
JC33CNHML,かすかす,PBRDPWEY1,村村会,16,24,33490000,10,10,10,10,10,10,10,10,80
NT480V79A,ゆざくら,PBRDPWEY1,村村会,16,25,33465000,10,10,10,10,10,10,10,10,80
5T57VL8MF,YNGDシン,PBRDPWEY1,村村会,14,26,33420000,10,10,10,10,10,10,10,10,80
C7IMXOP79,ナーガ,M5LHG6R4T,乙宗家執事連合会,6,27,33345000,10,10,10,10,10,10,10,10,80
7VE9T0CUP,チェスゴリ君,PBRDPWEY1,村村会,16,28,33335000,10,10,10,10,10,10,10,10,80
JLADG5GPX,うぇすとれ,PBRDPWEY1,村村会,16,29,33330000,10,10,10,10,10,10,10,10,80
1P6AUGHX2,もじゃもじゃ,M5LHG6R4T,乙宗家執事連合会,15,30,33251000,10,10,10,10,10,10,10,10,80
NLNKEMVRB,なのはな,M5LHG6R4T,乙宗家執事連合会,13,31,33177000,10,10,10,10,10,10,10,10,80
CAH984HAW,be proud,M5LHG6R4T,乙宗家執事連合会,15,32,33176000,10,10,10,10,10,10,10,10,80
ZYAP6N76H,ぬわぁんでよぉ,M5LHG6R4T,乙宗家執事連合会,15,33,32995000,10,10,10,10,10,10,10,10,80
0Y3QCF38L,乙宗ヒゲマン,M5LHG6R4T,乙宗家執事連合会,8,34,32968000,10,10,10,10,10,10,10,10,80
PLE67URFB,DasserAN,M5LHG6R4T,乙宗家執事連合会,13,35,32915000,10,10,10,10,10,10,10,10,80
C9325WMEN,落馬バトレックス,PBRDPWEY1,村村会,14,36,32725000,10,10,10,10,10,10,10,10,80
70NE2637U,りふいっと,49AMYCXCD,ルドベキア,9,37,32705000,10,10,10,10,10,10,10,10,80
AFMBX6BPP,(^O^),PBRDPWEY1,村村会,13,38,32635000,10,10,10,10,10,10,10,10,80
FM1GCQSEE,Goona,M5LHG6R4T,乙宗家執事連合会,13,39,32632000,10,10,10,10,10,10,10,10,80
7PLTVA4SD,どんきちうどん,M5LHG6R4T,乙宗家執事連合会,4,40,32629000,10,10,10,10,10,10,10,10,80
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,15,41,32613000,10,10,10,10,10,10,10,10,80
CL0CDYUYY,かなちゃん,PBRDPWEY1,村村会,16,42,32505000,10,10,10,10,10,10,10,10,80
W4E0R6NA9,そらをとぶ,0TKFF5EG3,サークル名募集中,16,43,32475000,10,10,10,10,10,10,10,10,80
L6HBG7C3L,あまらく@,0TKFF5EG3,サークル名募集中,16,44,32470000,10,10,10,10,10,10,10,10,80
LP0BEDRF6,四ノ宮,YE7CX8RNP,蓮ノ大三十角ex,16,45,32420000,10,10,10,10,10,10,10,10,80
72CKW0EAA,にっぴー,PBRDPWEY1,村村会,12,46,32336000,10,10,10,10,10,10,10,10,80
PFE7K6YNC,テニサー幹部,M5LHG6R4T,乙宗家執事連合会,10,47,32213000,10,10,10,10,10,10,10,10,80
9ENVXR95K,マオ,M5LHG6R4T,乙宗家執事連合会,10,48,32152000,10,10,10,10,10,10,10,10,80
42J4J5OSG,ハラシヨ,W26TRPM1R,めぐ党藤島派,16,49,32109000,10,10,10,10,10,10,10,10,80
OOC27PRN6,リリィ,11FB0EDDT,スクステ同好会,7,50,32055000,10,10,10,10,10,10,10,10,80
ODE064I6J,ちあき,M5LHG6R4T,乙宗家執事連合会,12,51,31995000,10,10,10,10,10,10,10,10,80
NC6WJYFVX,でら,1BME38BCD,さすさやクラブ,15,52,31919000,10,10,10,10,10,10,10,10,80
4W6BIX284,リリィ♡,FK5MUK0ET,Aq♡urs,16,53,31875000,10,10,10,10,10,10,10,10,80
9NMP2LJU2,くぼっち,EYN9H9N16,水すきすきクラブ,15,54,31869000,10,10,10,10,10,10,10,10,80
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗家執事連合会,16,55,31855000,10,10,10,10,10,10,10,10,80
4KFUM6ADN,ねくすと,M5LHG6R4T,乙宗家執事連合会,16,56,31847000,10,10,10,10,10,10,10,10,80
XEDYAEF7D,waito,PBRDPWEY1,村村会,5,57,31736000,10,10,10,10,10,10,10,10,80
RND3BA6Q4,あゆ,49AMYCXCD,ルドベキア,15,58,31691000,10,10,10,10,10,10,10,10,80
AK6AYMM19,ごろよん,PBRDPWEY1,村村会,15,59,31634000,10,10,10,10,10,10,10,10,80
CZKJL4VOV,親戚プランタン,M5LHG6R4T,乙宗家執事連合会,15,60,31626000,10,10,10,10,10,10,10,10,80
NJ5M5IZWU,まき,M5LHG6R4T,乙宗家執事連合会,16,61,31534000,10,10,10,10,10,10,10,10,80
ND6DAW05J,パトリシア,M5LHG6R4T,乙宗家執事連合会,15,62,31197000,10,10,10,10,10,10,10,10,80
8E70ID58F,あるとす,WN5B7VKPU,きんぴられんこん,15,63,31138000,10,10,10,10,10,10,10,10,80
AJMEJX0KG,こーか,EYN9H9N16,水すきすきクラブ,16,64,31082000,10,10,10,10,10,10,10,10,80
LQEN0GFVZ,ごろーざ,WN5B7VKPU,きんぴられんこん,16,65,30936000,10,10,10,10,10,10,10,10,80
7YZUF27YY,ユウキ,11FB0EDDT,スクステ同好会,15,66,30852000,10,10,10,10,10,10,10,10,80
TKLRD66RN,ふじー,GXR6C85BT,花帆ちゃん親衛隊,15,67,30843000,10,10,10,10,10,10,10,10,80
6W15T8F42,しう,PBRDPWEY1,村村会,16,68,30829000,10,10,10,10,10,10,10,10,80
