player_id,player_name,search_guild_key,guild_name,DR数量,rank,point, 结算前A分数 , 结算前A RANK , 结算前B分数 , 结算前B RANK , 结算前C分数 , 结算前C RANK ,结算前音游分数,结算前音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
4YTEQDE04,あ,EYN9H9N16,蓮すきすきクラブ,15,1,9000000," 16,499,561 "," 10,426 "," 931,250,423 "," 8,948 "," 14,571,308 "," 9,934 "," 12,574,499,958 ", 12 ,10,10,10,10,10,10,10,10,80
BJ2YEFM93,ロドリゲス,EYN9H9N16,蓮すきすきクラブ,16,2,8970000," 1,837,847,045,155 ", 475 ," 1,824,873,207,116 ", 542 ," 78,854,268,155 "," 4,212 "," 14,897,253,708 ", 1 ,10,10,10,10,10,10,10,10,80
1FREY7CCF,ぱむぱむ,HE0GK3EPE,瑞蓮プロカ倶楽部,16,3,8940000," 2,533,645,671,540 ", 119 ," 2,572,751,252,127 ", 139 ," 1,174,467,627,112 ", 35 ," 14,596,022,807 ", 2 ,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,3F9P3U95T,ଳ天地鱏明の空ଳ,16,4,8930000," 3,209,727,906,177 ", 1 ," 3,314,050,686,243 ", 1 ," 1,238,435,358,855 ", 8 ," 1,875,217,692 ", 467 ,10,10,10,10,10,10,10,10,80
6NJM4GUG6,Sea,3F9P3U95T,ଳ天地鱏明の空ଳ,9,4,8930000," 3,166,494,989,224 ", 4 ," 3,255,029,264,272 ", 5 ," 1,274,671,761,680 ", 1 , - , - ,10,10,10,10,10,10,10,10,80
NC6WJYFVX,でら,1BME38BCD,さすさやクラブ,15,6,8910000," 3,001,511,097,106 ", 25 ," 3,267,105,434,964 ", 3 ," 1,189,416,492,769 ", 27 ," 14,587,213,161 ", 3 ,10,10,10,10,10,10,10,10,80
U1IQYBNI5,通りすがりの人,49AMYCXCD,ルドベキア,13,6,8910000," 3,179,868,445,963 ", 3 ," 3,253,250,851,073 ", 6 ," 1,267,612,299,277 ", 3 ," 8,130,479,059 ", 57 ,10,10,10,10,10,10,10,10,80
HU55NKXPK,ももまど,EYN9H9N16,蓮すきすきクラブ,17,8,8880000," 2,886,468,895,825 ", 55 ," 3,160,126,133,001 ", 20 ," 1,026,330,549,125 ", 146 ," 14,572,905,368 ", 4 ,10,10,10,10,10,10,10,10,80
FVG9O3T6M,少結,PPAHU1TNY,蓮ノ空のんびり部,17,9,8850000," 2,446,540,383,425 ", 147 ," 2,607,883,378,062 ", 122 ," 1,145,954,052,509 ", 45 ," 14,519,558,104 ", 5 ,10,10,10,10,10,10,10,10,80
R3YC2XYYZ,秋,3F9P3U95T,ଳ天地鱏明の空ଳ,15,10,8840000," 3,159,789,828,891 ", 6 ," 3,245,275,605,594 ", 8 ," 1,250,069,890,731 ", 5 ," 1,175,811,168 ", 702 ,10,10,10,10,10,10,10,10,80
LP0BEDRF6,BHL,YE7CX8RNP,蓮ノ大三十角ex,17,11,8820000," 2,774,345,826 "," 8,189 "," 1,877,731,770 "," 8,624 "," 125,371,591 "," 8,967 "," 14,088,254,843 ", 6 ,10,10,10,10,10,10,10,10,80
ZYAP6N76H,ぬわぁんでよぉ,3F9P3U95T,ଳ天地鱏明の空ଳ,15,12,8810000," 3,135,558,267,245 ", 8 ," 3,217,931,539,528 ", 13 ," 1,272,869,133,201 ", 2 , - , - ,10,10,10,10,10,10,10,10,80
Z55OCBCZ1,すこや,RFYKY8DCD,LA.LA.LA,15,13,8790000," 1,175,492,720,465 "," 1,051 "," 1,273,790,533,083 "," 1,036 "," 968,544,758,849 ", 199 ," 13,366,518,989 ", 7 ,10,10,10,10,10,10,10,10,80
9L52YPRA1,ハミングバード,3F9P3U95T,ଳ天地鱏明の空ଳ,7,14,8785000," 3,200,362,106,963 ", 2 ," 3,245,818,528,284 ", 7 ," 1,208,874,855,894 ", 20 ," 10,145,896,796 ", 30 ,10,10,10,10,10,10,10,10,80
9NMP2LJU2,くぼっち,EYN9H9N16,蓮すきすきクラブ,17,15,8770000," 3,114,265,113,290 ", 9 ," 3,264,600,111,681 ", 4 ," 1,228,267,825,548 ", 15 , - , - ,10,10,10,10,10,10,10,10,80
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,16,16,8760000," 2,600,189,475,940 ", 101 ," 3,055,294,487,948 ", 42 ," 1,068,745,197,827 ", 107 ," 13,345,884,216 ", 8 ,10,10,9,9,10,9,10,10,77
RV0TDDA7D,ブリてっか,EYN9H9N16,蓮すきすきクラブ,17,17,8750000," 3,014,232,086,959 ", 19 ," 3,213,637,442,834 ", 14 ," 1,257,838,497,480 ", 4 , - , - ,10,10,10,10,10,10,10,10,80
A172AA7DD,にしん,3F9P3U95T,ଳ天地鱏明の空ଳ,9,18,8745000," 3,139,010,148,035 ", 7 ," 3,187,889,690,591 ", 18 ," 1,245,127,209,948 ", 7 , - , - ,10,10,10,10,10,10,10,10,80
