player_id,player_name,search_guild_key,guild_name,DR数量,rank,point, 结算前A分数 , 结算前A RANK , 结算前B分数 , 结算前B RANK , 结算前C分数 , 结算前C RANK , 结算前音游分数 , 结算前音游 rank ,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
4YTEQDE04,笑顔のレシピ頼む,EYN9H9N16,蓮すきすきクラブ,15,1,27000000," 20,510,452,787 "," 6,846 "," 59,007,149,162 "," 6,295 "," 16,490,099,545 "," 6,105 "," 14,783,669,395 ", 5 ,10,10,10,10,10,10,10,10,80
BJ2YEFM93,ロドリゲス,EYN9H9N16,蓮すきすきクラブ,16,2,26880000," 17,602,440,831 "," 6,933 "," 4,786,363,592 "," 7,815 "," 1,069,621,467 "," 7,437 "," 14,969,312,442 ", 3 ,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,3F9P3U95T,ଳ天地鱏明の空ଳ,16,3,26870000," 4,325,686,917,072 ", 2 ," 5,135,257,455,037 ", 2 ," 1,749,552,873,011 ", 2 , - , - ,10,10,10,10,10,10,10,10,80
LP0BEDRF6,海とレモンティー,YE7CX8RNP,蓮ノ大三十角ex,17,4,26730000," 2,701,609,938 "," 7,902 "," 294,121,700 "," 9,180 "," 228,587,704 "," 8,280 "," 7,776,095,385 ", 95 ,10,10,10,10,10,10,10,10,80
HU55NKXPK,青春サブリミナル,EYN9H9N16,蓮すきすきクラブ,17,5,26640000, - , - , - , - , - , - ," 14,925,248,289 ", 4 ,10,10,10,10,10,10,10,10,80
ZYAP6N76H,ぬわぁんでよぉ,3F9P3U95T,ଳ天地鱏明の空ଳ,15,6,26610000," 4,270,836,799,409 ", 5 ," 5,043,106,837,336 ", 6 ," 1,735,380,286,563 ", 3 , - , - ,10,10,10,10,10,10,10,10,80
6NJM4GUG6,Sea,3F9P3U95T,ଳ天地鱏明の空ଳ,9,6,26610000," 3,960,713,415,262 ", 26 ," 5,059,316,726,549 ", 5 ," 1,768,825,647,285 ", 1 ," 152,735,531 "," 2,776 ",10,10,10,10,10,10,10,10,80
1FREY7CCF,ぱむぱむ,HE0GK3EPE,瑞蓮プロカ倶楽部,16,8,26580000," 325,959,534,686 "," 3,880 "," 384,913,885,758 "," 3,834 "," 7,319,654,767 "," 6,530 "," 14,709,653,609 ", 6 ,10,10,10,10,10,10,10,10,80
NC6WJYFVX,でら,1BME38BCD,さすさやクラブ,15,9,26550000," 3,635,641,448,622 ", 62 ," 3,924,059,462,192 ", 50 ," 1,421,942,003,663 ", 82 ," 14,165,250,091 ", 12 ,10,10,10,10,10,10,10,10,80
CAH984HAW,be proud,M5LHG6R4T,乙宗動物園,15,10,26490000, - , - , - , - , - , - ," 15,025,438,883 ", 2 ,10,10,10,10,10,10,10,10,80
U1IQYBNI5,通りすがりの人,49AMYCXCD,ルドベキア,13,11,26470000," 4,268,598,498,455 ", 7 ," 5,081,934,611,067 ", 3 ," 1,712,146,732,554 ", 10 ," 14,299,093,336 ", 10 ,10,10,10,10,10,10,10,10,80
FVG9O3T6M,少結,PPAHU1TNY,蓮ノ空のんびり部,17,12,26370000," 13,395,059,950 "," 7,092 "," 22,802,751,544 "," 6,999 "," 1,371,806,044 "," 7,324 "," 14,532,045,974 ", 8 ,10,10,10,10,10,10,10,10,80
R3YC2XYYZ,秋,3F9P3U95T,ଳ天地鱏明の空ଳ,15,13,26345000," 4,269,204,696,981 ", 6 ," 4,987,430,413,044 ", 9 ," 1,719,021,972,933 ", 8 ," 1,328,672,144 "," 1,057 ",10,10,10,10,10,10,10,10,80
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,17,14,26220000," 3,427,555,693,594 ", 99 ," 3,584,551,900,701 ", 102 ," 1,449,716,053,984 ", 74 ," 14,601,959,699 ", 7 ,10,10,10,10,10,10,10,10,80
TF3P7YXVG,こなといっしょ,VW65MCVF8,スリスリーズ,15,15,26190000," 4,232,547,475,451 ", 12 , - , - ," 1,729,958,948,037 ", 4 , - , - ,10,10,10,10,10,10,10,10,80
KXMPLAX04,ろーぱす,3F9P3U95T,ଳ天地鱏明の空ଳ,17,16,26165000," 4,142,015,816,957 ", 14 ," 5,032,927,515,677 ", 7 ," 1,666,774,929,111 ", 18 , - , - ,10,10,10,10,10,10,10,10,80
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,16,17,26145000," 3,485,393,276,060 ", 90 ," 3,967,949,179,690 ", 45 ," 1,561,226,634,365 ", 34 ," 14,472,486,356 ", 9 ,10,10,10,10,10,10,10,10,80
9NMP2LJU2,くぼっち,EYN9H9N16,蓮すきすきクラブ,17,17,26145000," 4,275,208,434,337 ", 3 ," 4,478,490,859,488 ", 18 ," 1,709,030,321,058 ", 11 ," 2,361,009,650 ", 627 ,10,10,10,10,10,10,10,10,80
A172AA7DD,にしん,3F9P3U95T,ଳ天地鱏明の空ଳ,9,19,26130000," 3,994,645,974,778 ", 21 ," 4,988,023,581,775 ", 8 ," 1,722,516,234,235 ", 6 , - , - ,10,10,10,10,10,10,10,10,80
Z55OCBCZ1,すこや,RFYKY8DCD,LA.LA.LA,15,20,26100000," 1,341,561,471,097 "," 1,269 "," 1,609,262,151,250 "," 1,125 "," 1,103,056,758,415 ", 355 ," 13,676,432,063 ", 14 ,10,10,10,10,10,10,10,10,80
9L52YPRA1,ハミングバード,3F9P3U95T,ଳ天地鱏明の空ଳ,7,21,26085000," 4,272,289,714,709 ", 4 ," 4,625,243,059,910 ", 13 ," 1,578,300,965,926 ", 32 ," 10,270,918,186 ", 54 ,10,10,10,10,10,10,10,10,80
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,15,22,25954000," 4,095,463,483,952 ", 16 ," 4,387,757,462,938 ", 22 , - , - ," 11,133,697,483 ", 37 ,10,10,10,10,10,10,10,10,80
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,15,23,25950000," 3,533,611,557,130 ", 84 ," 3,799,227,926,287 ", 63 ," 1,402,715,494,757 ", 98 ," 13,549,488,911 ", 15 ,10,10,10,10,10,10,10,10,80
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,16,24,25935000, - , - , - , - , - , - ," 15,080,882,532 ", 1 ,10,10,10,10,10,10,10,10,80
64M70NFSR,もちもちの木,YE7CX8RNP,蓮ノ大三十角ex,15,25,25875000," 2,623,162,663,866 ", 330 ," 3,109,557,957,927 ", 192 ," 119,162,747,865 "," 4,172 "," 13,862,090,977 ", 13 ,10,10,10,10,10,10,10,10,80
NJ5M5IZWU,スクショウ畜生,3F9P3U95T,ଳ天地鱏明の空ଳ,16,26,25830000," 3,022,259,664,433 ", 174 ," 3,680,243,530,423 ", 87 ," 1,174,738,295,492 ", 291 ," 13,057,487,384 ", 18 ,10,10,10,10,10,10,10,10,80
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,16,26,25830000," 3,653,946,724,457 ", 56 ," 3,668,722,107,573 ", 89 ," 1,393,089,222,836 ", 105 ," 12,819,182,814 ", 19 ,10,10,10,10,10,10,10,10,80
WBWATJ60W,はとぴ,YE7CX8RNP,蓮ノ大三十角ex,17,26,25830000, - , - , - , - , - , - ," 12,688,353,787 ", 20 ,10,10,10,10,10,10,10,10,80
0Y3QCF38L,月よみくらげ,M5LHG6R4T,乙宗動物園,12,29,25820000," 4,430,437,868,213 ", 1 ," 4,137,087,512,551 ", 31 ," 1,622,396,595,496 ", 26 ," 869,828,255 "," 1,413 ",10,10,10,10,10,10,10,10,80
RV0TDDA7D,ブリてっか,EYN9H9N16,蓮すきすきクラブ,17,30,25780000, - , - ," 4,201,737,977,761 ", 29 ," 1,597,616,232,147 ", 28 , - , - ,10,10,10,10,10,10,10,10,80
9ENVXR95K,マオ,M5LHG6R4T,乙宗動物園,10,31,25665000," 550,022,462,045 "," 2,839 "," 1,478,453,935,499 "," 1,260 "," 2,483,181,504 "," 7,059 "," 11,770,642,821 ", 25 ,10,10,10,10,10,10,10,10,80
