player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank, point , 音游分数 ,音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
4YTEQDE04,まんまる,EYN9H9N16,蓮すきすきクラブ,1608,15,1," 45,000,000 "," 15,622,243,144 ",1,10,10,10,10,10,10,10,10,80
BJ2YEFM93,テンババア,EYN9H9N16,蓮すきすきクラブ,1423,16,2," 44,790,000 "," 15,541,279,169 ",3,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,3F9P3U95T,ଳ天地鱏明の空ଳ,1636,16,3," 44,660,000 ",,,10,10,10,10,10,10,10,10,80
LP0BEDRF6,海とレモンティー,YE7CX8RNP,蓮ノ大三十角ex,1683,17,4," 44,580,000 "," 15,514,663,860 ",4,10,10,10,10,10,10,10,10,80
6NJM4GUG6,Sea,3F9P3U95T,ଳ天地鱏明の空ଳ,1677,9,5," 44,420,000 ",,,10,10,10,10,10,10,10,10,80
NC6WJYFVX,でら,1BME38BCD,さすさやクラブ,1707,15,6," 44,340,000 "," 15,584,309,700 ",2,10,10,10,10,10,10,10,10,80
HU55NKXPK,たっち,EYN9H9N16,蓮すきすきクラブ,1562,17,7," 44,310,000 "," 15,310,380,834 ",7,10,10,10,10,10,10,10,10,80
CAH984HAW,be proud,M5LHG6R4T,乙宗動物園,1681,15,8," 44,220,000 "," 15,328,197,782 ",6,10,10,10,10,10,10,10,10,80
1FREY7CCF,ぱむぱむ,HE0GK3EPE,瑞蓮プロカ倶楽部,1651,16,9," 44,160,000 "," 14,712,279,516 ",8,10,10,10,10,10,10,10,10,80
ZYAP6N76H,ぬわぁんでよぉ,3F9P3U95T,ଳ天地鱏明の空ଳ,1514,15,10," 44,105,000 ",,,10,10,10,10,10,10,10,10,80
U1IQYBNI5,通りすがりの人,49AMYCXCD,ルドベキア,1689,13,11," 43,900,000 "," 14,297,347,591 ",14,10,10,10,10,10,10,10,10,80
FVG9O3T6M,少結,PPAHU1TNY,蓮ノ空のんびり部,1677,17,12," 43,890,000 "," 14,613,040,880 ",9,10,10,10,10,10,10,10,10,80
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,1650,16,13," 43,725,000 "," 15,378,164,937 ",5,10,10,10,10,10,10,10,10,80
TF3P7YXVG,ギ,VW65MCVF8,スリスリーズ,1512,15,14," 43,715,000 ",,,10,10,10,10,10,10,10,10,80
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,1676,17,15," 43,680,000 "," 14,603,182,126 ",10,10,10,10,10,10,10,10,10,80
KXMPLAX04,ろーぱす,3F9P3U95T,ଳ天地鱏明の空ଳ,1484,17,16," 43,645,000 ",,,10,10,10,10,10,10,10,10,80
R3YC2XYYZ,秋,3F9P3U95T,ଳ天地鱏明の空ଳ,1577,15,17," 43,570,000 "," 1,359,067,911 ",1204,10,10,10,10,10,10,10,10,80
A172AA7DD,にしん,3F9P3U95T,ଳ天地鱏明の空ଳ,1675,9,18," 43,545,000 ",,,10,10,10,10,10,10,10,10,80
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,1733,16,19," 43,530,000 "," 14,471,931,672 ",12,10,10,10,10,10,10,10,10,80
Z55OCBCZ1,すこや,RFYKY8DCD,LA.LA.LA,1517,15,20," 43,320,000 "," 13,667,157,877 ",17,10,10,10,10,10,10,10,10,80
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,1634,15,21," 43,309,000 "," 14,468,692,067 ",13,10,10,10,10,10,10,10,10,80
0Y3QCF38L,月よみくらげ,M5LHG6R4T,乙宗動物園,1670,12,22," 43,220,000 ",,,10,10,10,10,10,10,10,10,80
9NMP2LJU2,くぼっち,EYN9H9N16,蓮すきすきクラブ,1594,17,23," 43,155,000 ",,,10,10,10,10,10,10,10,10,80
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,1665,15,24," 43,140,000 "," 13,551,144,181 ",18,10,10,10,10,10,10,10,10,80
64M70NFSR,いなば,YE7CX8RNP,蓮ノ大三十角ex,1625,15,25," 43,125,000 "," 13,860,663,508 ",16,10,10,10,10,10,10,10,10,80
NJ5M5IZWU,まき,3F9P3U95T,ଳ天地鱏明の空ଳ,1596,16,26," 42,960,000 "," 13,310,896,212 ",20,10,10,10,10,10,10,10,10,80
J2U81HBDL,Kaz@よしりこ,8P39YRA1L,慈と愉快な仲間達,1450,3,27," 42,930,000 "," 14,495,474,252 ",11,10,10,10,10,10,10,10,10,80
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,1530,16,28," 42,870,000 "," 12,818,858,402 ",24,10,10,10,10,10,10,10,10,80
70NE2637U,りふいっと,49AMYCXCD,ルドベキア,1572,9,29," 42,865,000 ",,,10,10,10,10,10,10,10,10,80
WBWATJ60W,はとぴ,YE7CX8RNP,蓮ノ大三十角ex,1497,17,30," 42,825,000 "," 12,712,295,178 ",26,10,10,10,10,10,10,10,10,80
9L52YPRA1,ハミングバード,3F9P3U95T,ଳ天地鱏明の空ଳ,1609,7,31," 42,734,500 "," 10,272,547,613 ",57,10,10,10,10,10,10,10,10,80
K7QAEXJLJ,のりすけ,49AMYCXCD,ルドベキア,1677,17,32," 42,705,000 ",,,10,10,10,10,10,10,10,10,80
0USG3I0AK,ピーちゃん,VW65MCVF8,スリスリーズ,1485,15,33," 42,690,000 "," 13,106,835,082 ",21,10,10,10,10,10,10,10,10,80
U8OROTM2Y,なってしまった！,YCTM6RYDP,金沢おでん同好会,1641,17,34," 42,675,000 "," 12,901,691,419 ",23,10,10,10,10,10,10,10,10,80
TW9L2LKS7,スクステ反抗組織,YE7CX8RNP,蓮ノ大三十角ex,1728,15,35," 42,630,000 ",,,10,10,10,10,10,10,10,10,80
TKLRD66RN,ふじーーー,3F9P3U95T,ଳ天地鱏明の空ଳ,1612,15,36," 42,480,000 ",,,10,10,10,10,10,10,10,10,80
9ENVXR95K,マオ,M5LHG6R4T,乙宗動物園,1529,10,37," 42,450,000 "," 11,768,422,628 ",32,10,10,10,10,10,10,10,10,80
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,1614,15,38," 42,420,000 "," 11,859,451,095 ",31,10,10,10,10,10,10,10,10,80
42J4J5OSG,ハラシヨ,W26TRPM1R,めぐ党藤島派,1589,17,39," 42,410,000 ",,,10,10,10,10,10,10,10,10,80
RV0TDDA7D,ブリてっか,EYN9H9N16,蓮すきすきクラブ,1603,17,40," 42,353,500 ",,,10,10,10,10,10,10,10,10,80
EJHLCHP8O,めぐみアキ,PDMPF3VVV,r/LL,1172,8,41," 42,300,000 "," 11,696,280,490 ",33,10,10,10,10,10,10,10,10,80
IZUFEEX2U,アルメ,EYN9H9N16,蓮すきすきクラブ,1583,17,42," 42,237,500 "," 886,251,976 ",1567,10,10,10,10,10,10,10,10,80
L8VJOGDKM,まる,3F9P3U95T,ଳ天地鱏明の空ଳ,1696,16,43," 42,215,000 "," 12,572,338,162 ",28,10,10,10,10,10,10,10,10,80
TWKTW5AVC,ライト,GXR6C85BT,花帆ちゃん親衛隊,1337,17,44," 42,180,000 "," 11,564,389,356 ",36,10,10,10,10,10,10,10,10,80
M30MWLT24,ゆあゆあ,05KN1RR3U,さやかほ花卉園,1728,17,45," 42,135,000 "," 12,589,427,391 ",27,10,10,10,10,10,10,10,10,80
ZWGHFBK3S,DSsuzu,YCTM6RYDP,金沢おでん同好会,1660,17,46," 41,985,000 "," 13,448,971,800 ",19,10,10,10,10,10,10,10,10,80
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,1548,17,47," 41,965,000 "," 8,241,529,904 ",95,10,10,10,10,10,10,10,10,80
56DXP4XGM,osA_,3F9P3U95T,ଳ天地鱏明の空ଳ,1436,13,48," 41,920,000 ",,,10,10,10,10,10,10,10,10,80
TXTPD6OZ9,stella,3F9P3U95T,ଳ天地鱏明の空ଳ,1646,15,49," 41,916,000 "," 1,835,908,652 ",934,10,10,10,10,10,10,10,10,80
L71LEGR49,かんなぎ,49AMYCXCD,ルドベキア,1470,17,50," 41,900,000 ",,,10,10,10,10,10,10,10,10,80
EQOU1ZZS7,葵,3F9P3U95T,ଳ天地鱏明の空ଳ,1618,17,51," 41,774,000 ",,,10,10,10,10,10,10,10,10,80
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,1579,17,52," 41,735,000 ",,,10,10,10,10,10,10,10,10,80
7Q17H65NQ,mitsu,YE7CX8RNP,蓮ノ大三十角ex,1674,15,53," 41,670,000 "," 11,131,295,558 ",44,10,10,10,10,10,10,10,10,80
ME00V6X4B,オラトニス,3F9P3U95T,ଳ天地鱏明の空ଳ,1623,17,54," 41,657,500 ",,,10,10,10,10,10,10,10,10,80
8XP3JM3HY,ハヤシモリ,,,1510,13,55," 41,585,000 "," 11,166,999,404 ",42,10,10,10,10,10,10,10,10,80
JRKLLY4D3,kazu,HBM31HMUY,YUKIZURI,1282,2,56," 41,565,000 "," 11,899,699,544 ",30,10,10,10,10,10,10,10,10,80
U7NEBV4KH,こーど,49AMYCXCD,ルドベキア,1465,17,57," 41,545,000 ",,,10,10,10,10,10,10,10,10,80
FCED0MOWI,つかべん,RWARTHA1M,乙宗梢大好き部,1611,17,58," 41,475,000 "," 11,483,822,406 ",37,10,10,10,10,10,10,10,10,80
1Y0XFNNDJ,かなたなか,EYN9H9N16,蓮すきすきクラブ,1575,15,59," 41,460,000 "," 11,910,110,358 ",29,10,10,10,10,10,10,10,10,80
TUHKRV0IW,ポン,EYN9H9N16,蓮すきすきクラブ,1675,16,60," 41,420,000 "," 11,236,683,718 ",41,10,10,10,10,10,10,10,10,80
WY7ASMM7N,ちゅん,RF5215M2U,スクステ同好会②,1190,10,61," 41,415,000 "," 11,126,032,923 ",45,10,10,10,10,10,10,10,10,80
FZMYZZPRK,彩花,B2KV0EVPD,蓮ちゅきクラブ,1330,15,62," 41,400,000 "," 11,356,424,864 ",38,10,10,10,10,10,10,10,10,80
RRW2O1DH8,ふかひれ,49AMYCXCD,ルドベキア,1636,15,63," 41,365,000 "," 10,682,435,875 ",50,10,10,10,10,10,10,10,10,80
