player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point, 结算前A分数 , 结算前A RANK , 结算前B分数 , 结算前B RANK , 结算前C分数 , 结算前C RANK , 结算前音游分数 , 结算前音游 rank ,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,1678,15,1,9000000," 80,749,425,862 "," 5,070 "," 147,352,744,706 "," 4,321 "," 314,445,635,397 "," 3,572 "," 14,956,637,425 ", 1 ,10,10,10,10,10,10,10,10,80
4YTEQDE04,RGRGRGRG,EYN9H9N16,蓮すきすきクラブ,1621,15,2,8970000," 1,819,593,902,068 ", 33 , - , - ," 2,613,172,790,237 ", 367 ," 14,825,303,062 ", 2 ,10,10,10,10,10,10,10,10,80
BJ2YEFM93,テンババア,EYN9H9N16,蓮すきすきクラブ,1430,16,3,8940000," 1,733,329,194,498 ", 46 ," 1,253,904,259,079 ", 127 ," 3,369,397,317,996 ", 139 ," 14,800,152,966 ", 3 ,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,3F9P3U95T,ଳ天地鱏明の空ଳ,1649,16,4,8920000," 2,227,521,933,035 ", 1 ," 1,434,365,527,843 ", 52 ," 4,916,390,532,041 ", 4 , - , - ,10,10,10,10,10,10,10,10,80
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,1649,15,5,8910000," 1,789,604,304,448 ", 36 ," 1,591,202,961,205 ", 20 ," 4,526,975,253,256 ", 16 ," 14,343,328,104 ", 4 ,10,10,10,10,10,10,10,10,80
CAH984HAW,be proud,M5LHG6R4T,乙宗動物園,1694,15,6,8880000," 277,363,525 "," 7,698 "," 132,447,816,278 "," 4,532 "," 493,254,274,313 "," 2,712 "," 14,300,956,445 ", 5 ,10,10,10,10,10,10,10,10,80
EQOU1ZZS7,ﾁｭｹのｼｭｼｭ,3F9P3U95T,ଳ天地鱏明の空ଳ,1629,17,7,8870000," 2,100,900,572,611 ", 2 ," 1,706,209,597,074 ", 5 ," 4,777,329,505,466 ", 7 , - , - ,10,10,10,10,10,10,10,10,80
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,1540,16,8,8850000," 616,192 "," 9,804 "," 32,760,084 "," 9,611 "," 194,687,602,709 "," 4,248 "," 14,252,367,543 ", 6 ,10,10,10,10,10,10,10,10,80
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,1746,16,9,8820000," 1,047,765,494,117 ", 247 ," 895,536,649,458 ", 497 ," 2,885,837,596,654 ", 263 ," 14,193,871,548 ", 7 ,10,10,10,10,10,10,10,10,80
6NJM4GUG6,Sea,3F9P3U95T,ଳ天地鱏明の空ଳ,1685,9,10,8810000," 1,986,995,092,944 ", 7 ," 1,640,721,230,783 ", 15 ," 5,308,172,906,154 ", 1 , - , - ,10,10,10,10,10,10,10,10,80
ZYAP6N76H,ぬわぁんでよぉ,3F9P3U95T,ଳ天地鱏明の空ଳ,1519,15,11,8805000," 2,024,038,821,199 ", 4 ," 1,747,393,196,865 ", 3 ," 4,506,172,089,547 ", 18 ," 67,974,697 "," 2,976 ",10,10,10,10,10,10,10,10,80
7604CH5KV,.,FK5MUK0ET,くる♡すきクラブ,1709,17,11,8805000," 2,008,468,139,686 ", 5 , - , - , - , - , - , - ,10,10,10,10,10,10,10,10,80
KXMPLAX04,ろーぱす,3F9P3U95T,ଳ天地鱏明の空ଳ,1491,17,13,8795000," 2,092,786,949,219 ", 3 ," 1,553,517,015,059 ", 23 ," 5,141,713,882,849 ", 2 , - , - ,10,10,10,10,10,10,10,10,80
HU55NKXPK,たっち,EYN9H9N16,蓮すきすきクラブ,1567,17,14,8790000," 215,712,104,270 "," 3,382 "," 174,911,500,669 "," 3,958 "," 540,767,945,674 "," 2,515 "," 14,019,269,664 ", 8 ,10,10,10,10,10,10,10,10,80
Z55OCBCZ1,すこや,RFYKY8DCD,LA.LA.LA,1528,15,15,8760000," 30,931,566 "," 8,239 "," 12,737,286,164 "," 7,121 "," 7,015,163,767 "," 6,976 "," 13,757,557,422 ", 9 ,10,10,10,10,10,10,10,10,80
TKLRD66RN,ふじーーー,3F9P3U95T,ଳ天地鱏明の空ଳ,1624,15,16,8745000," 1,961,132,353,544 ", 10 ," 1,662,446,036,430 ", 11 ," 4,821,847,729,565 ", 6 , - , - ,10,10,10,10,10,10,10,10,80
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,1685,17,17,8730000," 1,294,215,039,446 ", 138 ," 1,251,110,575,342 ", 130 ," 3,664,813,793,573 ", 86 ," 13,707,998,225 ", 10 ,10,10,10,10,10,10,10,10,80
TW9L2LKS7,スクステ反抗組織,YE7CX8RNP,蓮ノ大三十角ex,1739,15,18,8715000," 1,851,692,863,720 ", 24 ," 1,817,725,909,710 ", 1 , - , - , - , - ,10,10,10,10,10,10,10,10,80
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,1629,15,19,8700000," 33,215,353,388 "," 5,866 "," 93,664,979,599 "," 5,135 "," 157,635,201,656 "," 4,492 "," 13,407,944,370 ", 11 ,10,10,10,10,10,10,10,10,80
M30MWLT24,ゆあゆあ,05KN1RR3U,さやかほ花卉園,1741,17,20,8685000," 1,114,061,430,577 ", 198 ," 1,277,480,949,337 ", 108 ," 3,557,788,836,924 ", 104 ," 13,263,607,933 ", 12 ,10,10,10,10,10,10,10,10,80
L8VJOGDKM,まる,3F9P3U95T,ଳ天地鱏明の空ଳ,1707,16,21,8680000," 1,969,902,289,009 ", 8 ," 1,602,572,792,187 ", 18 ," 4,701,977,730,303 ", 11 , - , - ,10,10,10,10,10,10,10,10,80
