player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,结算前A分数,结算前A RANK,结算前B分数,结算前B RANK,结算前C分数,结算前C RANK,结算前音游分数,结算前音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,1680,15,1,17970000,1509160428878,165,1368162711973,178,4140748304483,112,15114285258,1,10,10,10,10,10,10,10,10,80
4YTEQDE04,スクステ楽しいよ,EYN9H9N16,蓮すきすきクラブ,1621,15,2,17880000,1361942143031,222,1858193137251,18,4600222939420,79,14867656265,3,10,10,10,10,10,10,10,10,80
BJ2YEFM93,テンババア,EYN9H9N16,蓮すきすきクラブ,1430,16,3,17820000,1924352864585,65,1533111494313,98,4432035837916,93,14867197698,4,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,3F9P3U95T,ଳ天地鱏明の空ଳ,1649,16,4,17805000,2387791112193,1,1904135440847,11,5976236041455,2,0,0,10,10,10,10,10,10,10,10,80
ZYAP6N76H,ぬわぁんでよぉ,3F9P3U95T,ଳ天地鱏明の空ଳ,1519,15,5,17725000,2338057177637,6,1976785925385,4,6126699494573,1,0,0,10,10,10,10,10,10,10,10,80
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,1540,16,6,17670000,2152924575937,22,1765499092611,33,5375437112317,22,14648542382,6,10,10,10,10,10,10,10,10,80
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,1685,17,6,17670000,261299018688,3279,490419306328,1659,3791473089973,165,14952517572,2,10,10,10,10,10,10,10,10,80
EQOU1ZZS7,ﾁｭｹのｼｭｼｭ,3F9P3U95T,ଳ天地鱏明の空ଳ,1630,17,8,17665000,2355554858623,5,1949466549627,6,5725572217084,11,0,0,10,10,10,10,10,10,10,10,80
7604CH5KV,.,FK5MUK0ET,くる♡すきクラブ,1709,17,9,17655000,2273345580199,11,2005533309967,2,5846686633000,5,0,0,10,10,10,10,10,10,10,10,80
HU55NKXPK,たっち,EYN9H9N16,蓮すきすきクラブ,1567,17,10,17640000,19854242771,6364,10810054089,7428,80891405766,5479,14799069628,5,10,10,10,10,10,10,10,10,80
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,1661,16,11,17595000,856035842654,705,762573631190,912,393386054160,3427,13114039759,21,10,10,10,10,10,10,10,10,80
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,1649,15,11,17595000,2145514672368,24,1856856565328,19,5337006657758,26,14343022227,11,10,10,10,10,10,10,10,10,80
KXMPLAX04,ろーぱす,3F9P3U95T,ଳ天地鱏明の空ଳ,1491,17,13,17575000,2282591752921,10,1928716619250,8,5836527973196,6,0,0,10,10,10,10,10,10,10,10,80
CAH984HAW,be proud,M5LHG6R4T,乙宗動物園,1694,15,14,17550000,0,0,0,0,0,0,14300917371,12,10,10,10,10,10,10,10,10,80
TW9L2LKS7,スクステ反抗組織,YE7CX8RNP,蓮ノ大三十角ex,1739,15,15,17525000,2366290030144,2,1967419962621,5,5431556688887,19,0,0,10,10,10,10,10,10,10,10,80
TKLRD66RN,ふじーーー,3F9P3U95T,ଳ天地鱏明の空ଳ,1624,15,15,17525000,2334841446603,7,1936387331062,7,5729134156804,10,0,0,10,10,10,10,10,10,10,10,80
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,1749,16,17,17520000,1840976792519,90,1470379011264,118,5123735147611,39,14343482254,10,10,10,10,10,10,10,10,10,80
M30MWLT24,ゆあゆあ,05KN1RR3U,さやかほ花卉園,1741,17,18,17445000,1200204840905,312,1456282693897,125,3947161471313,141,14426308580,8,10,10,10,10,10,10,10,10,80
Z55OCBCZ1,すこや,RFYKY8DCD,LA.LA.LA,1528,15,19,17400000,172164989,8025,8017643916,7626,17115878861,6652,13750082534,14,10,10,10,10,10,10,10,10,80
NJ5M5IZWU,まき,3F9P3U95T,ଳ天地鱏明の空ଳ,1608,16,20,17395000,2362408073874,4,1865672977594,15,5797002738900,8,13304264328,18,10,10,10,10,10,10,10,10,80
6NJM4GUG6,Sea,3F9P3U95T,ଳ天地鱏明の空ଳ,1685,9,21,17370000,2106219661471,33,1781741645541,29,5874920821454,4,0,0,10,10,10,10,10,10,10,10,80
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,1629,15,22,17325000,0,0,0,0,0,0,13432257589,15,10,10,10,10,10,10,10,10,80
8XP3JM3HY,ハヤシモリ,CX967RTGY,おんゆあさーくる,1519,13,23,17295000,31599588,8458,29349324706,6737,9441807199,6998,13892855697,13,10,10,10,10,10,10,10,10,80
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,1602,9,24,17275000,2220413249154,14,1826627650454,26,5753567394363,9,0,0,10,10,10,10,10,10,10,10,80
TWKTW5AVC,ライト,GXR6C85BT,花帆ちゃん親衛隊,1351,17,25,17250000,300107,11082,5792058,10852,6194392,10683,13343457255,17,10,10,10,10,10,10,10,10,80
R3YC2XYYZ,秋,3F9P3U95T,ଳ天地鱏明の空ଳ,1595,15,26,17240000,2365142188394,3,1838074093428,23,5282098566828,28,5507563326,247,10,10,10,10,10,10,10,10,80
64M70NFSR,週末は北國花火,YE7CX8RNP,蓮ノ大三十角ex,1625,15,27,17235000,235405871577,3545,1820025190742,27,4174532046259,108,13244928449,19,10,10,10,10,10,10,10,10,80
LP0BEDRF6,秘密インシデント,YE7CX8RNP,蓮ノ大三十角ex,1692,17,28,17205000,34765048,8432,834077345,8909,2069755920,7869,14378158425,9,10,10,10,10,10,10,10,10,80
NWUFRAHLN,じゅんじゅん,3F9P3U95T,ଳ天地鱏明の空ଳ,1422,12,29,17185000,2330537145379,8,328170921431,2680,5799202910962,7,0,0,10,10,10,10,10,10,10,10,80
4W6BIX284,リリィ♡,FK5MUK0ET,くる♡すきクラブ,1691,17,30,17170000,2126271854790,28,1904950534458,10,5482132909475,16,5554932610,240,10,10,10,10,10,10,10,10,80
