player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,结算前音游分数,结算前音游 rank,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
RKVK0YI1L,おらぴさん,1BME38BCD,さすさやクラブ,1688,15,1,53850000,15115688540.0,2.0,10,10,10,10,10,10,10,10,80
U0L572GGD,ガリィ,F2CFWVMY9,藤島め組,1662,16,2,53595000,16291837651.0,1.0,10,10,10,10,10,10,10,10,80
BJ2YEFM93,テンババア,EYN9H9N16,蓮すきすきクラブ,1431,16,3,53430000,14916118987.0,4.0,10,10,10,10,10,10,10,10,80
OZHGPXIGS,まるごとみなみ,WN5B7VKPU,きんぴられんこん,1691,17,3,53430000,14954166353.0,3.0,10,10,10,10,10,10,10,10,80
4YTEQDE04,まんまる,EYN9H9N16,蓮すきすきクラブ,1632,15,5,53410000,14830295524.0,8.0,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,3F9P3U95T,ଳ天地鱏明の空ଳ,1655,16,6,53255000,,,10,10,10,10,10,10,10,10,80
7604CH5KV,.,FK5MUK0ET,くる♡すきクラブ,1714,17,7,53215000,,,10,10,10,10,10,10,10,10,80
HU55NKXPK,たっち,EYN9H9N16,蓮すきすきクラブ,1571,17,8,53180000,14849766896.0,6.0,10,10,10,10,10,10,10,10,80
AJMEJX0KG,こーか,EYN9H9N16,蓮すきすきクラブ,1548,16,9,52950000,14830320988.0,7.0,10,10,10,10,10,10,10,10,80
ZYAP6N76H,ぬわぁんでよぉ,3F9P3U95T,ଳ天地鱏明の空ଳ,1523,15,10,52680000,,,10,10,10,10,10,10,10,10,80
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,1656,15,11,52395000,14739729317.0,11.0,10,10,10,10,10,10,10,10,80
8XP3JM3HY,ハヤシモリ,CX967RTGY,おんゆあさーくる,1527,13,11,52395000,14742561745.0,9.0,10,10,10,10,10,10,10,10,80
KXMPLAX04,ろーぱす,3F9P3U95T,ଳ天地鱏明の空ଳ,1494,17,13,52370000,,,10,10,10,10,10,10,10,10,80
EQOU1ZZS7,葵,3F9P3U95T,ଳ天地鱏明の空ଳ,1631,17,14,52280000,,,10,10,10,10,10,10,10,10,80
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,1755,16,15,52275000,14739959047.0,10.0,10,10,10,10,10,10,10,10,80
TKLRD66RN,ふじーーー,3F9P3U95T,ଳ天地鱏明の空ଳ,1633,15,16,52225000,5167653544.0,330.0,10,10,10,10,10,10,10,10,80
LP0BEDRF6,笑ってフラジール,YE7CX8RNP,蓮ノ大三十角ex,1698,17,17,52170000,14703353449.0,12.0,10,10,10,10,10,10,10,10,80
M30MWLT24,ゆあゆあ,05KN1RR3U,さやかほ花卉園,1749,17,17,52170000,14533930486.0,15.0,10,10,10,10,10,10,10,10,80
NJ5M5IZWU,まき,3F9P3U95T,ଳ天地鱏明の空ଳ,1617,16,19,52120000,14863465512.0,5.0,10,10,10,10,10,10,10,10,80
CAH984HAW,be proud,M5LHG6R4T,乙宗動物園,1697,15,20,52080000,14299656628.0,17.0,10,10,10,10,10,10,10,10,80
FVG9O3T6M,少結,PPAHU1TNY,蓮ノ空のんびり部,1697,17,21,51915000,14635003925.0,14.0,10,10,10,10,10,10,10,10,80
TW9L2LKS7,スクステ反抗組織,YE7CX8RNP,蓮ノ大三十角ex,1747,15,22,51905000,,,10,10,10,10,10,10,10,10,80
Z55OCBCZ1,すこや,RFYKY8DCD,LA.LA.LA,1528,15,23,51825000,14145851990.0,18.0,10,10,10,10,10,10,10,10,80
64M70NFSR,たむ,YE7CX8RNP,蓮ノ大三十角ex,1628,15,24,51795000,14335238503.0,16.0,10,10,10,10,10,10,10,10,80
6NJM4GUG6,吟子ォ！,3F9P3U95T,ଳ天地鱏明の空ଳ,1691,9,25,51785000,,,10,10,10,10,10,10,10,10,80
R3YC2XYYZ,秋,3F9P3U95T,ଳ天地鱏明の空ଳ,1601,15,26,51735000,7569961281.0,155.0,10,10,10,10,10,10,10,10,80
NWUFRAHLN,じゅんじゅん,3F9P3U95T,ଳ天地鱏明の空ଳ,1424,12,27,51716000,,,10,10,10,10,10,10,10,10,80
XTY4GG18V,こーりん,1BME38BCD,さすさやクラブ,1637,15,28,51600000,13452751799.0,23.0,10,10,10,10,10,10,10,10,80
TWKTW5AVC,ライト,GXR6C85BT,花帆ちゃん親衛隊,1353,17,29,51555000,13588018714.0,20.0,10,10,10,10,10,10,10,10,80
JC33CNHML,かすかす,PBRDPWEY1,村村会,1515,16,30,51520000,,,10,10,10,10,10,10,10,10,80
L2WFYHDCX,khani,0TKFF5EG3,サークル名募集中,1261,17,31,51360000,13791353645.0,19.0,10,10,10,10,10,10,10,10,80
F7LDMC7M5,しの,2K5AM4RV0,とろぺりです,1499,17,32,51240000,13427254949.0,24.0,10,10,10,10,10,10,10,10,80
U1IQYBNI5,通りすがりの人,3F9P3U95T,ଳ天地鱏明の空ଳ,1701,13,33,51195000,12333577426.0,40.0,10,10,10,10,10,10,10,10,80
ZWGHFBK3S,DSsuzu,YCTM6RYDP,金沢おでん同好会,1681,17,34,51180000,13495121350.0,21.0,10,10,10,10,10,10,10,10,80
FZMYZZPRK,彩花,B2KV0EVPD,蓮ちゅきクラブ,1343,15,35,51120000,13472346996.0,22.0,10,10,10,10,10,10,10,10,80
1FREY7CCF,ぱむぱむ,HE0GK3EPE,瑞蓮プロカ倶楽部,1675,16,36,51075000,13415833417.0,25.0,10,10,10,10,10,10,10,10,80
0UXX86CCP,やん(KK),1BME38BCD,さすさやクラブ,1700,17,36,51075000,13240131119.0,26.0,10,10,10,10,10,10,10,10,80
NC6WJYFVX,でら,1BME38BCD,さすさやクラブ,1726,15,38,51000000,14671272343.0,13.0,10,10,10,10,10,10,10,10,80
7RODEB74T,しよー,RWARTHA1M,乙宗梢大好き部,1565,17,39,50945000,10594892608.0,65.0,10,10,10,10,10,10,10,10,80
A172AA7DD,にしん,3F9P3U95T,ଳ天地鱏明の空ଳ,1693,9,40,50926000,,,10,10,10,10,10,10,10,10,80
WBWATJ60W,はとぴ,YE7CX8RNP,蓮ノ大三十角ex,1507,17,41,50910000,12892479194.0,27.0,10,10,10,10,10,10,10,10,80
VGWT7LCX7,ZUC,3F9P3U95T,ଳ天地鱏明の空ଳ,1548,15,42,50810000,,,10,10,10,10,10,10,10,10,80
0USG3I0AK,ピーちゃん,11FB0EDDT,スクステ同好会,1501,15,43,50805000,12891990016.0,28.0,10,10,10,10,10,10,10,10,80
4W6BIX284,リリィ♡,FK5MUK0ET,くる♡すきクラブ,1698,17,44,50780000,11412813873.0,49.0,10,10,10,10,10,10,10,10,80
L8VJOGDKM,屍,3F9P3U95T,ଳ天地鱏明の空ଳ,1710,16,45,50665000,12768284393.0,32.0,10,10,10,10,10,10,10,10,80
RV0TDDA7D,スパチャ規制派,EYN9H9N16,蓮すきすきクラブ,1630,17,46,50520000,12717002933.0,34.0,10,10,10,10,10,10,10,10,80
9L52YPRA1,ハミングバード,3F9P3U95T,ଳ天地鱏明の空ଳ,1622,7,47,50265000,12724721936.0,33.0,10,10,10,10,10,10,10,10,80
XEDYAEF7D,waito,3F9P3U95T,ଳ天地鱏明の空ଳ,1298,6,48,50220000,,,10,10,10,10,10,10,10,10,80
8JKPKHDHC,㌂と㍕が生き甲斐,EYN9H9N16,蓮すきすきクラブ,1592,16,49,50205000,12662904056.0,35.0,10,10,10,10,10,10,10,10,80
FCED0MOWI,つかべん,RWARTHA1M,乙宗梢大好き部,1632,17,50,50160000,12778993876.0,30.0,10,10,10,10,10,10,10,10,80
7Q17H65NQ,mitsu,YE7CX8RNP,蓮ノ大三十角ex,1695,15,51,50145000,12394944595.0,38.0,10,10,10,10,10,10,10,10,80
PG3THEV4C,あお,EYN9H9N16,蓮すきすきクラブ,1505,15,52,50085000,12422747220.0,37.0,10,10,10,10,10,10,10,10,80
68S69TGO8,ｲﾉｳｴ,RFYKY8DCD,LA.LA.LA,1604,9,53,50070000,,,10,10,10,10,10,10,10,10,80
JRXUOPXXN,ぐんま,49AMYCXCD,ルドベキア,1529,15,54,50060000,,,10,10,10,10,10,10,10,10,80
9NMP2LJU2,くぼっち,EYN9H9N16,蓮すきすきクラブ,1610,17,55,50004000,,,10,10,10,10,10,10,10,10,80
CL0CDYUYY,かなちゃん,PBRDPWEY1,村村会,1407,17,56,49874000,,,10,10,10,10,10,10,10,10,80
9ENVXR95K,マオ,M5LHG6R4T,乙宗動物園,1552,10,57,49860000,12097820792.0,41.0,10,10,10,10,10,10,10,10,80
WL6FFE9FY,もょもと,EYN9H9N16,蓮すきすきクラブ,1592,17,58,49844500,,,10,10,10,10,10,10,10,10,80
