player_id,player_name,search_guild_key,guild_name,总fanlv,DR数量,rank,point,结算前A RANK,结算前A分数,结算前B RANK,结算前B分数,结算前C RANK,结算前C分数,结算前音游 RANK,结算前音游分数,花帆,さやか,瑠璃乃,吟子,小铃,姬芽,泉,塞拉斯,季度等级
4YTEQDE04,ぎんかほ♡結婚式,EYN9H9N16,蓮すきすきクラブ,1751,17,1,6000000,3,12446257475926,2,13395367286907,1,11906347756729,2,109698278451,10,10,10,10,10,10,10,10,80
OZHGPXIGS,おばあちゃん,WN5B7VKPU,きんぴられんこん,1809,18,2,5990000,6827,25340376121,10194,5935416,7173,4898027458,11,107728004716,10,10,10,10,10,10,10,10,80
XTY4GG18V,スイカ果汁,1BME38BCD,さすさやクラブ,1750,17,3,5950000,8437,1375614746,6001,62145314728,5321,138952756996,3,109511873395,10,10,10,10,10,10,10,10,80
HVA8EZJWM,鍋,3F9P3U95T,ଳ天地鱏明の空ଳ,1766,17,3,5950000,15,12027698683692,15,12409488722976,7,11071963300266,0,0,10,10,10,10,10,10,10,10,80
NC6WJYFVX,でら,EYN9H9N16,蓮すきすきクラブ,1812,17,5,5940000,4,12387316671885,29,12138249732194,9,10804779507565,0,0,10,10,10,10,10,10,10,10,80
RKVK0YI1L,オレンジ果汁,1BME38BCD,さすさやクラブ,1822,17,6,5920000,0,0,0,0,0,0,8,108583331476,10,10,10,10,10,10,10,10,80
NWUFRAHLN,じゅんじゅん,3F9P3U95T,ଳ天地鱏明の空ଳ,1553,14,7,5910000,2,12489396471085,23,12292400649807,13,10718318236120,0,0,10,10,10,10,10,10,10,10,80
TKLRD66RN,ふじー,3F9P3U95T,ଳ天地鱏明の空ଳ,1727,16,8,5880000,8,12254054739372,24,12264634232358,20,10418866638855,0,0,10,10,10,10,10,10,10,10,80
M30MWLT24,ブルー果汁,1BME38BCD,さすさやクラブ,1848,18,8,5880000,8239,2018621806,9692,14919825,9973,10165909,9,108518453557,10,10,10,10,10,10,10,10,80
64M70NFSR,いなば,YE7CX8RNP,蓮ノ大三十角ex,1782,17,10,5870000,892,4569061893945,808,4457905556876,855,4443766760472,4,109186460871,10,10,10,10,10,10,10,10,80
5LL48ARPU,シュウ,3F9P3U95T,ଳ天地鱏明の空ଳ,1601,18,11,5860000,24,11302210052159,37,11912421788077,8,10918956332858,34,92782281963,10,10,10,10,10,10,10,10,80
6PNANEUV0,なの,WN5B7VKPU,きんぴられんこん,1785,18,12,5840000,7990,3321234753,6593,18147650048,6183,34438636208,6,108969079765,10,10,10,10,10,10,10,10,80
HF5CLQ1F8,すがぽん,M5LHG6R4T,乙宗動物園,1853,18,12,5840000,8107,2631489072,7189,4770513083,6940,7690475937,13,105496341955,10,10,10,10,10,10,10,10,80
ZWGHFBK3S,DSsuzu,YCTM6RYDP,金沢おでん同好会,1784,18,12,5840000,4184,411514546595,6105,51653093913,6240,31359530304,10,108513639856,10,10,10,10,10,10,10,10,80
8XP3JM3HY,ハヤシモリ,CX967RTGY,おんゆあさーくる,1672,16,15,5825000,7888,4077481255,7338,3354075832,8668,260876253,12,106200665252,10,10,10,10,10,10,10,10,80
ALF76WC94,あにょつき,11FB0EDDT,スクステ同好会,1548,16,16,5815000,36,11035663618567,27,12197610953313,15,10620765824447,0,0,10,10,10,10,10,10,10,10,80
NXLLUPEY0,ゆ〜いん,3F9P3U95T,ଳ天地鱏明の空ଳ,1520,16,17,5810000,7,12270641400153,22,12297881083218,34,10009943593711,0,0,10,10,10,10,10,10,10,10,80
TWKTW5AVC,喫茶蓮ノ空,GXR6C85BT,花帆ちゃん親衛隊,1543,18,18,5805000,7782,4896418238,9672,15589094,8125,792568235,7,108619608017,10,10,10,10,10,10,10,10,80
X0REUC1B0,ジークハルト,GXR6C85BT,花帆ちゃん親衛隊,1664,18,18,5805000,4993,234975935235,5847,84754599897,5467,110907456171,1,110533537478,10,10,10,10,10,10,10,10,80
ISRNX35D4,KYB,RWARTHA1M,乙宗梢大好き部,1792,16,18,5805000,40,10901539803650,9,12655518806389,18,10514715406325,14,104573944314,10,10,10,10,10,10,10,10,80
JLADG5GPX,うぇすとれ,PBRDPWEY1,村村会,1616,17,18,5805000,28,11237275252315,3,12882540541485,11,10768622761683,0,0,10,10,10,10,10,10,10,10,80
L71LEGR49,かんなぎ,49AMYCXCD,ルドベキア,1581,18,22,5800000,44,10643836371795,11,12561668978822,12,10727841964191,0,0,10,10,10,10,10,10,10,10,80
VGWT7LCX7,ZUC,3F9P3U95T,ଳ天地鱏明の空ଳ,1629,16,23,5795000,5,12356209638309,58,11398301419494,4,11139771359139,0,0,10,10,10,10,10,10,10,10,80
42J4J5OSG,ハラシヨ,W26TRPM1R,めぐ党藤島派,1706,18,24,5790000,32,11171592358241,28,12177465644322,3,11285264080086,0,0,10,10,10,10,10,10,10,10,80
